England and Wales, Civilian National Population, Life tables (cohort 5x10), Females	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.15274  0.13826  0.31  100000   13826   90517  4310409  43.10
1841-1849      1-4      0.03682  0.13453  1.43   86174   11593  314844  4219892  48.97
1841-1849      5-9      0.00898  0.04371  1.99   74581    3260  363084  3905048  52.36
1841-1849     10-14     0.00491  0.02426  2.54   71321    1730  352356  3541964  49.66
1841-1849     15-19     0.00683  0.03360  2.61   69591    2338  342374  3189607  45.83
1841-1849     20-24     0.00823  0.04033  2.53   67252    2712  329549  2847234  42.34
1841-1849     25-29     0.00861  0.04216  2.50   64540    2721  315899  2517684  39.01
1841-1849     30-34     0.00913  0.04464  2.53   61819    2760  302269  2201786  35.62
1841-1849     35-39     0.01025  0.04996  2.52   59059    2951  287990  1899517  32.16
1841-1849     40-44     0.01160  0.05641  2.54   56109    3165  272759  1611527  28.72
1841-1849     45-49     0.01343  0.06500  2.55   52943    3441  256277  1338768  25.29
1841-1849     50-54     0.01665  0.08003  2.58   49502    3962  237910  1082491  21.87
1841-1849     55-59     0.02211  0.10495  2.58   45540    4780  216127   844581  18.55
1841-1849     60-64     0.02965  0.13831  2.58   40761    5638  190148   628453  15.42
1841-1849     65-69     0.04096  0.18624  2.57   35123    6541  159695   438305  12.48
1841-1849     70-74     0.06288  0.27274  2.57   28582    7795  123977   278610   9.75
1841-1849     75-79     0.09579  0.38546  2.47   20786    8012   83644   154633   7.44
1841-1849     80-84     0.14482  0.52733  2.42   12774    6736   46515    70990   5.56
1841-1849     85-89     0.22092  0.68213  2.20    6038    4119   18643    24475   4.05
1841-1849     90-94     0.31021  0.80654  2.02    1919    1548    4990     5832   3.04
1841-1849     95-99     0.43235  0.90425  1.78     371     336     777      842   2.27
1841-1849    100-104    0.53812  0.93961  1.54      36      33      62       65   1.83
1841-1849    105-109    0.71665  1.00000  1.40       2       2       3        3   1.40
1841-1849    110+             .        .    .       0       0       0        0      .
1850-1859        0      0.15390  0.13920  0.31  100000   13920   90452  4484829  44.85
1850-1859      1-4      0.03612  0.13214  1.42   86080   11375  314939  4394377  51.05
1850-1859      5-9      0.00834  0.04067  1.95   74705    3038  364247  4079438  54.61
1850-1859     10-14     0.00440  0.02174  2.55   71667    1558  354517  3715191  51.84
1850-1859     15-19     0.00586  0.02890  2.60   70109    2026  345680  3360673  47.94
1850-1859     20-24     0.00676  0.03326  2.52   68083    2264  334790  3014993  44.28
1850-1859     25-29     0.00716  0.03519  2.52   65818    2316  323342  2680203  40.72
1850-1859     30-34     0.00803  0.03939  2.55   63502    2502  311369  2356861  37.11
1850-1859     35-39     0.00917  0.04484  2.54   61000    2735  298273  2045492  33.53
1850-1859     40-44     0.01043  0.05083  2.52   58265    2962  283992  1747219  29.99
1850-1859     45-49     0.01196  0.05810  2.55   55303    3213  268654  1463227  26.46
1850-1859     50-54     0.01446  0.06987  2.57   52090    3639  251613  1194573  22.93
1850-1859     55-59     0.01877  0.08978  2.60   48451    4350  231803   942960  19.46
1850-1859     60-64     0.02571  0.12111  2.61   44101    5341  207730   711157  16.13
1850-1859     65-69     0.03655  0.16800  2.59   38760    6512  178133   503427  12.99
1850-1859     70-74     0.05832  0.25593  2.61   32248    8253  141523   325294  10.09
1850-1859     75-79     0.09286  0.37644  2.49   23995    9033   97266   183772   7.66
1850-1859     80-84     0.13874  0.51032  2.41   14962    7636   55037    86506   5.78
1850-1859     85-89     0.20622  0.65617  2.23    7327    4808   23312    31469   4.30
1850-1859     90-94     0.28710  0.77870  2.06    2519    1962    6833     8156   3.24
1850-1859     95-99     0.40865  0.88914  1.82     557     496    1213     1324   2.37
1850-1859    100-104    0.55177  0.95192  1.56      62      59     107      111   1.79
1850-1859    105-109    0.76322  0.98961  1.26       3       3       4        4   1.31
1850-1859    110+       0.67416  1.00000  1.48       0       0       0        0   1.48
1860-1869        0      0.15359  0.13895  0.31  100000   13895   90470  4738822  47.39
1860-1869      1-4      0.03477  0.12738  1.36   86105   10968  315421  4648352  53.98
1860-1869      5-9      0.00698  0.03417  1.97   75137    2567  367902  4332931  57.67
1860-1869     10-14     0.00357  0.01769  2.53   72570    1284  359681  3965028  54.64
1860-1869     15-19     0.00469  0.02319  2.60   71286    1653  352465  3605347  50.58
1860-1869     20-24     0.00550  0.02714  2.53   69633    1890  343492  3252882  46.71
1860-1869     25-29     0.00591  0.02913  2.52   67743    1973  333829  2909390  42.95
1860-1869     30-34     0.00657  0.03231  2.53   65769    2125  323603  2575560  39.16
1860-1869     35-39     0.00748  0.03671  2.54   63645    2337  312476  2251958  35.38
1860-1869     40-44     0.00821  0.04023  2.52   61308    2466  300429  1939482  31.64
1860-1869     45-49     0.00976  0.04769  2.59   58842    2806  287456  1639053  27.86
1860-1869     50-54     0.01241  0.06027  2.59   56035    3377  272025  1351596  24.12
1860-1869     55-59     0.01542  0.07435  2.61   52658    3915  253924  1079571  20.50
1860-1869     60-64     0.02221  0.10557  2.66   48743    5146  231678   825647  16.94
1860-1869     65-69     0.03397  0.15706  2.60   43598    6847  201564   593969  13.62
1860-1869     70-74     0.05371  0.23783  2.59   36750    8740  162721   392404  10.68
1860-1869     75-79     0.08247  0.34197  2.51   28010    9579  116155   229683   8.20
1860-1869     80-84     0.12424  0.47249  2.47   18431    8709   70093   113528   6.16
1860-1869     85-89     0.19566  0.63741  2.27    9723    6197   31675    43435   4.47
1860-1869     90-94     0.27917  0.76991  2.09    3525    2714    9723    11760   3.34
1860-1869     95-99     0.38488  0.86847  1.84     811     704    1830     2037   2.51
1860-1869    100-104    0.50480  0.93264  1.62     107     100     197      207   1.94
1860-1869    105-109    0.73615  0.98479  1.28       7       7      10       10   1.36
1860-1869    110+       0.80699  1.00000  1.24       0       0       0        0   1.24
1870-1879        0      0.14865  0.13490  0.31  100000   13490   90747  5090160  50.90
1870-1879      1-4      0.02930  0.10870  1.33   86510    9404  320900  4999413  57.79
1870-1879      5-9      0.00572  0.02810  1.97   77107    2167  378979  4678512  60.68
1870-1879     10-14     0.00300  0.01488  2.53   74940    1115  371944  4299534  57.37
1870-1879     15-19     0.00384  0.01900  2.59   73825    1403  365744  3927590  53.20
1870-1879     20-24     0.00432  0.02137  2.51   72422    1548  358263  3561845  49.18
1870-1879     25-29     0.00460  0.02275  2.53   70874    1613  350391  3203582  45.20
1870-1879     30-34     0.00503  0.02483  2.53   69262    1720  342059  2853191  41.19
1870-1879     35-39     0.00587  0.02893  2.60   67542    1954  333022  2511132  37.18
1870-1879     40-44     0.00677  0.03330  2.53   65588    2184  322536  2178110  33.21
1870-1879     45-49     0.00783  0.03840  2.58   63404    2435  311132  1855574  29.27
1870-1879     50-54     0.01005  0.04907  2.62   60969    2992  297738  1544442  25.33
1870-1879     55-59     0.01375  0.06658  2.65   57977    3860  280803  1246704  21.50
1870-1879     60-64     0.02025  0.09664  2.65   54117    5230  258290   965901  17.85
1870-1879     65-69     0.02948  0.13769  2.61   48887    6731  228324   707611  14.47
1870-1879     70-74     0.04589  0.20698  2.63   42156    8725  190114   479287  11.37
1870-1879     75-79     0.07503  0.31690  2.55   33431   10594  141201   289173   8.65
1870-1879     80-84     0.11695  0.45116  2.47   22836   10303   88099   147971   6.48
1870-1879     85-89     0.17956  0.60372  2.29   12534    7567   42140    59872   4.78
1870-1879     90-94     0.25623  0.73850  2.13    4967    3668   14315    17732   3.57
1870-1879     95-99     0.36499  0.85479  1.89    1299    1110    3042     3416   2.63
1870-1879    100-104    0.49302  0.92858  1.64     189     175     355      375   1.99
1870-1879    105-109    0.68588  0.98474  1.38      13      13      19       20   1.45
1870-1879    110+       1.17633  1.00000  0.85       0       0       0        0   0.85
1880-1889        0      0.14007  0.12779  0.31  100000   12779   91235  5408778  54.09
1880-1889      1-4      0.02562  0.09581  1.28   87221    8356  326143  5317544  60.97
1880-1889      5-9      0.00469  0.02311  2.00   78864    1823  388850  4991401  63.29
1880-1889     10-14     0.00246  0.01221  2.51   77041     940  382865  4602551  59.74
1880-1889     15-19     0.00304  0.01510  2.59   76101    1149  377736  4219686  55.45
1880-1889     20-24     0.00342  0.01694  2.52   74952    1269  371619  3841950  51.26
1880-1889     25-29     0.00396  0.01963  2.64   73683    1446  364995  3470331  47.10
1880-1889     30-34     0.00488  0.02411  2.50   72237    1742  356825  3105336  42.99
1880-1889     35-39     0.00500  0.02469  2.49   70495    1740  348106  2748511  38.99
1880-1889     40-44     0.00524  0.02588  2.55   68755    1780  339417  2400405  34.91
1880-1889     45-49     0.00667  0.03282  2.62   66975    2198  329643  2060988  30.77
1880-1889     50-54     0.00883  0.04325  2.61   64777    2801  317191  1731345  26.73
1880-1889     55-59     0.01152  0.05605  2.63   61976    3474  301660  1414155  22.82
1880-1889     60-64     0.01626  0.07829  2.64   58502    4580  281722  1112494  19.02
1880-1889     65-69     0.02503  0.11820  2.66   53922    6373  254676   830772  15.41
1880-1889     70-74     0.04064  0.18546  2.64   47548    8818  216974   576096  12.12
1880-1889     75-79     0.06616  0.28478  2.56   38730   11029  166704   359122   9.27
1880-1889     80-84     0.10448  0.41358  2.48   27701   11457  109652   192418   6.95
1880-1889     85-89     0.16315  0.56884  2.34   16244    9240   56638    82766   5.10
1880-1889     90-94     0.24439  0.72096  2.16    7004    5050   20662    26128   3.73
1880-1889     95-99     0.34054  0.83136  1.92    1954    1625    4771     5466   2.80
1880-1889    100-104    0.46424  0.91597  1.70     330     302     650      695   2.11
