PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
GBRTENW,01,1938,1938,1,51820,O,.,.,.,32,1
GBRTENW,01,1938,1938,2,47421,O,.,.,.,32,1
GBRTENW,01,1938,1938,3,54887,O,.,.,.,32,1
GBRTENW,01,1938,1938,4,54623,O,.,.,.,32,1
GBRTENW,01,1938,1938,5,56853,O,.,.,.,32,1
GBRTENW,01,1938,1938,6,53145,O,.,.,.,32,1
GBRTENW,01,1938,1938,7,53214,O,.,.,.,32,1
GBRTENW,01,1938,1938,8,50444,O,.,.,.,32,1
GBRTENW,01,1938,1938,9,50545,O,.,.,.,32,1
GBRTENW,01,1938,1938,10,50079,O,.,.,.,32,1
GBRTENW,01,1938,1938,11,47850,O,.,.,.,32,1
GBRTENW,01,1938,1938,12,50323,O,.,.,.,32,1
GBRTENW,01,1938,1938,TOT,621204,O,.,.,.,32,1
GBRTENW,01,1939,1939,1,51350,O,.,.,.,32,1
GBRTENW,01,1939,1939,2,46990,O,.,.,.,32,1
GBRTENW,01,1939,1939,3,54389,O,.,.,.,32,1
GBRTENW,01,1939,1939,4,54127,O,.,.,.,32,1
GBRTENW,01,1939,1939,5,56337,O,.,.,.,32,1
GBRTENW,01,1939,1939,6,52662,O,.,.,.,32,1
GBRTENW,01,1939,1939,7,53515,O,.,.,.,32,1
GBRTENW,01,1939,1939,8,51338,O,.,.,.,32,1
GBRTENW,01,1939,1939,9,50605,O,.,.,.,32,1
GBRTENW,01,1939,1939,10,48832,O,.,.,.,32,1
GBRTENW,01,1939,1939,11,46025,O,.,.,.,32,1
GBRTENW,01,1939,1939,12,48309,O,.,.,.,32,1
GBRTENW,01,1939,1939,TOT,614479,O,.,.,.,32,1
GBRTENW,01,1940,1940,1,50281,O,.,.,.,32,1
GBRTENW,01,1940,1940,2,49846,O,.,.,.,32,1
GBRTENW,01,1940,1940,3,53583,O,.,.,.,32,1
GBRTENW,01,1940,1940,4,52340,O,.,.,.,32,1
GBRTENW,01,1940,1940,5,53100,O,.,.,.,32,1
