PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_NIR,01,m,0,1,C,18,04,1926,2,O,12850,.,.,.,1
GBR_NIR,01,m,1,1,C,18,04,1926,2,O,12508,.,.,.,1
GBR_NIR,01,m,2,1,C,18,04,1926,2,O,13150,.,.,.,1
GBR_NIR,01,m,3,1,C,18,04,1926,2,O,13095,.,.,.,1
GBR_NIR,01,m,4,1,C,18,04,1926,2,O,13380,.,.,.,1
GBR_NIR,01,m,5,1,C,18,04,1926,2,O,13475,.,.,.,1
GBR_NIR,01,m,6,1,C,18,04,1926,2,O,13430,.,.,.,1
GBR_NIR,01,m,7,1,C,18,04,1926,2,O,11197,.,.,.,1
GBR_NIR,01,m,8,1,C,18,04,1926,2,O,10504,.,.,.,1
GBR_NIR,01,m,9,1,C,18,04,1926,2,O,10744,.,.,.,1
GBR_NIR,01,m,10,1,C,18,04,1926,2,O,11548,.,.,.,1
GBR_NIR,01,m,11,1,C,18,04,1926,2,O,12006,.,.,.,1
GBR_NIR,01,m,12,1,C,18,04,1926,2,O,12284,.,.,.,1
GBR_NIR,01,m,13,1,C,18,04,1926,2,O,12111,.,.,.,1
GBR_NIR,01,m,14,1,C,18,04,1926,2,O,12376,.,.,.,1
GBR_NIR,01,m,15,1,C,18,04,1926,2,O,12422,.,.,.,1
GBR_NIR,01,m,16,1,C,18,04,1926,2,O,11761,.,.,.,1
GBR_NIR,01,m,17,1,C,18,04,1926,2,O,11692,.,.,.,1
GBR_NIR,01,m,18,1,C,18,04,1926,2,O,11917,.,.,.,1
GBR_NIR,01,m,19,1,C,18,04,1926,2,O,11619,.,.,.,1
GBR_NIR,01,m,20,1,C,18,04,1926,2,O,11352,.,.,.,1
GBR_NIR,01,m,21,1,C,18,04,1926,2,O,11095,.,.,.,1
GBR_NIR,01,m,22,1,C,18,04,1926,2,O,10686,.,.,.,1
GBR_NIR,01,m,23,1,C,18,04,1926,2,O,9993,.,.,.,1
GBR_NIR,01,m,24,1,C,18,04,1926,2,O,9390,.,.,.,1
GBR_NIR,01,m,25,1,C,18,04,1926,2,O,10000,.,.,.,1
GBR_NIR,01,m,26,1,C,18,04,1926,2,O,9832,.,.,.,1
GBR_NIR,01,m,27,1,C,18,04,1926,2,O,8892,.,.,.,1
GBR_NIR,01,m,28,1,C,18,04,1926,2,O,8960,.,.,.,1
GBR_NIR,01,m,29,1,C,18,04,1926,2,O,8182,.,.,.,1
GBR_NIR,01,m,30,1,C,18,04,1926,2,O,9433,.,.,.,1
GBR_NIR,01,m,31,1,C,18,04,1926,2,O,6955,.,.,.,1
GBR_NIR,01,m,32,1,C,18,04,1926,2,O,7778,.,.,.,1
GBR_NIR,01,m,33,1,C,18,04,1926,2,O,6956,.,.,.,1
GBR_NIR,01,m,34,1,C,18,04,1926,2,O,6895,.,.,.,1
GBR_NIR,01,m,35,1,C,18,04,1926,2,O,7719,.,.,.,1
GBR_NIR,01,m,36,1,C,18,04,1926,2,O,7205,.,.,.,1
GBR_NIR,01,m,37,1,C,18,04,1926,2,O,6355,.,.,.,1
GBR_NIR,01,m,38,1,C,18,04,1926,2,O,7508,.,.,.,1
GBR_NIR,01,m,39,1,C,18,04,1926,2,O,6530,.,.,.,1
