Northern Ireland, Life expectancy at birth (period, 1x1)	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1922        54.92    53.92    54.43
  1923        55.82    55.32    55.55
  1924        54.76    53.70    54.19
  1925        54.74    54.12    54.40
  1926        55.93    54.61    55.24
  1927        56.83    56.63    56.72
  1928        57.48    56.34    56.89
  1929        55.64    54.71    55.14
  1930        59.21    57.99    58.60
  1931        58.21    57.07    57.63
  1932        58.43    57.11    57.76
  1933        58.05    56.21    57.12
  1934        59.60    57.53    58.55
  1935        57.61    55.86    56.73
  1936        58.95    57.37    58.15
  1937        58.64    57.46    58.06
  1938        59.87    58.33    59.11
  1939        61.83    59.45    60.63
  1940        59.48    56.68    58.07
  1941        59.00    56.53    57.76
  1942        62.00    58.98    60.47
  1943        62.27    59.60    60.93
  1944        63.51    61.49    62.51
  1945        64.22    62.53    63.39
  1946        65.23    62.62    63.93
  1947        65.62    62.53    64.08
  1948        67.90    64.69    66.30
  1949        67.91    65.14    66.54
  1950        68.63    65.37    67.02
  1951        67.72    64.45    66.10
  1952        70.34    66.30    68.33
  1953        70.65    66.52    68.59
  1954        70.99    67.17    69.10
  1955        70.83    67.28    69.08
  1956        71.84    68.01    69.95
  1957        71.77    67.47    69.64
  1958        72.39    67.74    70.07
  1959        72.05    67.78    69.94
  1960        72.24    67.79    70.03
  1961        72.59    67.11    69.84
  1962        72.81    68.27    70.57
  1963        72.55    67.60    70.08
  1964        73.35    68.07    70.72
  1965        73.39    68.13    70.77
  1966        72.93    67.59    70.26
  1967        74.37    68.95    71.69
  1968        73.48    68.53    71.03
  1969        73.62    67.76    70.68
  1970        73.67    67.75    70.70
  1971        74.27    68.12    71.18
  1972        73.70    67.31    70.47
  1973        73.40    66.56    69.93
  1974        74.01    66.87    70.38
  1975        74.32    67.68    70.98
  1976        74.02    67.71    70.85
  1977        74.54    67.83    71.16
  1978        75.14    68.59    71.86
  1979        75.10    68.27    71.65
  1980        75.20    68.47    71.81
  1981        75.78    69.24    72.51
  1982        75.62    69.92    72.82
  1983        76.29    69.88    73.10
  1984        76.76    70.37    73.59
  1985        76.69    70.48    73.62
  1986        76.93    70.64    73.81
  1987        77.43    71.38    74.46
  1988        77.17    71.17    74.22
  1989        77.64    71.66    74.70
  1990        77.77    72.11    75.02
  1991        78.28    72.36    75.39
  1992        78.74    72.85    75.87
  1993        78.21    72.62    75.49
  1994        78.68    73.19    76.02
  1995        78.66    73.25    76.04
  1996        79.14    73.82    76.57
  1997        79.41    74.13    76.86
  1998        79.67    74.22    77.03
  1999        79.16    74.16    76.74
  2000        79.80    74.80    77.39
  2001        80.35    75.18    77.86
  2002        80.29    75.37    77.92
  2003        80.64    75.86    78.34
  2004        80.75    75.98    78.46
  2005        81.17    75.96    78.64
  2006        81.08    76.14    78.69
  2007        81.39    76.25    78.88
  2008        81.18    76.52    78.92
  2009        81.43    77.21    79.40
  2010        81.71    77.16    79.50
  2011        82.41    77.85    80.19
  2012        82.27    78.06    80.22
  2013        82.26    78.11    80.24
  2014        82.39    78.62    80.57
  2015        82.24    78.19    80.26
  2016        82.26    78.75    80.56
  2017        82.44    78.40    80.45
  2018        82.46    78.86    80.70
