Northern Ireland, Life tables (period 5x10), Total	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1922-1929        0      0.08613  0.08127  0.31  100000    8127   94356  5535753  55.36
1922-1929      1-4      0.01151  0.04463  1.27   91873    4100  356290  5441397  59.23
1922-1929      5-9      0.00248  0.01232  2.24   87773    1081  435878  5085107  57.93
1922-1929     10-14     0.00212  0.01055  2.64   86692     915  431302  4649229  53.63
1922-1929     15-19     0.00363  0.01797  2.68   85777    1542  425311  4217927  49.17
1922-1929     20-24     0.00491  0.02427  2.55   84235    2044  416175  3792616  45.02
1922-1929     25-29     0.00532  0.02625  2.52   82191    2157  405605  3376441  41.08
1922-1929     30-34     0.00604  0.02976  2.54   80034    2382  394320  2970836  37.12
1922-1929     35-39     0.00679  0.03337  2.55   77652    2592  381914  2576517  33.18
1922-1929     40-44     0.00838  0.04108  2.57   75061    3083  367806  2194602  29.24
1922-1929     45-49     0.01044  0.05094  2.62   71977    3667  351169  1826796  25.38
1922-1929     50-54     0.01569  0.07561  2.60   68311    5165  329145  1475627  21.60
1922-1929     55-59     0.02036  0.09709  2.62   63146    6131  301119  1146482  18.16
1922-1929     60-64     0.03145  0.14601  2.56   57015    8325  264726   845364  14.83
1922-1929     65-69     0.04077  0.18583  2.62   48690    9048  221944   580638  11.93
1922-1929     70-74     0.07655  0.32194  2.53   39642   12762  166716   358694   9.05
1922-1929     75-79     0.09832  0.39160  2.40   26879   10526  107057   191978   7.14
1922-1929     80-84     0.16595  0.57473  2.33   16353    9399   56638    84921   5.19
1922-1929     85-89     0.22552  0.68626  2.15    6954    4773   21162    28283   4.07
1922-1929     90-94     0.28799  0.77639  2.03    2182    1694    5882     7121   3.26
1922-1929     95-99     0.38321  0.86609  1.84     488     423    1103     1239   2.54
1922-1929    100-104    0.47254  0.91760  1.67      65      60     127      136   2.09
1922-1929    105-109    0.56130  0.94933  1.51       5       5       9       10   1.77
1922-1929    110+       0.63060  1.00000  1.59       0       0       0        0   1.59
1930-1939        0      0.08034  0.07610  0.31  100000    7610   94716  5824406  58.24
1930-1939      1-4      0.00806  0.03154  1.30   92390    2914  361700  5729690  62.02
1930-1939      5-9      0.00211  0.01050  2.24   89477     940  444788  5367990  59.99
1930-1939     10-14     0.00173  0.00860  2.61   88537     762  440865  4923202  55.61
1930-1939     15-19     0.00270  0.01343  2.68   87775    1179  436143  4482337  51.07
1930-1939     20-24     0.00370  0.01833  2.53   86596    1587  429061  4046194  46.72
1930-1939     25-29     0.00388  0.01922  2.53   85009    1634  421014  3617133  42.55
1930-1939     30-34     0.00457  0.02259  2.56   83375    1884  412279  3196119  38.33
1930-1939     35-39     0.00547  0.02701  2.57   81491    2201  402116  2783840  34.16
1930-1939     40-44     0.00699  0.03435  2.58   79290    2724  389851  2381724  30.04
1930-1939     45-49     0.00928  0.04539  2.64   76566    3476  374624  1991873  26.02
1930-1939     50-54     0.01381  0.06682  2.60   73090    4884  353723  1617250  22.13
1930-1939     55-59     0.01853  0.08871  2.61   68206    6051  326593  1263526  18.53
1930-1939     60-64     0.02815  0.13184  2.59   62155    8194  291067   936934  15.07
