Northern Ireland, Life tables (period 5x10), Females	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1922-1929        0      0.07553  0.07181  0.31  100000    7181   95075  5580016  55.80
1922-1929      1-4      0.01106  0.04295  1.29   92819    3986  360469  5484941  59.09
1922-1929      5-9      0.00248  0.01232  2.24   88833    1094  441149  5124472  57.69
1922-1929     10-14     0.00225  0.01118  2.67   87739     981  436404  4683323  53.38
1922-1929     15-19     0.00387  0.01916  2.67   86757    1662  429911  4246920  48.95
1922-1929     20-24     0.00509  0.02511  2.56   85096    2137  420266  3817009  44.86
1922-1929     25-29     0.00578  0.02850  2.53   82958    2364  408950  3396743  40.95
1922-1929     30-34     0.00643  0.03164  2.53   80594    2550  396679  2987793  37.07
1922-1929     35-39     0.00722  0.03547  2.56   78044    2768  383456  2591113  33.20
1922-1929     40-44     0.00898  0.04392  2.55   75276    3306  368288  2207658  29.33
1922-1929     45-49     0.01058  0.05161  2.62   71970    3714  350990  1839370  25.56
1922-1929     50-54     0.01615  0.07772  2.60   68255    5305  328545  1488380  21.81
1922-1929     55-59     0.02040  0.09726  2.61   62951    6123  300100  1159835  18.42
1922-1929     60-64     0.03073  0.14286  2.54   56828    8118  264181   859735  15.13
1922-1929     65-69     0.03859  0.17686  2.64   48710    8615  223220   595554  12.23
1922-1929     70-74     0.07445  0.31443  2.53   40095   12607  169328   372334   9.29
1922-1929     75-79     0.09276  0.37398  2.41   27488   10280  110828   203006   7.39
1922-1929     80-84     0.16193  0.56642  2.35   17208    9747   60191    92179   5.36
1922-1929     85-89     0.21257  0.66092  2.14    7461    4931   23197    31988   4.29
1922-1929     90-94     0.26823  0.75375  2.09    2530    1907    7109     8791   3.47
1922-1929     95-99     0.35880  0.84674  1.88     623     527    1470     1682   2.70
1922-1929    100-104    0.44424  0.90372  1.72      95      86     194      211   2.21
1922-1929    105-109    0.53325  0.94097  1.56       9       9      16       17   1.86
1922-1929    110+       0.60517  1.00000  1.65       1       1       1        1   1.65
1930-1939        0      0.07083  0.06755  0.31  100000    6755   95367  5905078  59.05
1930-1939      1-4      0.00788  0.03089  1.31   93245    2880  365239  5809711  62.31
1930-1939      5-9      0.00209  0.01041  2.22   90365     941  449207  5444472  60.25
1930-1939     10-14     0.00183  0.00910  2.64   89425     813  445202  4995266  55.86
1930-1939     15-19     0.00283  0.01406  2.67   88611    1246  440150  4550064  51.35
1930-1939     20-24     0.00379  0.01878  2.53   87365    1641  432776  4109913  47.04
1930-1939     25-29     0.00407  0.02014  2.54   85725    1726  424379  3677137  42.89
1930-1939     30-34     0.00477  0.02358  2.55   83998    1980  415140  3252759  38.72
1930-1939     35-39     0.00556  0.02744  2.57   82018    2251  404616  2837619  34.60
1930-1939     40-44     0.00695  0.03417  2.56   79767    2725  392181  2433003  30.50
1930-1939     45-49     0.00876  0.04290  2.64   77042    3305  377398  2040822  26.49
1930-1939     50-54     0.01332  0.06455  2.60   73737    4760  357278  1663424  22.56
1930-1939     55-59     0.01793  0.08598  2.62   68977    5931  330767  1306146  18.94
1930-1939     60-64     0.02727  0.12792  2.58   63047    8065  295742   975379  15.47
1930-1939     65-69     0.03933  0.18000  2.65   54981    9897  251637   679638  12.36
1930-1939     70-74     0.07177  0.30502  2.54   45085   13752  191622   428001   9.49
1930-1939     75-79     0.09372  0.37652  2.39   31333   11798  125884   236379   7.54
1930-1939     80-84     0.14913  0.53391  2.34   19535   10430   69941   110495   5.66
1930-1939     85-89     0.19854  0.63818  2.20    9105    5811   29268    40554   4.45
1930-1939     90-94     0.27427  0.76578  2.12    3295    2523    9199    11286   3.43
1930-1939     95-99     0.35712  0.84619  1.89     772     653    1828     2088   2.71
1930-1939    100-104    0.44973  0.90725  1.71     119     108     239      259   2.19
1930-1939    105-109    0.54617  0.94551  1.54      11      10      19       20   1.82
1930-1939    110+       0.62389  1.00000  1.60       1       1       1        1   1.60
1940-1949        0      0.05954  0.05708  0.28  100000    5708   95877  6372512  63.73
1940-1949      1-4      0.00412  0.01631  1.43   94292    1538  373214  6276634  66.57
1940-1949      5-9      0.00133  0.00663  2.20   92753     615  462042  5903420  63.65
1940-1949     10-14     0.00114  0.00571  2.73   92138     526  459497  5441378  59.06
1940-1949     15-19     0.00217  0.01078  2.66   91612     987  455750  4981881  54.38
1940-1949     20-24     0.00272  0.01351  2.56   90625    1225  450131  4526131  49.94
1940-1949     25-29     0.00304  0.01511  2.54   89400    1350  443679  4076001  45.59
1940-1949     30-34     0.00343  0.01700  2.53   88050    1497  436553  3632322  41.25
1940-1949     35-39     0.00398  0.01973  2.57   86553    1708  428612  3195769  36.92
1940-1949     40-44     0.00485  0.02396  2.59   84845    2032  419322  2767157  32.61
1940-1949     45-49     0.00673  0.03313  2.64   82812    2744  407591  2347834  28.35
1940-1949     50-54     0.00967  0.04726  2.59   80069    3784  391232  1940244  24.23
1940-1949     55-59     0.01359  0.06584  2.67   76285    5023  369736  1549011  20.31
1940-1949     60-64     0.02265  0.10740  2.60   71262    7654  337958  1179276  16.55
1940-1949     65-69     0.03302  0.15325  2.66   63608    9748  295221   841318  13.23
1940-1949     70-74     0.06267  0.27203  2.58   53860   14651  233783   546097  10.14
1940-1949     75-79     0.08723  0.35649  2.44   39209   13977  160242   312314   7.97
1940-1949     80-84     0.13528  0.50041  2.40   25231   12626   93330   152071   6.03
1940-1949     85-89     0.18762  0.61718  2.23   12605    7780   41465    58741   4.66
