PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_NP,1,f,1838,1838,12,O,226846,3,.,.,0
GBR_NP,1,m,1838,1838,12,O,236941,3,.,.,0
GBR_NP,1,f,1839,1839,12,O,240494,3,.,.,0
GBR_NP,1,m,1839,1839,12,O,252080,3,.,.,0
GBR_NP,1,f,1840,1840,12,O,244860,3,.,.,0
GBR_NP,1,m,1840,1840,12,O,257443,3,.,.,0
GBR_NP,1,f,1841,1841,12,O,249444,3,.,.,1
GBR_NP,1,m,1841,1841,12,O,262714,3,.,.,1
GBR_NP,1,f,1842,1842,12,O,252535,3,.,.,1
GBR_NP,1,m,1842,1842,12,O,265204,3,.,.,1
GBR_NP,1,f,1843,1843,12,O,256748,3,.,.,1
GBR_NP,1,m,1843,1843,12,O,270577,3,.,.,1
GBR_NP,1,f,1844,1844,12,O,263327,3,.,.,1
GBR_NP,1,m,1844,1844,12,O,277436,3,.,.,1
GBR_NP,1,f,1845,1845,12,O,265103,3,.,.,1
GBR_NP,1,m,1845,1845,12,O,278418,3,.,.,1
GBR_NP,1,f,1846,1846,12,O,279479,3,.,.,1
GBR_NP,1,m,1846,1846,12,O,293146,3,.,.,1
GBR_NP,1,f,1847,1847,12,O,264307,3,.,.,1
GBR_NP,1,m,1847,1847,12,O,275658,3,.,.,1
GBR_NP,1,f,1848,1848,12,O,274713,3,.,.,1
GBR_NP,1,m,1848,1848,12,O,288346,3,.,.,1
GBR_NP,1,f,1849,1849,12,O,283001,3,.,.,1
GBR_NP,1,m,1849,1849,12,O,295158,3,.,.,1
GBR_NP,1,f,1850,1850,12,O,290588,3,.,.,1
GBR_NP,1,m,1850,1850,12,O,302834,3,.,.,1
GBR_NP,1,f,1851,1851,12,O,300897,3,.,.,1
GBR_NP,1,m,1851,1851,12,O,314968,3,.,.,1
GBR_NP,1,f,1852,1852,12,O,304962,3,.,.,1
GBR_NP,1,m,1852,1852,12,O,319050,3,.,.,1
GBR_NP,1,f,1853,1853,12,O,298635,3,.,.,1
GBR_NP,1,m,1853,1853,12,O,313756,3,.,.,1
GBR_NP,1,f,1854,1854,12,O,310336,3,.,.,1
GBR_NP,1,m,1854,1854,12,O,324069,3,.,.,1
GBR_NP,1,f,1855,1855,1,O,45545,1,6,.,1
GBR_NP,1,f,1855,1855,12,O,311083,3,.,.,1
GBR_NP,1,m,1855,1855,1,O,47804,1,6,.,1
GBR_NP,1,m,1855,1855,12,O,323960,3,.,.,1
GBR_NP,1,f,1856,1856,1,O,49582,1,6,.,1
GBR_NP,1,f,1856,1856,12,O,321912,3,.,.,1
GBR_NP,1,m,1856,1856,1,O,52239,1,6,.,1
GBR_NP,1,m,1856,1856,12,O,335541,3,.,.,1
GBR_NP,1,f,1857,1857,1,O,50257,1,6,.,1
GBR_NP,1,f,1857,1857,12,O,323073,3,.,.,1
GBR_NP,1,m,1857,1857,1,O,53158,1,6,.,1
