United Kingdom, Death rates (period 5x10), 	Last modified: 11 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1922-1929        0             0.066447        0.087291        0.077038
1922-1929      1-4             0.009646        0.010588        0.010122
1922-1929      5-9             0.002332        0.002519        0.002426
1922-1929     10-14            0.001657        0.001693        0.001675
1922-1929     15-19            0.002530        0.002661        0.002595
1922-1929     20-24            0.003111        0.003407        0.003254
1922-1929     25-29            0.003463        0.003664        0.003557
1922-1929     30-34            0.003786        0.004226        0.003987
1922-1929     35-39            0.004557        0.005565        0.005021
1922-1929     40-44            0.005583        0.007378        0.006418
1922-1929     45-49            0.007463        0.009916        0.008624
1922-1929     50-54            0.010587        0.013747        0.012105
1922-1929     55-59            0.015128        0.020077        0.017500
1922-1929     60-64            0.023151        0.030729        0.026711
1922-1929     65-69            0.036328        0.048277        0.041771
1922-1929     70-74            0.060298        0.076073        0.067155
1922-1929     75-79            0.097270        0.120856        0.106804
1922-1929     80-84            0.146569        0.177774        0.158009
1922-1929     85-89            0.224558        0.266810        0.238447
1922-1929     90-94            0.306435        0.353972        0.320028
1922-1929     95-99            0.423398        0.467904        0.434462
1922-1929    100-104           0.578033        0.666696        0.596671
1922-1929    105-109           0.937868        1.074219        0.967735
1922-1929    110+                    .              .              .
1930-1939        0             0.055872        0.073108        0.064657
1930-1939      1-4             0.005856        0.006501        0.006183
1930-1939      5-9             0.001960        0.002185        0.002074
1930-1939     10-14            0.001309        0.001404        0.001357
1930-1939     15-19            0.002101        0.002322        0.002211
1930-1939     20-24            0.002692        0.003075        0.002879
1930-1939     25-29            0.002883        0.003079        0.002978
1930-1939     30-34            0.003131        0.003405        0.003263
1930-1939     35-39            0.003773        0.004495        0.004110
1930-1939     40-44            0.004729        0.006124        0.005369
1930-1939     45-49            0.006526        0.009017        0.007675
1930-1939     50-54            0.009358        0.013223        0.011153
1930-1939     55-59            0.013504        0.019295        0.016224
1930-1939     60-64            0.021170        0.029319        0.024993
1930-1939     65-69            0.033363        0.045539        0.038939
1930-1939     70-74            0.055500        0.073392        0.063284
1930-1939     75-79            0.090590        0.117501        0.101510
1930-1939     80-84            0.139527        0.174210        0.152336
1930-1939     85-89            0.215608        0.262409        0.230684
1930-1939     90-94            0.303691        0.360944        0.319281
1930-1939     95-99            0.425302        0.489279        0.439523
1930-1939    100-104           0.577216        0.604384        0.582317
1930-1939    105-109           0.686946        0.853485        0.703217
1930-1939    110+                    .              .              .
1940-1949        0             0.042896        0.055621        0.049424
1940-1949      1-4             0.002850        0.003262        0.003060
1940-1949      5-9             0.001134        0.001447        0.001293
1940-1949     10-14            0.000891        0.001073        0.000983
1940-1949     15-19            0.001675        0.002073        0.001858
1940-1949     20-24            0.002280        0.003363        0.002670
1940-1949     25-29            0.002342        0.003095        0.002645
1940-1949     30-34            0.002421        0.003217        0.002763
1940-1949     35-39            0.002785        0.003748        0.003223
1940-1949     40-44            0.003616        0.005059        0.004292
1940-1949     45-49            0.005237        0.007754        0.006395
1940-1949     50-54            0.007605        0.012056        0.009634
1940-1949     55-59            0.011171        0.018776        0.014624
1940-1949     60-64            0.017604        0.028750        0.022619
1940-1949     65-69            0.028468        0.043113        0.035001
1940-1949     70-74            0.048108        0.065871        0.055871
1940-1949     75-79            0.079667        0.105310        0.090183
1940-1949     80-84            0.126375        0.162002        0.139559
1940-1949     85-89            0.199720        0.248543        0.215406
1940-1949     90-94            0.289166        0.343852        0.303609
1940-1949     95-99            0.420649        0.486686        0.434556
1940-1949    100-104           0.577371        0.599401        0.581035
1940-1949    105-109           0.609982        0.652681        0.623173
1940-1949    110+                    .              .              .
1950-1959        0             0.023527        0.030408        0.027058
1950-1959      1-4             0.001016        0.001208        0.001114
1950-1959      5-9             0.000387        0.000551        0.000471
1950-1959     10-14            0.000320        0.000459        0.000391
1950-1959     15-19            0.000490        0.000867        0.000678
1950-1959     20-24            0.000712        0.001198        0.000951
1950-1959     25-29            0.000934        0.001268        0.001100
1950-1959     30-34            0.001197        0.001490        0.001342
1950-1959     35-39            0.001672        0.002094        0.001880
1950-1959     40-44            0.002496        0.003294        0.002887
1950-1959     45-49            0.003881        0.005783        0.004812
1950-1959     50-54            0.005943        0.010280        0.008026
1950-1959     55-59            0.009157        0.017609        0.013035
1950-1959     60-64            0.014965        0.028514        0.020888
1950-1959     65-69            0.024948        0.044327        0.033121
1950-1959     70-74            0.043030        0.068264        0.053279
1950-1959     75-79            0.074009        0.106269        0.086610
1950-1959     80-84            0.120873        0.160834        0.135464
1950-1959     85-89            0.193109        0.248014        0.210623
1950-1959     90-94            0.282206        0.352830        0.300347
1950-1959     95-99            0.404965        0.501415        0.423530
1950-1959    100-104           0.550349        0.612871        0.558668
1950-1959    105-109           0.801096        0.974026        0.813274
1950-1959    110+                    .              .              .
1960-1969        0             0.018155        0.023636        0.020961
1960-1969      1-4             0.000765        0.000933        0.000851
1960-1969      5-9             0.000308        0.000468        0.000390
1960-1969     10-14            0.000255        0.000407        0.000333
1960-1969     15-19            0.000382        0.000935        0.000664
1960-1969     20-24            0.000455        0.001050        0.000753
1960-1969     25-29            0.000585        0.000997        0.000793
1960-1969     30-34            0.000834        0.001205        0.001021
1960-1969     35-39            0.001339        0.001854        0.001597
1960-1969     40-44            0.002204        0.003117        0.002656
