Scotland, Exposure to risk (period 5x10), 	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1855-1859        0            231408.52       241317.46       472725.98
1855-1859      1-4            784922.95       809270.17      1594193.12
1855-1859      5-9            835951.74       863847.48      1699799.22
1855-1859     10-14           799814.99       778400.22      1578215.21
1855-1859     15-19           783545.60       683963.41      1467509.01
1855-1859     20-24           696636.45       556836.94      1253473.38
1855-1859     25-29           602711.92       485399.36      1088111.29
1855-1859     30-34           515390.82       424649.44       940040.26
1855-1859     35-39           468958.13       392343.04       861301.17
1855-1859     40-44           400363.17       342699.41       743062.58
1855-1859     45-49           361966.70       307321.94       669288.64
1855-1859     50-54           299033.03       252116.97       551150.00
1855-1859     55-59           283985.04       226466.00       510451.03
1855-1859     60-64           216355.35       166987.65       383343.00
1855-1859     65-69           167294.29       122686.72       289981.02
1855-1859     70-74           122522.97        87969.44       210492.41
1855-1859     75-79            84201.16        57637.05       141838.20
1855-1859     80-84            49879.46        31211.17        81090.62
1855-1859     85-89            20003.62        11818.06        31821.68
1855-1859     90-94             6540.22         3230.31         9770.53
1855-1859     95-99             1623.02          786.80         2409.83
1855-1859    100-104             253.12          119.52          372.64
1855-1859    105-109              13.54            1.31           14.85
1855-1859    110+                  0.00            0.00            0.00
1860-1869        0            495154.06       515832.56      1010986.62
1860-1869      1-4           1682400.96      1731706.57      3414107.53
1860-1869      5-9           1859222.98      1918865.32      3778088.30
1860-1869     10-14          1693609.71      1728308.08      3421917.78
1860-1869     15-19          1576310.76      1524042.78      3100353.53
1860-1869     20-24          1491795.76      1313572.92      2805368.67
1860-1869     25-29          1340400.45      1095621.15      2436021.59
1860-1869     30-34          1160337.39       934203.98      2094541.37
1860-1869     35-39          1012693.91       832115.85      1844809.76
1860-1869     40-44           889159.52       742188.13      1631347.65
1860-1869     45-49           782093.13       657536.20      1439629.33
1860-1869     50-54           674094.63       563415.05      1237509.68
1860-1869     55-59           581369.68       476250.04      1057619.72
1860-1869     60-64           492729.43       388027.44       880756.87
1860-1869     65-69           387579.19       291050.11       678629.30
1860-1869     70-74           265300.49       189080.27       454380.75
