PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
GRC,1,m,1956,1956,4,O,82156,2,.,.,0
GRC,1,f,1956,1956,4,O,76047,2,.,.,0
GRC,1,m,1957,1957,4,O,80721,2,.,.,0
GRC,1,f,1957,1957,4,O,75219,2,.,.,0
GRC,1,m,1958,1958,4,O,80421,2,.,.,0
GRC,1,f,1958,1958,4,O,74938,2,.,.,0
GRC,1,m,1959,1959,4,O,82743,2,.,.,0
GRC,1,f,1959,1959,4,O,77456,2,.,.,0
GRC,1,m,1960,1960,4,O,81270,2,.,.,0
GRC,1,f,1960,1960,4,O,75969,2,.,.,0
GRC,1,m,1961,1961,4,O,78175,2,.,.,0
GRC,1,f,1961,1961,4,O,72541,2,.,.,0
GRC,1,m,1962,1962,4,O,78330,2,.,.,0
GRC,1,f,1962,1962,4,O,73828,2,.,.,0
GRC,1,m,1963,1963,4,O,76459,.,.,.,0
GRC,1,f,1963,1963,4,O,71790,.,.,.,0
GRC,1,m,1964,1964,4,O,78970,.,.,.,0
GRC,1,f,1964,1964,4,O,74139,.,.,.,0
GRC,1,m,1965,1965,4,O,78354,.,.,.,0
GRC,1,f,1965,1965,4,O,73094,.,.,.,0
GRC,1,m,1966,1966,4,O,80046,.,.,.,0
GRC,1,f,1966,1966,4,O,74567,.,.,.,0
GRC,1,m,1967,1967,4,O,84166,.,.,.,0
GRC,1,f,1967,1967,4,O,78673,.,.,.,0
GRC,1,m,1968,1968,4,O,82492,.,.,.,0
GRC,1,f,1968,1968,4,O,77846,.,.,.,0
GRC,1,m,1969,1969,4,O,79677,.,.,.,0
GRC,1,f,1969,1969,4,O,74400,.,.,.,0
GRC,1,m,1970,1970,4,O,75024,.,.,.,0
GRC,1,f,1970,1970,4,O,69904,.,.,.,0
GRC,1,m,1971,1971,4,O,72918,.,.,.,0
GRC,1,f,1971,1971,4,O,68208,.,.,.,0
GRC,1,m,1972,1972,4,O,72685,.,.,.,0
GRC,1,f,1972,1972,4,O,68206,.,.,.,0
GRC,1,m,1973,1973,4,O,71292,.,.,.,0
GRC,1,f,1973,1973,4,O,66234,.,.,.,0
GRC,1,m,1974,1974,4,O,74386,.,.,.,0
GRC,1,f,1974,1974,4,O,69683,.,.,.,0
GRC,1,m,1975,1975,4,O,73313,.,.,.,0
GRC,1,f,1975,1975,4,O,68960,.,.,.,0
GRC,1,m,1976,1976,4,O,75916,.,.,.,0
GRC,1,f,1976,1976,4,O,70650,.,.,.,0
GRC,1,m,1977,1977,4,O,73884,.,.,.,0
GRC,1,f,1977,1977,4,O,69855,.,.,.,0
GRC,1,m,1978,1978,4,O,76099,.,.,.,0
GRC,1,f,1978,1978,4,O,70489,.,.,.,0
GRC,1,m,1979,1979,4,O,76695,.,.,.,0
GRC,1,f,1979,1979,4,O,71270,.,.,.,0
GRC,1,m,1980,1980,4,O,76698,.,.,.,0
GRC,1,f,1980,1980,4,O,71436,.,.,.,0
GRC,1,m,1981,1981,4,O,73044,.,.,.,1
GRC,1,f,1981,1981,4,O,67909,.,.,.,1
GRC,1,m,1982,1982,4,O,71073,.,.,.,1
GRC,1,f,1982,1982,4,O,66202,.,.,.,1
GRC,1,m,1983,1983,4,O,68846,.,.,.,1
GRC,1,f,1983,1983,4,O,63762,.,.,.,1
GRC,1,m,1984,1984,4,O,65126,.,.,.,1
GRC,1,f,1984,1984,4,O,60598,.,.,.,1
GRC,1,m,1985,1985,4,O,60422,.,.,.,1
GRC,1,f,1985,1985,4,O,56059,.,.,.,1
GRC,1,m,1986,1986,4,O,58422,.,.,.,1
GRC,1,f,1986,1986,4,O,54388,.,.,.,1
GRC,1,m,1987,1987,4,O,54688,.,.,.,1
GRC,1,f,1987,1987,4,O,51704,.,.,.,1
GRC,1,m,1988,1988,4,O,55621,.,.,.,1
GRC,1,f,1988,1988,4,O,51884,.,.,.,1
GRC,1,m,1989,1989,4,O,52481,.,.,.,1
GRC,1,f,1989,1989,4,O,49176,.,.,.,1
GRC,1,m,1990,1990,4,O,52422,.,.,.,1
GRC,1,f,1990,1990,4,O,49807,.,.,.,1
GRC,1,m,1991,1991,4,O,52690,.,.,.,1
GRC,1,f,1991,1991,4,O,49930,.,.,.,1
GRC,1,m,1992,1992,4,O,54067,.,.,.,1
GRC,1,f,1992,1992,4,O,50014,.,.,.,1
GRC,1,m,1993,1993,4,O,52429,.,.,.,1
GRC,1,f,1993,1993,4,O,49370,.,.,.,1
GRC,1,m,1994,1994,4,O,53667,.,.,.,1
GRC,1,f,1994,1994,4,O,50096,.,.,.,1
GRC,1,m,1995,1995,4,O,52700,.,.,.,1
GRC,1,f,1995,1995,4,O,48795,.,.,.,1
GRC,1,m,1996,1996,4,O,51510,.,.,.,1
GRC,1,f,1996,1996,4,O,49208,.,.,.,1
GRC,1,m,1997,1997,4,O,52606,.,.,.,1
GRC,1,f,1997,1997,4,O,49432,.,.,.,1
GRC,1,m,1998,1998,4,O,51992,.,.,.,1
GRC,1,f,1998,1998,4,O,48902,.,.,.,1
GRC,1,m,1999,1999,4,O,51884,.,.,.,1
GRC,1,f,1999,1999,4,O,48759,.,.,.,1
GRC,1,m,2000,2000,4,O,53149,.,.,.,1
GRC,1,f,2000,2000,4,O,50125,.,.,.,1
GRC,1,m,2001,2001,4,O,53231,.,.,.,1
GRC,1,f,2001,2001,4,O,49051,.,.,.,1
GRC,1,m,2002,2002,4,O,53142,.,.,.,1
GRC,1,f,2002,2002,4,O,50427,.,.,.,1
GRC,1,m,2003,2003,4,O,53714,.,.,.,1
GRC,1,f,2003,2003,4,O,50706,.,.,.,1
GRC,1,m,2004,2004,4,O,54605,.,.,.,1
GRC,1,f,2004,2004,4,O,51050,.,.,.,1
GRC,1,m,2005,2005,4,O,55539,.,.,.,1
GRC,1,f,2005,2005,4,O,52006,.,.,.,1
GRC,1,m,2006,2006,4,O,57739,.,.,.,1
GRC,1,f,2006,2006,4,O,54303,.,.,.,1
GRC,1,m,2007,2007,4,O,57959,.,.,.,1
GRC,1,f,2007,2007,4,O,53967,.,.,.,1
GRC,1,m,2008,2008,4,O,60966,.,.,.,1
GRC,1,f,2008,2008,4,O,57336,.,.,.,1
GRC,1,m,2009,2009,4,O,60832,.,.,.,1
GRC,1,f,2009,2009,4,O,57101,.,.,.,1
GRC,1,m,2010,2010,4,O,59127,.,.,.,1
GRC,1,f,2010,2010,4,O,55639,.,.,.,1
GRC,1,m,2011,2011,4,O,54862,.,.,.,1
GRC,1,f,2011,2011,4,O,51566,.,.,.,1
GRC,1,m,2012,2012,4,O,51654,.,.,.,1
GRC,1,f,2012,2012,4,O,48717,.,.,.,1
GRC,1,m,2013,2013,4,O,48430,.,.,.,1
GRC,1,f,2013,2013,4,O,45704,.,.,.,1
GRC,1,m,2014,2014,11,O,47384,.,.,.,1
GRC,1,f,2014,2014,11,O,44765,.,.,.,1
GRC,1,m,2015,2015,11,O,47294,.,.,.,1
GRC,1,f,2015,2015,11,O,44553,.,.,.,1
GRC,1,m,2016,2016,11,O,47882,.,.,.,1
GRC,1,f,2016,2016,11,O,45016,.,.,.,1
GRC,1,m,2017,2017,15,O,45686,.,.,.,1
GRC,1,f,2017,2017,15,O,42867,.,.,.,1
GRC,1,m,2018,2018,17,O,44525,.,.,.,1
