Greece,  Exposures (Lexis triangle)	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1981    0      1981    37629.47    40519.43    78148.90
 1981    0      1980    41892.34    45189.99    87082.33
 1981    1      1980    43028.79    46358.16    89386.95
 1981    1      1979    35475.33    37391.78    72867.10
 1981    2      1979    36776.82    38778.60    75555.42
 1981    2      1978    34590.39    36675.93    71266.33
 1981    3      1978    36434.08    38646.18    75080.26
 1981    3      1977    34425.58    36418.79    70844.37
 1981    4      1977    36256.18    38303.42    74559.59
 1981    4      1976    36187.36    38021.24    74208.60
 1981    5      1976    37630.88    39539.03    77169.90
 1981    5      1975    35635.88    38223.43    73859.31
 1981    6      1975    37092.98    39731.94    76824.92
 1981    6      1974    36007.91    37661.21    73669.12
 1981    7      1974    38149.42    39910.97    78060.39
 1981    7      1973    34577.95    36409.87    70987.82
 1981    8      1973    36743.38    38673.90    75417.28
 1981    8      1972    35687.30    37711.56    73398.86
 1981    9      1972    37339.56    39423.26    76762.82
 1981    9      1971    35104.95    36554.34    71659.29
 1981   10      1971    37773.28    39514.73    77288.01
 1981   10      1970    35307.53    37093.68    72401.20
 1981   11      1970    39068.87    41026.18    80095.04
 1981   11      1969    35949.92    38120.52    74070.43
 1981   12      1969    39720.89    42012.99    81733.88
 1981   12      1968    36952.76    39109.79    76062.55
 1981   13      1968    40673.52    42899.04    83572.56
 1981   13      1967    38180.72    40084.35    78265.07
 1981   14      1967    40365.70    42248.53    82614.23
 1981   14      1966    35960.19    38249.79    74209.99
 1981   15      1966    39023.42    41347.56    80370.98
 1981   15      1965    35087.28    37313.52    72400.80
 1981   16      1965    38186.29    40416.76    78603.06
 1981   16      1964    34480.14    36092.51    70572.65
 1981   17      1964    36747.21    38299.60    75046.82
 1981   17      1963    33045.61    33695.98    66741.59
 1981   18      1963    36261.41    36898.05    73159.46
 1981   18      1962    32790.23    33048.00    65838.23
 1981   19      1962    37062.15    37255.60    74317.76
 1981   19      1961    32788.35    35011.47    67799.82
 1981   20      1961    36727.05    38977.56    75704.61
 1981   20      1960    34602.61    35276.17    69878.78
 1981   21      1960    38823.19    39430.64    78253.83
 1981   21      1959    33413.34    33883.53    67296.87
 1981   22      1959    37220.86    37633.63    74854.49
 1981   22      1958    33422.31    33189.58    66611.89
 1981   23      1958    36577.24    36278.74    72855.98
 1981   23      1957    33459.39    32853.64    66313.04
 1981   24      1957    36121.43    35463.52    71584.95
 1981   24      1956    34281.57    32880.81    67162.37
 1981   25      1956    36979.79    35518.85    72498.64
 1981   25      1955    34557.77    33622.92    68180.69
 1981   26      1955    34683.20    33793.73    68476.93
 1981   26      1954    33211.76    33128.37    66340.13
 1981   27      1954    33278.00    33208.48    66486.49
 1981   27      1953    31843.19    32064.88    63908.07
 1981   28      1953    31874.77    32098.88    63973.64
 1981   28      1952    33355.62    33421.28    66776.90
 1981   29      1952    33433.53    33492.99    66926.52
 1981   29      1951    32865.68    33120.99    65986.66
 1981   30      1951    32914.57    33250.85    66165.42
 1981   30      1950    32282.80    32460.60    64743.40
 1981   31      1950    32391.84    32521.52    64913.36
 1981   31      1949    29734.92    29467.54    59202.46
 1981   32      1949    29836.75    29615.10    59451.86
 1981   32      1948    33158.70    31168.34    64327.03
 1981   33      1948    33122.34    31243.57    64365.90
 1981   33      1947    35086.34    33676.35    68762.69
 1981   34      1947    35071.89    33780.29    68852.18
 1981   34      1946    35467.17    34127.90    69595.08
 1981   35      1946    35513.25    34291.00    69804.25
 1981   35      1945    33318.39    31814.21    65132.61
 1981   36      1945    33468.54    32019.00    65487.54
