PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HKG,01,f,1948,1948,10,O,22175,.,.,.,1
HKG,01,m,1948,1948,10,O,25300,.,.,.,1
HKG,01,f,1949,1949,10,O,26236,.,.,.,1
HKG,01,m,1949,1949,10,O,28538,.,.,.,1
HKG,01,f,1950,1950,10,O,28855,.,.,.,1
HKG,01,m,1950,1950,10,O,31745,.,.,.,1
HKG,01,f,1951,1951,10,O,32555,.,.,.,1
HKG,01,m,1951,1951,10,O,35945,.,.,.,1
HKG,01,f,1952,1952,10,O,34406,.,.,.,1
HKG,01,m,1952,1952,10,O,37570,.,.,.,1
HKG,01,f,1953,1953,10,O,36002,.,.,.,1
HKG,01,m,1953,1953,10,O,39542,.,.,.,1
HKG,01,f,1954,1954,10,O,40024,.,.,.,1
HKG,01,m,1954,1954,10,O,43293,.,.,.,1
HKG,01,f,1955,1955,10,O,43186,.,.,.,1
HKG,01,m,1955,1955,10,O,47325,.,.,.,1
HKG,01,f,1956,1956,10,O,46748,.,.,.,1
HKG,01,m,1956,1956,10,O,49998,.,.,.,1
HKG,01,f,1957,1957,10,O,46567,.,.,.,1
HKG,01,m,1957,1957,10,O,51267,.,.,.,1
HKG,01,f,1958,1958,10,O,51024,.,.,.,1
HKG,01,m,1958,1958,10,O,55600,.,.,.,1
HKG,01,f,1959,1959,10,O,50194,.,.,.,1
HKG,01,m,1959,1959,10,O,54385,.,.,.,1
HKG,01,f,1960,1960,10,O,53619,.,.,.,1
HKG,01,m,1960,1960,10,O,57048,.,.,.,1
HKG,01,f,1961,1961,10,O,53523,.,.,.,1
HKG,01,m,1961,1961,10,O,57361,.,.,.,1
HKG,01,f,1962,1962,10,O,54342,.,.,.,1
HKG,01,m,1962,1962,10,O,58161,.,.,.,1
HKG,01,f,1963,1963,10,O,55486,.,.,.,1
HKG,01,m,1963,1963,10,O,59064,.,.,.,1
HKG,01,f,1964,1964,10,O,52237,.,.,.,1
HKG,01,m,1964,1964,10,O,55388,.,.,.,1
HKG,01,f,1965,1965,10,O,49081,.,.,.,1
HKG,01,m,1965,1965,10,O,52029,.,.,.,1
HKG,01,f,1966,1966,10,O,44343,.,.,.,1
HKG,01,m,1966,1966,10,O,47489,.,.,.,1
HKG,01,f,1967,1967,10,O,42547,.,.,.,1
HKG,01,m,1967,1967,10,O,45668,.,.,.,1
HKG,01,f,1968,1968,10,O,40077,.,.,.,1
HKG,01,m,1968,1968,10,O,42608,.,.,.,1
HKG,01,f,1969,1969,10,O,40002,.,.,.,1
HKG,01,m,1969,1969,10,O,42480,.,.,.,1
HKG,01,f,1970,1970,10,O,38398,.,.,.,1
HKG,01,m,1970,1970,10,O,40734,.,.,.,1
HKG,01,f,1971,1971,10,O,38693,.,.,.,1
HKG,01,m,1971,1971,10,O,41096,.,.,.,1
HKG,01,f,1972,1972,10,O,38868,.,.,.,1
HKG,01,m,1972,1972,10,O,41476,.,.,.,1
HKG,01,f,1973,1973,10,O,39835,.,.,.,1
HKG,01,m,1973,1973,10,O,42417,.,.,.,1
HKG,01,f,1974,1974,10,O,40614,.,.,.,1
HKG,01,m,1974,1974,10,O,42967,.,.,.,1
HKG,01,f,1975,1975,10,O,38255,.,.,.,1
HKG,01,m,1975,1975,10,O,41535,.,.,.,1
HKG,01,f,1976,1976,10,O,37731,.,.,.,1
HKG,01,m,1976,1976,10,O,40780,.,.,.,1
HKG,01,f,1977,1977,10,O,38689,.,.,.,1
HKG,01,m,1977,1977,10,O,41333,.,.,.,1
HKG,01,f,1978,1978,10,O,39184,.,.,.,1
HKG,01,m,1978,1978,10,O,41773,.,.,.,1
HKG,01,f,1979,1979,10,O,39623,.,.,.,1
HKG,01,m,1979,1979,10,O,42352,.,.,.,1
HKG,01,f,1980,1980,10,O,41189,.,.,.,1
HKG,01,m,1980,1980,10,O,44101,.,.,.,1
HKG,01,f,1981,1981,10,O,42141,.,.,.,1
HKG,01,m,1981,1981,10,O,44610,.,.,.,1
HKG,01,f,1982,1982,10,O,41769,.,.,.,1
HKG,01,m,1982,1982,10,O,44351,.,.,.,1
HKG,01,f,1983,1983,10,O,40457,.,.,.,1
HKG,01,m,1983,1983,10,O,42836,.,.,.,1
HKG,01,f,1984,1984,10,O,37354,.,.,.,1
HKG,01,m,1984,1984,10,O,39943,.,.,.,1
HKG,01,f,1985,1985,10,O,36830,.,.,.,1
HKG,01,m,1985,1985,10,O,39296,.,.,.,1
HKG,01,f,1986,1986,10,O,34703,.,.,.,1
HKG,01,m,1986,1986,10,O,36917,.,.,.,1
HKG,01,f,1987,1987,10,O,33979,.,.,.,1
HKG,01,m,1987,1987,10,O,35979,.,.,.,1
HKG,01,f,1988,1988,10,O,36366,.,.,.,1
HKG,01,m,1988,1988,10,O,39046,.,.,.,1
HKG,01,f,1989,1989,10,O,33806,.,.,.,1
HKG,01,m,1989,1989,10,O,35815,.,.,.,1
HKG,01,f,1990,1990,10,O,32616,.,.,.,1
HKG,01,m,1990,1990,10,O,35115,.,.,.,1
HKG,01,f,1991,1991,10,O,33084,.,.,.,1
HKG,01,m,1991,1991,10,O,35197,.,.,.,1
