PopName,Area,Year,YearReg,Month,RefCode,Births,Access,NoteCode1,NoteCode2,NoteCode3,LDB
HKG,01,1971,1971,9,11,7263,O,.,.,.,1
HKG,01,1971,1971,10,11,7623,O,.,.,.,1
HKG,01,1971,1971,6,11,6078,O,.,.,.,1
HKG,01,1971,1971,TOT,11,79789,O,.,.,.,1
HKG,01,1971,1971,4,11,5494,O,.,.,.,1
HKG,01,1971,1971,2,11,5790,O,.,.,.,1
HKG,01,1971,1971,7,11,6737,O,.,.,.,1
HKG,01,1971,1971,11,11,7203,O,.,.,.,1
HKG,01,1971,1971,3,11,5942,O,.,.,.,1
HKG,01,1971,1971,1,11,7092,O,.,.,.,1
HKG,01,1971,1971,8,11,7289,O,.,.,.,1
HKG,01,1971,1971,5,11,5888,O,.,.,.,1
HKG,01,1971,1971,12,11,7390,O,.,.,.,1
HKG,01,1972,1972,4,11,5562,O,.,.,.,1
HKG,01,1972,1972,6,11,6278,O,.,.,.,1
HKG,01,1972,1972,1,11,5981,O,.,.,.,1
HKG,01,1972,1972,2,11,6004,O,.,.,.,1
HKG,01,1972,1972,8,11,7470,O,.,.,.,1
HKG,01,1972,1972,7,11,7130,O,.,.,.,1
HKG,01,1972,1972,5,11,5986,O,.,.,.,1
HKG,01,1972,1972,12,11,6865,O,.,.,.,1
HKG,01,1972,1972,3,11,6150,O,.,.,.,1
HKG,01,1972,1972,TOT,11,80344,O,.,.,.,1
HKG,01,1972,1972,11,11,7234,O,.,.,.,1
HKG,01,1972,1972,9,11,7880,O,.,.,.,1
HKG,01,1972,1972,10,11,7804,O,.,.,.,1
HKG,01,1973,1973,7,11,6883,O,.,.,.,1
HKG,01,1973,1973,11,11,7517,O,.,.,.,1
HKG,01,1973,1973,12,11,7180,O,.,.,.,1
HKG,01,1973,1973,TOT,11,82252,O,.,.,.,1
HKG,01,1973,1973,10,11,7947,O,.,.,.,1
HKG,01,1973,1973,6,11,6081,O,.,.,.,1
HKG,01,1973,1973,9,11,7710,O,.,.,.,1
HKG,01,1973,1973,3,11,6467,O,.,.,.,1
HKG,01,1973,1973,8,11,7522,O,.,.,.,1
HKG,01,1973,1973,1,11,7239,O,.,.,.,1
HKG,01,1973,1973,4,11,5744,O,.,.,.,1
HKG,01,1973,1973,2,11,5939,O,.,.,.,1
HKG,01,1973,1973,5,11,6023,O,.,.,.,1
HKG,01,1974,1974,8,11,8057,O,.,.,.,1
HKG,01,1974,1974,4,11,5818,O,.,.,.,1
HKG,01,1974,1974,3,11,6278,O,.,.,.,1
HKG,01,1974,1974,5,11,6157,O,.,.,.,1
HKG,01,1974,1974,TOT,11,83581,O,.,.,.,1
HKG,01,1974,1974,6,11,6577,O,.,.,.,1
HKG,01,1974,1974,2,11,5899,O,.,.,.,1
HKG,01,1974,1974,10,11,8083,O,.,.,.,1
HKG,01,1974,1974,1,11,7020,O,.,.,.,1
HKG,01,1974,1974,9,11,8043,O,.,.,.,1
HKG,01,1974,1974,12,11,7059,O,.,.,.,1
HKG,01,1974,1974,11,11,6989,O,.,.,.,1
HKG,01,1974,1974,7,11,7601,O,.,.,.,1
HKG,01,1975,1975,7,11,6788,O,.,.,.,1
HKG,01,1975,1975,3,11,6356,O,.,.,.,1
HKG,01,1975,1975,5,11,5914,O,.,.,.,1
HKG,01,1975,1975,9,11,7169,O,.,.,.,1
HKG,01,1975,1975,8,11,7023,O,.,.,.,1
HKG,01,1975,1975,11,11,6915,O,.,.,.,1
HKG,01,1975,1975,TOT,11,79790,O,.,.,.,1
HKG,01,1975,1975,1,11,7023,O,.,.,.,1
HKG,01,1975,1975,4,11,5895,O,.,.,.,1
HKG,01,1975,1975,10,11,7372,O,.,.,.,1
HKG,01,1975,1975,12,11,7312,O,.,.,.,1
HKG,01,1975,1975,6,11,6028,O,.,.,.,1
HKG,01,1975,1975,2,11,5995,O,.,.,.,1
HKG,01,1976,1976,TOT,11,78511,O,.,.,.,1
HKG,01,1976,1976,7,11,6510,O,.,.,.,1
HKG,01,1976,1976,8,11,7280,O,.,.,.,1
HKG,01,1976,1976,4,11,5589,O,.,.,.,1
HKG,01,1976,1976,9,11,7313,O,.,.,.,1
HKG,01,1976,1976,11,11,7236,O,.,.,.,1
HKG,01,1976,1976,3,11,5963,O,.,.,.,1
HKG,01,1976,1976,5,11,5760,O,.,.,.,1
HKG,01,1976,1976,12,11,7408,O,.,.,.,1
HKG,01,1976,1976,1,11,6264,O,.,.,.,1
HKG,01,1976,1976,6,11,5824,O,.,.,.,1
HKG,01,1976,1976,10,11,7665,O,.,.,.,1
HKG,01,1976,1976,2,11,5699,O,.,.,.,1
HKG,01,1977,1977,7,11,6841,O,.,.,.,1
HKG,01,1977,1977,12,11,7049,O,.,.,.,1
HKG,01,1977,1977,9,11,7279,O,.,.,.,1
HKG,01,1977,1977,3,11,5862,O,.,.,.,1
HKG,01,1977,1977,2,11,6002,O,.,.,.,1
HKG,01,1977,1977,5,11,6064,O,.,.,.,1
HKG,01,1977,1977,6,11,6384,O,.,.,.,1
HKG,01,1977,1977,4,11,5593,O,.,.,.,1
HKG,01,1977,1977,10,11,7559,O,.,.,.,1
HKG,01,1977,1977,8,11,7271,O,.,.,.,1
