Hong Kong, Exposure to risk (period 5x10), 	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1986-1989        0            144235.24       155113.75       299349.00
1986-1989      1-4            621506.05       670681.01      1292187.06
1986-1989      5-9            822693.77       886749.08      1709442.85
1986-1989     10-14           823017.93       897612.06      1720629.99
1986-1989     15-19           841861.99       916677.92      1758539.90
1986-1989     20-24          1042342.47      1078790.06      2121132.54
1986-1989     25-29          1216334.27      1258108.36      2474442.63
1986-1989     30-34          1066673.33      1140836.91      2207510.23
1986-1989     35-39           855461.75       953889.33      1809351.08
1986-1989     40-44           553874.74       661827.18      1215701.92
1986-1989     45-49           446425.73       546063.30       992489.03
1986-1989     50-54           497448.42       584618.78      1082067.21
1986-1989     55-59           493512.13       546995.65      1040507.77
1986-1989     60-64           443980.28       452825.13       896805.41
1986-1989     65-69           359786.67       335314.43       695101.11
1986-1989     70-74           281228.25       232390.37       513618.62
1986-1989     75-79           187274.60       124414.12       311688.71
1986-1989     80-84            90712.42        40075.89       130788.31
1986-1989     85-89            44564.85        13158.19        57723.04
1986-1989     90-94            14420.65         2596.83        17017.48
1986-1989     95-99             3097.17          431.00         3528.17
1986-1989    100-104             367.30           37.91          405.21
1986-1989    105-109              11.53            0.07           11.60
1986-1989    110+                  0.00            0.00            0.00
1990-1999        0            325064.43       352153.50       677217.92
1990-1999      1-4           1422786.88      1540751.89      2963538.77
1990-1999      5-9           1922206.88      2058986.29      3981193.17
1990-1999     10-14          2065018.84      2201586.77      4266605.61
1990-1999     15-19          2094648.85      2235627.69      4330276.54
1990-1999     20-24          2305344.79      2278795.22      4584140.01
1990-1999     25-29          2926693.88      2643390.24      5570084.11
1990-1999     30-34          3267787.18      3064177.82      6331964.99
1990-1999     35-39          3052846.08      3047014.28      6099860.36
1990-1999     40-44          2463531.84      2602127.26      5065659.10
1990-1999     45-49          1765481.47      1992747.77      3758229.24
1990-1999     50-54          1245874.99      1486093.48      2731968.47
1990-1999     55-59          1178036.16      1381265.56      2559301.72
1990-1999     60-64          1223149.35      1319771.05      2542920.40
1990-1999     65-69          1110212.23      1093459.49      2203671.73
1990-1999     70-74           879973.42       765557.19      1645530.60
1990-1999     75-79           632868.63       479481.13      1112349.76
1990-1999     80-84           353976.92       204917.84       558894.76
1990-1999     85-89           171259.25        69218.37       240477.62
1990-1999     90-94            63519.27        15579.68        79098.94
1990-1999     95-99            15855.63         2326.68        18182.31
1990-1999    100-104            2196.03          150.75         2346.79
1990-1999    105-109             149.33            0.13          149.45
1990-1999    110+                  0.09            0.00            0.09
2000-2009        0            204516.91       222780.93       427297.84
2000-2009      1-4            941978.41      1015536.62      1957515.03
2000-2009      5-9           1642970.90      1758296.11      3401267.02
2000-2009     10-14          2019916.65      2133164.88      4153081.52
2000-2009     15-19          2144538.63      2248906.79      4393445.42
2000-2009     20-24          2395980.81      2231520.56      4627501.38
2000-2009     25-29          2802838.99      2301906.69      5104745.68
2000-2009     30-34          3178491.61      2431040.32      5609531.93
2000-2009     35-39          3460742.79      2717837.61      6178580.40
2000-2009     40-44          3528054.84      3109236.39      6637291.23
2000-2009     45-49          3132878.55      3017747.11      6150625.66
2000-2009     50-54          2507023.76      2535962.83      5042986.59
2000-2009     55-59          1764691.19      1861118.85      3625810.04
2000-2009     60-64          1243125.66      1370327.82      2613453.47
2000-2009     65-69          1173243.00      1251034.28      2424277.28
2000-2009     70-74          1136281.47      1098353.30      2234634.77
2000-2009     75-79           914606.73       768955.42      1683562.14
2000-2009     80-84           631945.83       409877.60      1041823.43
2000-2009     85-89           335870.47       172112.14       507982.61
2000-2009     90-94           138470.04        51164.93       189634.98
2000-2009     95-99            38622.86         9021.08        47643.94
2000-2009    100-104            6566.27          890.62         7456.89
2000-2009    105-109             567.05           21.19          588.24
2000-2009    110+                  8.27            0.00            8.27
2010-2019        0            244449.73       263601.19       508050.92
2010-2019      1-4           1039642.38      1120234.18      2159876.56
2010-2019      5-9           1325155.18      1421450.00      2746605.18
2010-2019     10-14          1414603.91      1493847.95      2908451.85
2010-2019     15-19          1780389.04      1887985.86      3668374.90
2010-2019     20-24          2250690.65      2195797.61      4446488.26
2010-2019     25-29          2875801.77      2271456.56      5147258.33
2010-2019     30-34          3346831.09      2291767.39      5638598.48
2010-2019     35-39          3410739.88      2320376.84      5731116.72
2010-2019     40-44          3353361.48      2374508.81      5727870.29
2010-2019     45-49          3383444.27      2622667.46      6006111.73
2010-2019     50-54          3358822.63      2951423.74      6310246.36
2010-2019     55-59          2987460.63      2864920.51      5852381.13
2010-2019     60-64          2386051.07      2342702.84      4728753.91
2010-2019     65-69          1694540.84      1697329.54      3391870.38
2010-2019     70-74          1184144.91      1206719.15      2390864.06
2010-2019     75-79          1050254.43       983853.38      2034107.81
2010-2019     80-84           920285.61       714135.42      1634421.03
2010-2019     85-89           633752.29       373973.38      1007725.68
2010-2019     90-94           298698.59       125119.22       423817.81
2010-2019     95-99            85821.78        24952.18       110773.96
2010-2019    100-104           14295.50         2709.68        17005.17
2010-2019    105-109            1103.50          116.70         1220.20
2010-2019    110+                 19.25            0.00           19.25
