Hong Kong, Death rates (period 1x5), 	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1986-1989        0             0.006697        0.007613        0.007172
1986-1989        1             0.000573        0.000574        0.000574
1986-1989        2             0.000282        0.000327        0.000306
1986-1989        3             0.000278        0.000345        0.000313
1986-1989        4             0.000220        0.000211        0.000215
1986-1989        5             0.000169        0.000196        0.000183
1986-1989        6             0.000156        0.000162        0.000159
1986-1989        7             0.000218        0.000197        0.000207
1986-1989        8             0.000117        0.000159        0.000139
1986-1989        9             0.000157        0.000186        0.000172
1986-1989       10             0.000111        0.000222        0.000169
1986-1989       11             0.000148        0.000147        0.000147
1986-1989       12             0.000183        0.000206        0.000195
1986-1989       13             0.000216        0.000237        0.000227
1986-1989       14             0.000184        0.000256        0.000222
1986-1989       15             0.000157        0.000310        0.000237
1986-1989       16             0.000215        0.000274        0.000246
1986-1989       17             0.000247        0.000414        0.000334
1986-1989       18             0.000280        0.000488        0.000388
1986-1989       19             0.000335        0.000466        0.000403
1986-1989       20             0.000352        0.000520        0.000439
1986-1989       21             0.000313        0.000467        0.000392
1986-1989       22             0.000339        0.000493        0.000417
1986-1989       23             0.000350        0.000638        0.000496
1986-1989       24             0.000347        0.000526        0.000437
1986-1989       25             0.000328        0.000718        0.000525
1986-1989       26             0.000327        0.000563        0.000446
1986-1989       27             0.000321        0.000599        0.000462
1986-1989       28             0.000380        0.000708        0.000547
1986-1989       29             0.000483        0.000693        0.000591
1986-1989       30             0.000459        0.000938        0.000705
1986-1989       31             0.000563        0.000820        0.000696
1986-1989       32             0.000535        0.000926        0.000737
1986-1989       33             0.000612        0.000871        0.000747
1986-1989       34             0.000595        0.000869        0.000737
1986-1989       35             0.000647        0.001045        0.000855
1986-1989       36             0.000831        0.001258        0.001055
1986-1989       37             0.000782        0.001284        0.001047
1986-1989       38             0.000749        0.001402        0.001095
1986-1989       39             0.001036        0.001481        0.001273
1986-1989       40             0.000920        0.001825        0.001406
1986-1989       41             0.000948        0.001778        0.001397
1986-1989       42             0.000898        0.002053        0.001528
1986-1989       43             0.001267        0.002311        0.001842
1986-1989       44             0.001244        0.002795        0.002102
1986-1989       45             0.001479        0.003232        0.002450
1986-1989       46             0.001462        0.003442        0.002556
1986-1989       47             0.001646        0.003593        0.002717
1986-1989       48             0.001951        0.003964        0.003055
1986-1989       49             0.002267        0.004419        0.003443
1986-1989       50             0.002551        0.005899        0.004374
1986-1989       51             0.002872        0.005649        0.004380
1986-1989       52             0.003260        0.006041        0.004763
1986-1989       53             0.003803        0.007216        0.005641
1986-1989       54             0.003622        0.007653        0.005777
1986-1989       55             0.004515        0.008712        0.006747
1986-1989       56             0.004703        0.010132        0.007577
1986-1989       57             0.004990        0.010020        0.007638
1986-1989       58             0.005557        0.012221        0.009038
1986-1989       59             0.005488        0.011621        0.008664
1986-1989       60             0.007100        0.014588        0.010960
1986-1989       61             0.007134        0.014502        0.010879
1986-1989       62             0.008976        0.016437        0.012739
1986-1989       63             0.008697        0.018641        0.013668
1986-1989       64             0.010614        0.019262        0.014890
1986-1989       65             0.012138        0.023264        0.017593
