PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HRV,1,m,2001,2001,1,O,21019,1,2,5,1
HRV,1,m,2002,2002,1,O,20584,1,2,5,1
HRV,1,m,2003,2003,1,O,20381,1,2,5,1
HRV,1,m,2004,2004,1,O,20875,1,2,5,1
HRV,1,m,2005,2005,1,O,21750,1,2,5,1
HRV,1,m,2006,2006,1,O,21469,1,2,5,1
HRV,1,m,2007,2007,1,O,21460,1,2,5,1
HRV,1,m,2008,2008,1,O,22482,1,2,5,1
HRV,1,m,2009,2009,1,O,22877,1,2,5,1
HRV,1,m,2010,2010,1,O,22423,1,2,5,1
HRV,1,m,2011,2011,1,O,21177,1,2,5,1
HRV,1,m,2012,2012,1,O,21687,1,2,5,1
HRV,1,m,2013,2013,1,O,20731,1,2,5,1
HRV,1,m,2014,2014,1,O,20374,1,2,5,1
HRV,1,m,2015,2015,1,O,19379,1,2,5,1
HRV,1,f,2001,2001,1,O,19974,1,2,5,1
HRV,1,f,2002,2002,1,O,19510,1,2,5,1
HRV,1,f,2003,2003,1,O,19287,1,2,5,1
HRV,1,f,2004,2004,1,O,19432,1,2,5,1
HRV,1,f,2005,2005,1,O,20742,1,2,5,1
HRV,1,f,2006,2006,1,O,19977,1,2,5,1
HRV,1,f,2007,2007,1,O,20450,1,2,5,1
HRV,1,f,2008,2008,1,O,21271,1,2,5,1
HRV,1,f,2009,2009,1,O,21700,1,2,5,1
HRV,1,f,2010,2010,1,O,20938,1,2,5,1
HRV,1,f,2011,2011,1,O,20020,1,2,5,1
HRV,1,f,2012,2012,1,O,20084,1,2,5,1
HRV,1,f,2013,2013,1,O,19208,1,2,5,1
HRV,1,f,2014,2014,1,O,19192,1,2,5,1
HRV,1,f,2015,2015,1,O,18124,1,2,5,1
HRV,1,m,2016,2016,7,O,19072,1,2,5,1
HRV,1,f,2016,2016,7,O,18465,1,2,5,1
HRV,1,m,2017,2017,11,O,18845,1,2,5,1
HRV,1,f,2017,2017,11,O,17711,1,2,5,1
HRV,1,m,2018,2018,16,O,19078,1,2,5,1
HRV,1,f,2018,2018,16,O,17867,1,2,5,1
HRV,1,m,2019,2019,18,O,18478,1,2,5,1
HRV,1,f,2019,2019,18,O,17657,1,2,5,1
HRV,1,m,2020,2020,25,O,18389,1,2,5,1
HRV,1,f,2020,2020,25,O,17456,1,2,5,1
