PopName,Area,Month,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HRV,1,1,1950,1950,8,O,10453,.,.,.,0
HRV,1,2,1950,1950,8,O,7743,.,.,.,0
HRV,1,3,1950,1950,8,O,8282,.,.,.,0
HRV,1,4,1950,1950,8,O,7669,.,.,.,0
HRV,1,5,1950,1950,8,O,7261,.,.,.,0
HRV,1,6,1950,1950,8,O,6985,.,.,.,0
HRV,1,7,1950,1950,8,O,7438,.,.,.,0
HRV,1,8,1950,1950,8,O,7588,.,.,.,0
HRV,1,9,1950,1950,8,O,8277,.,.,.,0
HRV,1,10,1950,1950,8,O,8562,.,.,.,0
HRV,1,11,1950,1950,8,O,7923,.,.,.,0
HRV,1,12,1950,1950,8,O,6993,.,.,.,0
HRV,1,TOT,1950,1950,8,O,95174,.,.,.,0
HRV,1,1,1951,1951,8,O,10483,.,.,.,0
HRV,1,2,1951,1951,8,O,7540,.,.,.,0
HRV,1,3,1951,1951,8,O,7956,.,.,.,0
HRV,1,4,1951,1951,8,O,6749,.,.,.,0
HRV,1,5,1951,1951,8,O,6742,.,.,.,0
HRV,1,6,1951,1951,8,O,6497,.,.,.,0
HRV,1,7,1951,1951,8,O,6681,.,.,.,0
HRV,1,8,1951,1951,8,O,7258,.,.,.,0
HRV,1,9,1951,1951,8,O,7356,.,.,.,0
HRV,1,10,1951,1951,8,O,7577,.,.,.,0
HRV,1,11,1951,1951,8,O,6865,.,.,.,0
HRV,1,12,1951,1951,8,O,5477,.,.,.,0
HRV,1,TOT,1951,1951,8,O,87181,.,.,.,0
HRV,1,1,1952,1952,8,O,9154,.,.,.,0
HRV,1,2,1952,1952,8,O,7486,.,.,.,0
HRV,1,3,1952,1952,8,O,7495,.,.,.,0
HRV,1,4,1952,1952,8,O,7238,.,.,.,0
HRV,1,5,1952,1952,8,O,7048,.,.,.,0
HRV,1,6,1952,1952,8,O,6929,.,.,.,0
HRV,1,7,1952,1952,8,O,7487,.,.,.,0
HRV,1,8,1952,1952,8,O,8039,.,.,.,0
HRV,1,9,1952,1952,8,O,8533,.,.,.,0
HRV,1,10,1952,1952,8,O,8416,.,.,.,0
HRV,1,11,1952,1952,8,O,7484,.,.,.,0
HRV,1,12,1952,1952,8,O,5916,.,.,.,0
HRV,1,TOT,1952,1952,8,O,91225,.,.,.,0
HRV,1,1,1953,1953,8,O,10456,.,.,.,0
HRV,1,2,1953,1953,8,O,7416,.,.,.,0
HRV,1,3,1953,1953,8,O,8316,.,.,.,0
HRV,1,4,1953,1953,8,O,6984,.,.,.,0
HRV,1,5,1953,1953,8,O,6736,.,.,.,0
HRV,1,6,1953,1953,8,O,7176,.,.,.,0
HRV,1,7,1953,1953,8,O,7301,.,.,.,0
HRV,1,8,1953,1953,8,O,7316,.,.,.,0
HRV,1,9,1953,1953,8,O,8031,.,.,.,0
HRV,1,10,1953,1953,8,O,7959,.,.,.,0
HRV,1,11,1953,1953,8,O,6745,.,.,.,0
HRV,1,12,1953,1953,8,O,5348,.,.,.,0
HRV,1,TOT,1953,1953,8,O,89784,.,.,.,0
