Popname,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
HRV,1,m,0,1,O,31,12,2000,14,O,21849,3,.,.,1
HRV,1,m,1,1,O,31,12,2000,14,O,22561,3,.,.,1
HRV,1,m,2,1,O,31,12,2000,14,O,23730,3,.,.,1
HRV,1,m,3,1,O,31,12,2000,14,O,24801,3,.,.,1
HRV,1,m,4,1,O,31,12,2000,14,O,25572,3,.,.,1
HRV,1,m,5,1,O,31,12,2000,14,O,24407,3,.,.,1
HRV,1,m,6,1,O,31,12,2000,14,O,23873,3,.,.,1
HRV,1,m,7,1,O,31,12,2000,14,O,24421,3,.,.,1
HRV,1,m,8,1,O,31,12,2000,14,O,23475,3,.,.,1
HRV,1,m,9,1,O,31,12,2000,14,O,25619,3,.,.,1
HRV,1,m,10,1,O,31,12,2000,14,O,25243,3,.,.,1
HRV,1,m,11,1,O,31,12,2000,14,O,25415,3,.,.,1
HRV,1,m,12,1,O,31,12,2000,14,O,26440,3,.,.,1
HRV,1,m,13,1,O,31,12,2000,14,O,26281,3,.,.,1
HRV,1,m,14,1,O,31,12,2000,14,O,26593,3,.,.,1
HRV,1,m,15,1,O,31,12,2000,14,O,27670,3,.,.,1
HRV,1,m,16,1,O,31,12,2000,14,O,28989,3,.,.,1
HRV,1,m,17,1,O,31,12,2000,14,O,28375,3,.,.,1
HRV,1,m,18,1,O,31,12,2000,14,O,28860,3,.,.,1
HRV,1,m,19,1,O,31,12,2000,14,O,29008,3,.,.,1
HRV,1,m,20,1,O,31,12,2000,14,O,29913,3,.,.,1
HRV,1,m,21,1,O,31,12,2000,14,O,29807,3,.,.,1
HRV,1,m,22,1,O,31,12,2000,14,O,29072,3,.,.,1
HRV,1,m,23,1,O,31,12,2000,14,O,29094,3,.,.,1
HRV,1,m,24,1,O,31,12,2000,14,O,28370,3,.,.,1
HRV,1,m,25,1,O,31,12,2000,14,O,28261,3,.,.,1
HRV,1,m,26,1,O,31,12,2000,14,O,28070,3,.,.,1
HRV,1,m,27,1,O,31,12,2000,14,O,27813,3,.,.,1
HRV,1,m,28,1,O,31,12,2000,14,O,28067,3,.,.,1
HRV,1,m,29,1,O,31,12,2000,14,O,28077,3,.,.,1
HRV,1,m,30,1,O,31,12,2000,14,O,26756,3,.,.,1
HRV,1,m,31,1,O,31,12,2000,14,O,27774,3,.,.,1
HRV,1,m,32,1,O,31,12,2000,14,O,28330,3,.,.,1
HRV,1,m,33,1,O,31,12,2000,14,O,29428,3,.,.,1
HRV,1,m,34,1,O,31,12,2000,14,O,30628,3,.,.,1
HRV,1,m,35,1,O,31,12,2000,14,O,31109,3,.,.,1
HRV,1,m,36,1,O,31,12,2000,14,O,29726,3,.,.,1
HRV,1,m,37,1,O,31,12,2000,14,O,30323,3,.,.,1
HRV,1,m,38,1,O,31,12,2000,14,O,30886,3,.,.,1
HRV,1,m,39,1,O,31,12,2000,14,O,31894,3,.,.,1
HRV,1,m,40,1,O,31,12,2000,14,O,32300,3,.,.,1
HRV,1,m,41,1,O,31,12,2000,14,O,32884,3,.,.,1
HRV,1,m,42,1,O,31,12,2000,14,O,32545,3,.,.,1
HRV,1,m,43,1,O,31,12,2000,14,O,32475,3,.,.,1
HRV,1,m,44,1,O,31,12,2000,14,O,34115,3,.,.,1
HRV,1,m,45,1,O,31,12,2000,14,O,34322,3,.,.,1
HRV,1,m,46,1,O,31,12,2000,14,O,35043,3,.,.,1
HRV,1,m,47,1,O,31,12,2000,14,O,33223,3,.,.,1
HRV,1,m,48,1,O,31,12,2000,14,O,32617,3,.,.,1
HRV,1,m,49,1,O,31,12,2000,14,O,30211,3,.,.,1
HRV,1,m,50,1,O,31,12,2000,14,O,31456,3,.,.,1
HRV,1,m,51,1,O,31,12,2000,14,O,30399,3,.,.,1
HRV,1,m,52,1,O,31,12,2000,14,O,27897,3,.,.,1
HRV,1,m,53,1,O,31,12,2000,14,O,27251,3,.,.,1
HRV,1,m,54,1,O,31,12,2000,14,O,24583,3,.,.,1
HRV,1,m,55,1,O,31,12,2000,14,O,18856,3,.,.,1
HRV,1,m,56,1,O,31,12,2000,14,O,20425,3,.,.,1
HRV,1,m,57,1,O,31,12,2000,14,O,22376,3,.,.,1
HRV,1,m,58,1,O,31,12,2000,14,O,24921,3,.,.,1
HRV,1,m,59,1,O,31,12,2000,14,O,23148,3,.,.,1
HRV,1,m,60,1,O,31,12,2000,14,O,24783,3,.,.,1
HRV,1,m,61,1,O,31,12,2000,14,O,24508,3,.,.,1
HRV,1,m,62,1,O,31,12,2000,14,O,24077,3,.,.,1
HRV,1,m,63,1,O,31,12,2000,14,O,24814,3,.,.,1
HRV,1,m,64,1,O,31,12,2000,14,O,24208,3,.,.,1
HRV,1,m,65,1,O,31,12,2000,14,O,23600,3,.,.,1
HRV,1,m,66,1,O,31,12,2000,14,O,23233,3,.,.,1
HRV,1,m,67,1,O,31,12,2000,14,O,22358,3,.,.,1
HRV,1,m,68,1,O,31,12,2000,14,O,21305,3,.,.,1
HRV,1,m,69,1,O,31,12,2000,14,O,20539,3,.,.,1
HRV,1,m,70,1,O,31,12,2000,14,O,20072,3,.,.,1
HRV,1,m,71,1,O,31,12,2000,14,O,17885,3,.,.,1
HRV,1,m,72,1,O,31,12,2000,14,O,16318,3,.,.,1
HRV,1,m,73,1,O,31,12,2000,14,O,13890,3,.,.,1
HRV,1,m,74,1,O,31,12,2000,14,O,12668,3,.,.,1
HRV,1,m,75,1,O,31,12,2000,14,O,10599,3,.,.,1
HRV,1,m,76,1,O,31,12,2000,14,O,9687,3,.,.,1
HRV,1,m,77,1,O,31,12,2000,14,O,8717,3,.,.,1
HRV,1,m,78,1,O,31,12,2000,14,O,7673,3,.,.,1
HRV,1,m,79,1,O,31,12,2000,14,O,6938,3,.,.,1
HRV,1,m,80,1,O,31,12,2000,14,O,5942,3,.,.,1
HRV,1,m,81,1,O,31,12,2000,14,O,5063,3,.,.,1
HRV,1,m,82,1,O,31,12,2000,14,O,2092,3,.,.,1
HRV,1,m,83,1,O,31,12,2000,14,O,1765,3,.,.,1
HRV,1,m,84,1,O,31,12,2000,14,O,1508,3,.,.,1
HRV,1,m,85,1,O,31,12,2000,14,O,1972,3,.,.,1
HRV,1,m,86,1,O,31,12,2000,14,O,2509,3,.,.,1
HRV,1,m,87,1,O,31,12,2000,14,O,1989,3,.,.,1
HRV,1,m,88,1,O,31,12,2000,14,O,1600,3,.,.,1
HRV,1,m,89,1,O,31,12,2000,14,O,1104,3,.,.,1
HRV,1,m,90,1,O,31,12,2000,14,O,896,3,.,.,1
HRV,1,m,91,1,O,31,12,2000,14,O,717,3,.,.,1
HRV,1,m,92,1,O,31,12,2000,14,O,468,3,.,.,1
HRV,1,m,93,1,O,31,12,2000,14,O,348,3,.,.,1
HRV,1,m,94,1,O,31,12,2000,14,O,215,3,.,.,1
HRV,1,m,95,1,O,31,12,2000,14,O,126,3,.,.,1
HRV,1,m,96,1,O,31,12,2000,14,O,85,3,.,.,1
HRV,1,m,97,1,O,31,12,2000,14,O,46,3,.,.,1
HRV,1,m,98,1,O,31,12,2000,14,O,28,3,.,.,1
HRV,1,m,99,1,O,31,12,2000,14,O,16,3,.,.,1
HRV,1,m,100,+,O,31,12,2000,14,O,26,3,.,.,1
HRV,1,m,UNK,.,O,31,12,2000,14,O,83,3,.,.,1
HRV,1,m,TOT,.,O,31,12,2000,14,O,2064097,3,.,.,1
HRV,1,f,0,1,O,31,12,2000,14,O,20585,3,.,.,1
HRV,1,f,1,1,O,31,12,2000,14,O,21461,3,.,.,1
HRV,1,f,2,1,O,31,12,2000,14,O,22689,3,.,.,1
HRV,1,f,3,1,O,31,12,2000,14,O,23840,3,.,.,1
HRV,1,f,4,1,O,31,12,2000,14,O,23992,3,.,.,1
HRV,1,f,5,1,O,31,12,2000,14,O,23192,3,.,.,1
