Ireland,  Exposures (Lexis triangle)	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1950    0      1950    15570.52    16462.09    32032.61
 1950    0      1949    15385.14    16131.83    31516.97
 1950    1      1949    15269.41    15968.39    31237.80
 1950    1      1948    15211.42    15958.73    31170.15
 1950    2      1948    15186.13    15925.18    31111.31
 1950    2      1947    15127.96    15909.65    31037.61
 1950    3      1947    15109.35    15887.74    30997.08
 1950    3      1946    14916.60    15696.38    30612.98
 1950    4      1946    14899.96    15679.13    30579.09
 1950    4      1945    14595.64    15259.55    29855.18
 1950    5      1945    14581.34    15247.20    29828.54
 1950    5      1944    13883.54    14494.47    28378.01
 1950    6      1944    13873.43    14486.52    28359.94
 1950    6      1943    13525.07    14097.23    27622.30
 1950    7      1943    13517.57    14088.49    27606.06
 1950    7      1942    13022.62    13542.56    26565.18
 1950    8      1942    13015.80    13531.92    26547.72
 1950    8      1941    12316.81    12900.75    25217.56
 1950    9      1941    12312.00    12892.97    25204.97
 1950    9      1940    12475.67    12938.88    25414.55
 1950   10      1940    12470.42    12933.11    25403.53
 1950   10      1939    12550.90    13103.63    25654.53
 1950   11      1939    12545.38    13097.46    25642.84
 1950   11      1938    12369.76    12854.35    25224.11
 1950   12      1938    12364.44    12848.18    25212.62
 1950   12      1937    12351.50    12717.15    25068.64
 1950   13      1937    12344.34    12711.32    25055.66
 1950   13      1936    12538.54    12887.02    25425.56
 1950   14      1936    12531.53    12881.36    25412.89
 1950   14      1935    12158.55    12712.38    24870.93
 1950   15      1935    12150.23    12706.60    24856.83
 1950   15      1934    11655.21    12510.07    24165.29
 1950   16      1934    11645.54    12502.43    24147.97
 1950   16      1933    11170.92    12228.90    23399.81
 1950   17      1933    11160.27    12220.22    23380.49
 1950   17      1932    10739.85    11914.50    22654.35
 1950   18      1932    10726.36    11905.84    22632.21
 1950   18      1931     9957.02    11302.05    21259.07
 1950   19      1931     9943.17    11290.75    21233.92
 1950   19      1930     9908.12    11197.66    21105.77
 1950   20      1930     9894.35    11182.33    21076.69
 1950   20      1929     9552.47    10524.27    20076.73
 1950   21      1929     9538.63    10507.60    20046.23
 1950   21      1928     9376.33    10084.06    19460.39
 1950   22      1928     9363.50    10069.45    19432.95
 1950   22      1927     9381.75     9790.01    19171.76
 1950   23      1927     9365.41     9774.09    19139.50
 1950   23      1926     9543.82     9719.94    19263.76
 1950   24      1926     9523.65     9699.75    19223.40
 1950   24      1925     9717.85     9771.08    19488.93
 1950   25      1925     9699.99     9752.07    19452.07
 1950   25      1924     9795.34     9864.65    19659.99
 1950   26      1924     9780.17     9847.98    19628.16
 1950   26      1923     9754.60     9798.44    19553.04
 1950   27      1923     9737.42     9781.08    19518.50
 1950   27      1922     9992.40     9961.00    19953.40
 1950   28      1922     9972.39     9943.18    19915.57
 1950   28      1921     9945.14    10044.46    19989.59
 1950   29      1921     9924.80    10027.14    19951.94
 1950   29      1920     9920.67    10005.94    19926.61
 1950   30      1920     9900.49     9987.32    19887.81
 1950   30      1919     9643.78     9726.05    19369.83
 1950   31      1919     9625.29     9708.45    19333.75
 1950   31      1918     9183.10     9238.86    18421.97
 1950   32      1918     9162.08     9220.79    18382.87
 1950   32      1917     8851.41     9069.52    17920.93
 1950   33      1917     8828.92     9050.05    17878.98
 1950   33      1916     9679.38     9910.63    19590.01
 1950   34      1916     9658.71     9893.83    19552.54
 1950   34      1915     9641.95     9950.69    19592.64
 1950   35      1915     9617.35     9930.48    19547.83
 1950   35      1914    10149.94    10247.31    20397.25
 1950   36      1914    10124.60    10225.33    20349.93
 1950   36      1913     9620.58     9903.02    19523.60
 1950   37      1913     9599.42     9883.52    19482.93
 1950   37      1912    10083.28    10421.97    20505.24
 1950   38      1912    10058.61    10398.78    20457.39
 1950   38      1911     9765.41    10724.85    20490.27
 1950   39      1911     9739.41    10701.37    20440.78
 1950   39      1910     9442.60    10463.47    19906.06
 1950   40      1910     9415.10    10435.10    19850.20
 1950   40      1909     8582.97     9409.62    17992.59
 1950   41      1909     8558.13     9381.92    17940.06
 1950   41      1908     8359.61     8983.48    17343.10
 1950   42      1908     8336.45     8959.50    17295.95
 1950   42      1907     8014.83     8609.29    16624.12
 1950   43      1907     7987.66     8581.78    16569.45
 1950   43      1906     8330.20     8974.60    17304.80
 1950   44      1906     8306.87     8945.28    17252.15
 1950   44      1905     8227.08     8697.54    16924.61
 1950   45      1905     8204.74     8661.01    16865.75
 1950   45      1904     7931.04     8270.44    16201.47
 1950   46      1904     7907.38     8235.05    16142.42
 1950   46      1903     7682.92     8081.40    15764.33
 1950   47      1903     7657.76     8050.41    15708.17
 1950   47      1902     7685.85     8002.47    15688.32
 1950   48      1902     7656.35     7963.87    15620.22
 1950   48      1901     8201.93     8622.22    16824.16
 1950   49      1901     8168.43     8579.04    16747.47
 1950   49      1900     9411.06     9769.58    19180.64
 1950   50      1900     9363.32     9716.35    19079.66
 1950   50      1899     7865.61     8186.77    16052.38
 1950   51      1899     7822.72     8132.00    15954.72
 1950   51      1898     7579.91     7864.37    15444.28
 1950   52      1898     7546.10     7812.28    15358.38
 1950   52      1897     7189.82     7384.36    14574.18
 1950   53      1897     7146.65     7321.71    14468.36
 1950   53      1896     7415.71     7680.59    15096.30
 1950   54      1896     7369.88     7618.90    14988.78
 1950   54      1895     7002.88     7185.02    14187.90
 1950   55      1895     6956.57     7122.37    14078.94
 1950   55      1894     6469.68     6735.95    13205.63
 1950   56      1894     6418.21     6667.63    13085.84
 1950   56      1893     6137.14     6270.34    12407.49
 1950   57      1893     6085.44     6199.02    12284.47
 1950   57      1892     6089.05     6217.52    12306.57
 1950   58      1892     6037.42     6140.39    12177.80
 1950   58      1891     6447.04     6600.05    13047.08
 1950   59      1891     6390.19     6521.85    12912.04
 1950   59      1890     6412.08     6640.09    13052.16
 1950   60      1890     6334.62     6546.91    12881.53
 1950   60      1889     6092.16     6189.78    12281.94
 1950   61      1889     6014.35     6096.23    12110.57
 1950   61      1888     6290.30     6229.64    12519.94
 1950   62      1888     6221.01     6142.46    12363.47
 1950   62      1887     6022.40     6085.60    12107.99
 1950   63      1887     5938.21     5985.59    11923.80
