Ireland, Life tables (period 5x1), Total	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.04598  0.04435  0.20  100000    4435   96447  6557258  65.57
  1950         1-4      0.00235  0.00933  1.60   95565     892  380123  6460811  67.61
  1950         5-9      0.00089  0.00442  2.26   94674     419  472222  6080687  64.23
  1950        10-14     0.00073  0.00363  2.52   94255     342  470427  5608465  59.50
  1950        15-19     0.00140  0.00696  2.81   93913     654  468135  5138038  54.71
  1950        20-24     0.00255  0.01268  2.70   93259    1182  463581  4669904  50.07
  1950        25-29     0.00268  0.01332  2.58   92077    1226  457413  4206323  45.68
  1950        30-34     0.00306  0.01519  2.49   90850    1380  450795  3748909  41.26
  1950        35-39     0.00348  0.01724  2.46   89471    1543  443433  3298114  36.86
  1950        40-44     0.00460  0.02271  2.49   87928    1997  434633  2854681  32.47
  1950        45-49     0.00598  0.02949  2.59   85931    2534  423552  2420048  28.16
  1950        50-54     0.00994  0.04854  2.58   83397    4048  407174  1996496  23.94
  1950        55-59     0.01463  0.07064  2.57   79349    5605  383114  1589322  20.03
  1950        60-64     0.02257  0.10691  2.54   73744    7884  349286  1206209  16.36
  1950        65-69     0.03388  0.15628  2.53   65860   10293  303829   856923  13.01
  1950        70-74     0.05784  0.25366  2.58   55567   14095  243697   553093   9.95
  1950        75-79     0.09508  0.38182  2.42   41472   15835  166546   309396   7.46
  1950        80-84     0.14712  0.53015  2.37   25637   13591   92380   142850   5.57
  1950        85-89     0.21144  0.65300  2.07   12045    7866   37201    50470   4.19
  1950        90-94     0.30025  0.78244  1.94    4180    3270   10892    13269   3.17
  1950        95-99     0.37050  0.85755  1.87     909     780    2105     2377   2.61
  1950       100-104    0.46929  0.91717  1.68     130     119     253      272   2.10
  1950       105-109    0.57124  0.95291  1.50      11      10      18       19   1.74
  1950       110+       0.65286  1.00000  1.53       1       1       1        1   1.53
  1951           0      0.04613  0.04449  0.20  100000    4449   96439  6475164  64.75
  1951         1-4      0.00259  0.01030  1.42   95551     984  379670  6378725  66.76
  1951         5-9      0.00081  0.00403  2.31   94567     381  471810  5999055  63.44
  1951        10-14     0.00067  0.00335  2.62   94186     316  470179  5527245  58.68
  1951        15-19     0.00133  0.00664  2.89   93870     624  468036  5057066  53.87
  1951        20-24     0.00207  0.01031  2.52   93247     961  463849  4589030  49.21
  1951        25-29     0.00251  0.01248  2.54   92286    1151  458593  4125181  44.70
  1951        30-34     0.00270  0.01342  2.49   91134    1223  452601  3666588  40.23
  1951        35-39     0.00374  0.01854  2.60   89911    1667  445549  3213986  35.75
  1951        40-44     0.00446  0.02207  2.49   88244    1947  436339  2768437  31.37
  1951        45-49     0.00641  0.03156  2.58   86297    2723  424905  2332098  27.02
  1951        50-54     0.01088  0.05298  2.57   83573    4427  407092  1907194  22.82
  1951        55-59     0.01566  0.07545  2.58   79146    5972  381303  1500101  18.95
  1951        60-64     0.02516  0.11850  2.54   73174    8671  344573  1118799  15.29
  1951        65-69     0.03936  0.17962  2.57   64503   11586  294334   774226  12.00
  1951        70-74     0.06627  0.28573  2.59   52917   15120  228163   479892   9.07
  1951        75-79     0.11159  0.43366  2.43   37797   16391  146881   251729   6.66
  1951        80-84     0.17381  0.59267  2.32   21406   12687   72994   104847   4.90
  1951        85-89     0.24823  0.72289  2.11    8719    6303   25392    31853   3.65
  1951        90-94     0.36200  0.84384  1.84    2416    2039    5632     6461   2.67
  1951        95-99     0.44693  0.90711  1.73     377     342     766      828   2.20
  1951       100-104    0.55702  0.94949  1.53      35      33      60       62   1.78
  1951       105-109    0.66187  0.97184  1.37       2       2       3        3   1.51
  1951       110+       0.74128  1.00000  1.35       0       0       0        0   1.35
  1952           0      0.04324  0.04177  0.19  100000    4177   96614  6716455  67.16
  1952         1-4      0.00212  0.00843  1.39   95823     808  381185  6619841  69.08
  1952         5-9      0.00076  0.00379  2.27   95015     361  474092  6238656  65.66
  1952        10-14     0.00062  0.00310  2.61   94654     293  472570  5764564  60.90
  1952        15-19     0.00109  0.00543  2.58   94361     512  470566  5291994  56.08
  1952        20-24     0.00142  0.00710  2.64   93849     666  467674  4821428  51.37
  1952        25-29     0.00183  0.00910  2.65   93182     848  463917  4353754  46.72
  1952        30-34     0.00227  0.01129  2.47   92335    1043  459039  3889837  42.13
  1952        35-39     0.00296  0.01469  2.50   91292    1341  453112  3430798  37.58
  1952        40-44     0.00398  0.01968  2.52   89951    1771  445354  2977685  33.10
  1952        45-49     0.00613  0.03024  2.65   88180    2667  434647  2532331  28.72
  1952        50-54     0.00927  0.04531  2.54   85514    3875  418044  2097684  24.53
  1952        55-59     0.01312  0.06362  2.63   81639    5194  395861  1679641  20.57
  1952        60-64     0.02110  0.10031  2.55   76445    7668  363479  1283780  16.79
  1952        65-69     0.03319  0.15359  2.58   68778   10564  318311   920301  13.38
  1952        70-74     0.05550  0.24441  2.56   58214   14228  256343   601990  10.34
  1952        75-79     0.08785  0.35885  2.45   43986   15784  179667   345648   7.86
  1952        80-84     0.13536  0.50065  2.40   28202   14119  104308   165981   5.89
  1952        85-89     0.20506  0.65045  2.19   14083    9160   44670    61673   4.38
  1952        90-94     0.27044  0.75523  2.08    4923    3718   13747    17002   3.45
  1952        95-99     0.35754  0.84688  1.89    1205    1020    2854     3255   2.70
  1952       100-104    0.45201  0.90841  1.71     184     168     371      401   2.18
  1952       105-109    0.54784  0.94590  1.54      17      16      29       31   1.81
  1952       110+       0.62403  1.00000  1.60       1       1       1        1   1.60
  1953           0      0.03994  0.03867  0.18  100000    3867   96819  6790716  67.91
  1953         1-4      0.00197  0.00784  1.46   96133     753  382620  6693897  69.63
  1953         5-9      0.00069  0.00342  2.25   95379     327  475996  6311277  66.17
