Ireland, Exposure to risk (cohort 1x10), 	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1871-1879        0                    .               .               .
1871-1879        1                    .               .               .
1871-1879        2                    .               .               .
1871-1879        3                    .               .               .
1871-1879        4                    .               .               .
1871-1879        5                    .               .               .
1871-1879        6                    .               .               .
1871-1879        7                    .               .               .
1871-1879        8                    .               .               .
1871-1879        9                    .               .               .
1871-1879       10                    .               .               .
1871-1879       11                    .               .               .
1871-1879       12                    .               .               .
1871-1879       13                    .               .               .
1871-1879       14                    .               .               .
1871-1879       15                    .               .               .
1871-1879       16                    .               .               .
1871-1879       17                    .               .               .
1871-1879       18                    .               .               .
1871-1879       19                    .               .               .
1871-1879       20                    .               .               .
1871-1879       21                    .               .               .
1871-1879       22                    .               .               .
1871-1879       23                    .               .               .
1871-1879       24                    .               .               .
1871-1879       25                    .               .               .
1871-1879       26                    .               .               .
1871-1879       27                    .               .               .
1871-1879       28                    .               .               .
1871-1879       29                    .               .               .
1871-1879       30                    .               .               .
1871-1879       31                    .               .               .
1871-1879       32                    .               .               .
1871-1879       33                    .               .               .
1871-1879       34                    .               .               .
1871-1879       35                    .               .               .
1871-1879       36                    .               .               .
1871-1879       37                    .               .               .
1871-1879       38                    .               .               .
1871-1879       39                    .               .               .
1871-1879       40                    .               .               .
1871-1879       41                    .               .               .
1871-1879       42                    .               .               .
1871-1879       43                    .               .               .
1871-1879       44                    .               .               .
1871-1879       45                    .               .               .
1871-1879       46                    .               .               .
1871-1879       47                    .               .               .
1871-1879       48                    .               .               .
1871-1879       49                    .               .               .
1871-1879       50                    .               .               .
1871-1879       51                    .               .               .
1871-1879       52                    .               .               .
1871-1879       53                    .               .               .
1871-1879       54                    .               .               .
1871-1879       55                    .               .               .
1871-1879       56                    .               .               .
1871-1879       57                    .               .               .
1871-1879       58                    .               .               .
1871-1879       59                    .               .               .
1871-1879       60                    .               .               .
1871-1879       61                    .               .               .
1871-1879       62                    .               .               .
1871-1879       63                    .               .               .
1871-1879       64                    .               .               .
1871-1879       65                    .               .               .
1871-1879       66                    .               .               .
1871-1879       67                    .               .               .
1871-1879       68                    .               .               .
1871-1879       69                    .               .               .
1871-1879       70                    .               .               .
1871-1879       71                    .               .               .
1871-1879       72             20238.31        19358.52        39596.83
1871-1879       73             28333.97        27176.17        55510.14
1871-1879       74             35574.21        33959.62        69533.82
1871-1879       75             41469.25        39215.50        80684.75
1871-1879       76             45321.22        42678.85        88000.07
1871-1879       77             47798.07        44739.47        92537.54
1871-1879       78             49027.72        45391.53        94419.25
1871-1879       79             49605.14        45209.77        94814.91
1871-1879       80             45819.30        40996.12        86815.42
1871-1879       81             40929.51        35890.27        76819.78
1871-1879       82             36666.85        31424.67        68091.52
1871-1879       83             32134.04        26854.80        58988.85
1871-1879       84             27617.05        22386.57        50003.63
1871-1879       85             23331.60        18188.76        41520.36
1871-1879       86             19504.19        14615.09        34119.28
1871-1879       87             16052.91        11466.47        27519.38
1871-1879       88             13081.69         8921.53        22003.22
1871-1879       89             10552.31         6890.46        17442.77
1871-1879       90              8318.75         5142.22        13460.97
1871-1879       91              6506.97         3784.43        10291.40
1871-1879       92              5126.66         2789.76         7916.42
1871-1879       93              3886.46         1984.87         5871.33
1871-1879       94              2890.94         1377.47         4268.41
1871-1879       95              2102.55          918.54         3021.09
1871-1879       96              1464.25          589.28         2053.53
1871-1879       97               965.27          356.84         1322.10
1871-1879       98               599.25          201.45          800.70
1871-1879       99               328.93           97.59          426.52
1871-1879      100               182.21           46.19          228.39
1871-1879      101               113.05           25.45          138.50
1871-1879      102                62.47           13.48           75.95
1871-1879      103                34.78            6.48           41.26
1871-1879      104                22.33            4.03           26.36
1871-1879      105                13.25            3.02           16.27
1871-1879      106                 6.46            2.03            8.49
1871-1879      107                 3.03            0.67            3.69
1871-1879      108                 1.67            0.00            1.67
1871-1879      109                 1.00            0.00            1.00
1871-1879      110+                1.49            0.00            1.49
1880-1889        0                    .               .               .
1880-1889        1                    .               .               .
1880-1889        2                    .               .               .
1880-1889        3                    .               .               .
1880-1889        4                    .               .               .
1880-1889        5                    .               .               .
1880-1889        6                    .               .               .
1880-1889        7                    .               .               .
1880-1889        8                    .               .               .
1880-1889        9                    .               .               .
1880-1889       10                    .               .               .
1880-1889       11                    .               .               .
1880-1889       12                    .               .               .
1880-1889       13                    .               .               .
1880-1889       14                    .               .               .
1880-1889       15                    .               .               .
1880-1889       16                    .               .               .
1880-1889       17                    .               .               .
1880-1889       18                    .               .               .
1880-1889       19                    .               .               .
1880-1889       20                    .               .               .
1880-1889       21                    .               .               .
1880-1889       22                    .               .               .
1880-1889       23                    .               .               .
1880-1889       24                    .               .               .
1880-1889       25                    .               .               .
1880-1889       26                    .               .               .
1880-1889       27                    .               .               .
1880-1889       28                    .               .               .
1880-1889       29                    .               .               .
1880-1889       30                    .               .               .
1880-1889       31                    .               .               .
1880-1889       32                    .               .               .
1880-1889       33                    .               .               .
1880-1889       34                    .               .               .
1880-1889       35                    .               .               .
1880-1889       36                    .               .               .
1880-1889       37                    .               .               .
1880-1889       38                    .               .               .
1880-1889       39                    .               .               .
1880-1889       40                    .               .               .
1880-1889       41                    .               .               .
1880-1889       42                    .               .               .
1880-1889       43                    .               .               .
1880-1889       44                    .               .               .
1880-1889       45                    .               .               .
1880-1889       46                    .               .               .
1880-1889       47                    .               .               .
1880-1889       48                    .               .               .
1880-1889       49                    .               .               .
1880-1889       50                    .               .               .
1880-1889       51                    .               .               .
1880-1889       52                    .               .               .
1880-1889       53                    .               .               .
1880-1889       54                    .               .               .
1880-1889       55                    .               .               .
1880-1889       56                    .               .               .
1880-1889       57                    .               .               .
1880-1889       58                    .               .               .
1880-1889       59                    .               .               .
1880-1889       60                    .               .               .
1880-1889       61                    .               .               .
1880-1889       62             24195.53        24098.36        48293.89
1880-1889       63             35632.40        35470.93        71103.33
1880-1889       64             47057.28        46887.41        93944.70
1880-1889       65             57283.15        57070.58       114353.72
1880-1889       66             66724.62        66128.69       132853.31
1880-1889       67             75859.15        74900.88       150760.03
1880-1889       68             84764.49        83171.70       167936.19
1880-1889       69             93899.41        91152.63       185052.04
1880-1889       70            102329.13        98205.73       200534.86
1880-1889       71             98626.13        93705.03       192331.16
1880-1889       72             94853.01        89144.57       183997.59
1880-1889       73             90271.73        83700.94       173972.67
1880-1889       74             85147.71        77779.72       162927.43
1880-1889       75             79558.63        71504.53       151063.15
1880-1889       76             73729.34        65166.35       138895.69
1880-1889       77             68046.28        59071.91       127118.18
1880-1889       78             62393.56        53017.05       115410.61
1880-1889       79             57006.09        47365.00       104371.09
1880-1889       80             53234.89        42708.61        95943.50
1880-1889       81             47897.56        37613.48        85511.04
1880-1889       82             43240.12        33079.05        76319.17
1880-1889       83             38319.81        28483.99        66803.80
1880-1889       84             33313.01        23995.40        57308.42
1880-1889       85             28451.21        19690.51        48141.72
1880-1889       86             24013.32        15930.77        39944.09
1880-1889       87             19972.04        12666.27        32638.31
1880-1889       88             16477.04         9938.61        26415.65
1880-1889       89             13411.77         7694.84        21106.60
1880-1889       90             10709.70         5857.91        16567.60
1880-1889       91              8476.92         4413.39        12890.31
1880-1889       92              6627.22         3277.79         9905.00
1880-1889       93              5015.77         2315.62         7331.39
1880-1889       94              3715.08         1585.16         5300.24
1880-1889       95              2694.89         1059.85         3754.74
1880-1889       96              1885.81          686.17         2571.98
1880-1889       97              1272.51          421.15         1693.66
1880-1889       98               826.21          236.83         1063.04
1880-1889       99               512.87          119.99          632.85
1880-1889      100               316.24           66.21          382.45
1880-1889      101               190.49           38.31          228.80
1880-1889      102               114.59           18.69          133.28
1880-1889      103                71.64            9.80           81.44
1880-1889      104                41.17            6.33           47.50
1880-1889      105                20.29            3.55           23.84
1880-1889      106                10.91            0.96           11.87
1880-1889      107                 5.93            0.00            5.93
1880-1889      108                 2.45            0.00            2.45
1880-1889      109                 1.00            0.00            1.00
1880-1889      110+                0.48            0.00            0.48
1890-1899        0                    .               .               .
1890-1899        1                    .               .               .
1890-1899        2                    .               .               .
1890-1899        3                    .               .               .
1890-1899        4                    .               .               .
1890-1899        5                    .               .               .
1890-1899        6                    .               .               .
1890-1899        7                    .               .               .
1890-1899        8                    .               .               .
1890-1899        9                    .               .               .
1890-1899       10                    .               .               .
1890-1899       11                    .               .               .
1890-1899       12                    .               .               .
1890-1899       13                    .               .               .
1890-1899       14                    .               .               .
1890-1899       15                    .               .               .
1890-1899       16                    .               .               .
1890-1899       17                    .               .               .
1890-1899       18                    .               .               .
1890-1899       19                    .               .               .
1890-1899       20                    .               .               .
1890-1899       21                    .               .               .
1890-1899       22                    .               .               .
1890-1899       23                    .               .               .
1890-1899       24                    .               .               .
1890-1899       25                    .               .               .
1890-1899       26                    .               .               .
1890-1899       27                    .               .               .
1890-1899       28                    .               .               .
1890-1899       29                    .               .               .
1890-1899       30                    .               .               .
1890-1899       31                    .               .               .
1890-1899       32                    .               .               .
1890-1899       33                    .               .               .
1890-1899       34                    .               .               .
1890-1899       35                    .               .               .
1890-1899       36                    .               .               .
1890-1899       37                    .               .               .
1890-1899       38                    .               .               .
1890-1899       39                    .               .               .
1890-1899       40                    .               .               .
1890-1899       41                    .               .               .
1890-1899       42                    .               .               .
1890-1899       43                    .               .               .
1890-1899       44                    .               .               .
1890-1899       45                    .               .               .
1890-1899       46                    .               .               .
1890-1899       47                    .               .               .
1890-1899       48                    .               .               .
1890-1899       49                    .               .               .
1890-1899       50                    .               .               .
1890-1899       51                    .               .               .
1890-1899       52             30561.55        31656.85        62218.41
1890-1899       53             44444.25        45807.86        90252.12
1890-1899       54             58534.33        60213.84       118748.17
1890-1899       55             71597.28        73312.51       144909.78
1890-1899       56             83311.49        85165.50       168476.98
1890-1899       57             94199.59        95818.41       190018.00
1890-1899       58            104801.89       106072.52       210874.41
1890-1899       59            115933.63       116856.88       232790.51
1890-1899       60            126361.32       126986.02       253347.34
1890-1899       61            123876.72       123826.67       247703.39
1890-1899       62            121771.34       121074.70       242846.05
1890-1899       63            119430.18       118094.57       237524.74
1890-1899       64            116992.59       115068.35       232060.94
1890-1899       65            114221.91       111463.73       225685.64
1890-1899       66            111710.82       107976.03       219686.85
1890-1899       67            109823.61       105116.42       214940.02
1890-1899       68            107961.81       101863.39       209825.20
1890-1899       69            106280.13        98340.46       204620.59
1890-1899       70            104140.57        94395.31       198535.89
1890-1899       71            101722.56        90378.49       192101.05
1890-1899       72             98722.39        86002.13       184724.52
1890-1899       73             94416.59        80592.25       175008.83
1890-1899       74             89272.43        74710.58       163983.01
1890-1899       75             83405.34        68471.90       151877.24
1890-1899       76             77353.45        62172.92       139526.38
1890-1899       77             71682.13        56254.96       127937.09
