PopName,Area,Year,YearReg,Month,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ISL,01,1878,1878,1,31,O,158,.,.,.,1
ISL,01,1878,1878,2,31,O,125,.,.,.,1
ISL,01,1878,1878,3,31,O,140,.,.,.,1
ISL,01,1878,1878,4,31,O,164,.,.,.,1
ISL,01,1878,1878,5,31,O,214,.,.,.,1
ISL,01,1878,1878,6,31,O,220,.,.,.,1
ISL,01,1878,1878,7,31,O,227,.,.,.,1
ISL,01,1878,1878,8,31,O,272,.,.,.,1
ISL,01,1878,1878,9,31,O,255,.,.,.,1
ISL,01,1878,1878,10,31,O,254,.,.,.,1
ISL,01,1878,1878,11,31,O,186,.,.,.,1
ISL,01,1878,1878,12,31,O,151,.,.,.,1
ISL,01,1878,1878,TOT,31,O,2366,.,.,.,1
ISL,01,1879,1879,1,31,O,143,.,.,.,1
ISL,01,1879,1879,2,31,O,157,.,.,.,1
ISL,01,1879,1879,3,31,O,138,.,.,.,1
ISL,01,1879,1879,4,31,O,172,.,.,.,1
ISL,01,1879,1879,5,31,O,187,.,.,.,1
ISL,01,1879,1879,6,31,O,182,.,.,.,1
ISL,01,1879,1879,7,31,O,210,.,.,.,1
ISL,01,1879,1879,8,31,O,212,.,.,.,1
ISL,01,1879,1879,9,31,O,232,.,.,.,1
ISL,01,1879,1879,10,31,O,241,.,.,.,1
ISL,01,1879,1879,11,31,O,196,.,.,.,1
ISL,01,1879,1879,12,31,O,179,.,.,.,1
ISL,01,1879,1879,TOT,31,O,2249,.,.,.,1
ISL,01,1880,1880,1,31,O,173,.,.,.,1
ISL,01,1880,1880,2,31,O,134,.,.,.,1
ISL,01,1880,1880,3,31,O,161,.,.,.,1
ISL,01,1880,1880,4,31,O,178,.,.,.,1
ISL,01,1880,1880,5,31,O,184,.,.,.,1
ISL,01,1880,1880,6,31,O,210,.,.,.,1
ISL,01,1880,1880,7,31,O,210,.,.,.,1
ISL,01,1880,1880,8,31,O,225,.,.,.,1
ISL,01,1880,1880,9,31,O,217,.,.,.,1
ISL,01,1880,1880,10,31,O,228,.,.,.,1
ISL,01,1880,1880,11,31,O,173,.,.,.,1
ISL,01,1880,1880,12,31,O,175,.,.,.,1
ISL,01,1880,1880,TOT,31,O,2268,.,.,.,1
ISL,01,1881,1881,1,31,O,160,.,.,.,1
ISL,01,1881,1881,2,31,O,158,.,.,.,1
