Iceland,  Exposures (Lexis triangle)	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1838    0      1838      395.69      413.57      809.25
 1838    0      1837      386.51      391.95      778.47
 1838    1      1837      342.17      340.22      682.39
 1838    1      1836      388.66      362.84      751.50
 1838    2      1836      380.80      355.13      735.93
 1838    2      1835      359.21      341.50      700.71
 1838    3      1835      353.25      335.47      688.72
 1838    3      1834      384.03      347.76      731.78
 1838    4      1834      379.69      342.92      722.61
 1838    4      1833      393.86      358.57      752.43
 1838    5      1833      390.47      354.74      745.21
 1838    5      1832      389.86      426.95      816.81
 1838    6      1832      387.00      424.01      811.01
 1838    6      1831      428.91      423.24      852.15
 1838    7      1831      426.50      421.04      847.54
 1838    7      1830      423.45      414.98      838.43
 1838    8      1830      421.42      413.33      834.75
 1838    8      1829      368.05      366.42      734.47
 1838    9      1829      366.33      365.14      731.46
 1838    9      1828      302.15      344.02      646.17
 1838   10      1828      300.70      342.93      643.63
 1838   10      1827      271.19      260.46      531.65
 1838   11      1827      269.91      259.45      529.35
 1838   11      1826      225.76      235.23      460.99
 1838   12      1826      224.62      234.28      458.89
 1838   12      1825      248.40      231.80      480.20
 1838   13      1825      247.34      230.90      478.24
 1838   13      1824      267.03      275.20      542.22
 1838   14      1824      266.02      274.33      540.35
 1838   14      1823      286.94      270.83      557.76
 1838   15      1823      285.93      270.00      555.92
 1838   15      1822      276.85      255.71      532.56
 1838   16      1822      275.82      254.86      530.68
 1838   16      1821      237.21      237.31      474.53
 1838   17      1821      236.16      236.41      472.57
 1838   17      1820      219.02      213.20      432.21
 1838   18      1820      217.94      212.18      430.12
 1838   18      1819      207.23      203.13      410.36
 1838   19      1819      206.13      201.95      408.08
 1838   19      1818      213.87      213.41      427.27
 1838   20      1818      212.73      211.99      424.72
 1838   20      1817      201.42      191.84      393.27
 1838   21      1817      200.28      190.26      390.54
 1838   21      1816      204.95      184.89      389.84
 1838   22      1816      203.77      183.18      386.95
 1838   22      1815      159.93      165.56      325.48
 1838   23      1815      158.71      163.81      322.52
 1838   23      1814      158.39      151.98      310.37
 1838   24      1814      157.14      150.27      307.41
 1838   24      1813      161.37      145.90      307.26
 1838   25      1813      160.06      144.29      304.36
 1838   25      1812      194.79      170.48      365.27
 1838   26      1812      193.46      169.02      362.48
 1838   26      1811      209.65      171.83      381.48
 1838   27      1811      208.32      170.49      378.81
 1838   27      1810      216.93      193.42      410.34
 1838   28      1810      215.65      192.15      407.80
 1838   28      1809      203.61      183.68      387.29
 1838   29      1809      202.43      182.45      384.88
 1838   29      1808      223.31      215.05      438.35
 1838   30      1808      222.24      213.83      436.07
 1838   30      1807      224.22      191.99      416.21
 1838   31      1807      223.23      190.74      413.96
 1838   31      1806      208.93      177.51      386.44
 1838   32      1806      207.91      176.16      384.07
 1838   32      1805      169.47      164.57      334.04
 1838   33      1805      168.29      163.07      331.36
