Iceland, Life tables (cohort 5x10), Females	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1838-1839        0      0.41719  0.32437  0.31  100000   32437   77751  3377197  33.77
1838-1839      1-4      0.03392  0.12275  0.90   67563    8294  244505  3299445  48.84
1838-1839      5-9      0.00426  0.02115  3.28   59269    1254  294194  3054941  51.54
1838-1839     10-14     0.00574  0.02825  2.17   58016    1639  285443  2760747  47.59
1838-1839     15-19     0.00462  0.02289  2.88   56377    1291  279152  2475304  43.91
1838-1839     20-24     0.01100  0.05349  2.42   55086    2946  267833  2196151  39.87
1838-1839     25-29     0.01204  0.05844  2.48   52140    3047  253028  1928318  36.98
1838-1839     30-34     0.01202  0.05857  2.85   49093    2875  239281  1675290  34.13
1838-1839     35-39     0.01258  0.06091  2.41   46217    2815  223792  1436009  31.07
1838-1839     40-44     0.01793  0.08590  2.57   43402    3728  207964  1212217  27.93
1838-1839     45-49     0.01519  0.07334  2.67   39674    2910  191589  1004252  25.31
1838-1839     50-54     0.01716  0.08233  2.53   36764    3027  176353   812663  22.10
1838-1839     55-59     0.02204  0.10422  2.40   33738    3516  159532   636310  18.86
1838-1839     60-64     0.03101  0.14379  2.47   30221    4346  140134   476778  15.78
1838-1839     65-69     0.03910  0.17890  2.63   25876    4629  118388   336645  13.01
1838-1839     70-74     0.06091  0.26608  2.63   21246    5653   92811   218257  10.27
1838-1839     75-79     0.09127  0.37126  2.49   15593    5789   63427   125446   8.04
1838-1839     80-84     0.12715  0.48092  2.47    9804    4715   37081    62019   6.33
1838-1839     85-89     0.18543  0.62972  2.45    5089    3205   17282    24938   4.90
1838-1839     90-94     0.20961  0.64262  1.99    1884    1211    5777     7655   4.06
1838-1839     95-99     0.31859  0.86851  2.38     673     585    1836     1878   2.79
1838-1839    100-104    2.09059  1.00000  0.48      89      89      42       42   0.48
1838-1839    105-109         .       .    .       0       0       0        0      .
1838-1839    110+             .        .    .       0       0       0        0      .
1840-1849        0      0.35705  0.28681  0.31  100000   28681   80328  3751992  37.52
1840-1849      1-4      0.03019  0.11210  1.44   71319    7995  264844  3671664  51.48
1840-1849      5-9      0.00797  0.03898  2.26   63324    2469  309859  3406820  53.80
1840-1849     10-14     0.00579  0.02852  2.47   60855    1735  299889  3096961  50.89
1840-1849     15-19     0.00669  0.03293  2.68   59120    1947  291076  2797072  47.31
1840-1849     20-24     0.00829  0.04063  2.55   57173    2323  280164  2505996  43.83
1840-1849     25-29     0.00789  0.03867  2.43   54850    2121  268802  2225832  40.58
1840-1849     30-34     0.01047  0.05113  2.69   52729    2696  257412  1957031  37.11
1840-1849     35-39     0.01116  0.05431  2.54   50033    2717  243482  1699619  33.97
1840-1849     40-44     0.01192  0.05778  2.38   47316    2734  229420  1456137  30.77
1840-1849     45-49     0.01073  0.05225  2.53   44582    2329  217155  1226716  27.52
1840-1849     50-54     0.01355  0.06560  2.60   42253    2772  204626  1009561  23.89
1840-1849     55-59     0.01765  0.08471  2.64   39481    3345  189502   804935  20.39
1840-1849     60-64     0.02427  0.11458  2.56   36137    4140  170597   615432  17.03
1840-1849     65-69     0.03226  0.14983  2.63   31996    4794  148621   444835  13.90
1840-1849     70-74     0.05400  0.23921  2.62   27202    6507  120498   296214  10.89
1840-1849     75-79     0.08145  0.33859  2.51   20695    7007   86035   175717   8.49
1840-1849     80-84     0.11536  0.44475  2.43   13688    6088   52773    89682   6.55
1840-1849     85-89     0.17480  0.59241  2.28    7600    4502   25758    36908   4.86
1840-1849     90-94     0.24761  0.73525  2.24    3098    2278    9199    11151   3.60
1840-1849     95-99     0.37965  0.85284  1.77     820     699    1842     1952   2.38
1840-1849    100-104    1.09842  1.00000  0.91     121     121     110      110   0.91
1840-1849    105-109         .       .    .       0       0       0        0      .
1840-1849    110+             .        .    .       0       0       0        0      .
1850-1859        0      0.27395  0.23062  0.31  100000   23062   84182  3921854  39.22
1850-1859      1-4      0.03719  0.13663  1.62   76938   10512  282685  3837672  49.88
1850-1859      5-9      0.01480  0.07083  1.98   66426    4705  317920  3554987  53.52
1850-1859     10-14     0.00634  0.03121  2.43   61721    1926  303654  3237067  52.45
1850-1859     15-19     0.00597  0.02942  2.40   59795    1759  294403  2933413  49.06
1850-1859     20-24     0.00689  0.03394  2.74   58036    1970  285718  2639010  45.47
1850-1859     25-29     0.01115  0.05427  2.59   56066    3043  272983  2353292  41.97
1850-1859     30-34     0.01002  0.04879  2.28   53023    2587  258068  2080308  39.23
1850-1859     35-39     0.00918  0.04486  2.51   50436    2262  246549  1822241  36.13
1850-1859     40-44     0.01004  0.04896  2.47   48174    2359  234912  1575691  32.71
1850-1859     45-49     0.00909  0.04445  2.50   45815    2037  223980  1340779  29.26
