Iceland, Life tables (period 1x5), Females	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1838-1839        0      0.38422  0.30408  0.31  100000   30408   79143  3194574  31.95
1838-1839        1      0.06896  0.06666  0.50   69592    4639   67272  3115431  44.77
1838-1839        2      0.04547  0.04446  0.50   64953    2888   63509  3048159  46.93
1838-1839        3      0.02380  0.02352  0.50   62065    1460   61335  2984650  48.09
1838-1839        4      0.01231  0.01224  0.50   60605     742   60234  2923315  48.24
1838-1839        5      0.01140  0.01133  0.50   59863     678   59524  2863081  47.83
1838-1839        6      0.01182  0.01175  0.50   59185     695   58837  2803557  47.37
1838-1839        7      0.01120  0.01114  0.50   58489     651   58164  2744720  46.93
1838-1839        8      0.01043  0.01037  0.50   57838     600   57538  2686556  46.45
1838-1839        9      0.00972  0.00967  0.50   57238     553   56961  2629018  45.93
1838-1839       10      0.00829  0.00825  0.50   56685     468   56451  2572057  45.37
1838-1839       11      0.00661  0.00659  0.50   56217     370   56031  2515606  44.75
1838-1839       12      0.00509  0.00508  0.50   55846     284   55704  2459575  44.04
1838-1839       13      0.00395  0.00394  0.50   55562     219   55453  2403870  43.26
1838-1839       14      0.00369  0.00368  0.50   55343     204   55242  2348417  42.43
1838-1839       15      0.00435  0.00434  0.50   55140     239   55020  2293176  41.59
1838-1839       16      0.00539  0.00537  0.50   54901     295   54753  2238156  40.77
1838-1839       17      0.00681  0.00678  0.50   54606     370   54420  2183403  39.98
1838-1839       18      0.00819  0.00815  0.50   54235     442   54014  2128982  39.25
1838-1839       19      0.00908  0.00904  0.50   53793     486   53550  2074968  38.57
1838-1839       20      0.00959  0.00954  0.50   53307     509   53052  2021418  37.92
1838-1839       21      0.01007  0.01002  0.50   52798     529   52534  1968366  37.28
1838-1839       22      0.01104  0.01098  0.50   52269     574   51982  1915832  36.65
1838-1839       23      0.01274  0.01266  0.50   51695     655   51368  1863850  36.05
1838-1839       24      0.01389  0.01380  0.50   51041     704   50689  1812482  35.51
1838-1839       25      0.01326  0.01317  0.50   50337     663   50005  1761793  35.00
1838-1839       26      0.01156  0.01149  0.50   49674     571   49388  1711788  34.46
1838-1839       27      0.01004  0.00999  0.50   49103     490   48858  1662400  33.86
1838-1839       28      0.00901  0.00897  0.50   48612     436   48395  1613542  33.19
1838-1839       29      0.00783  0.00780  0.50   48177     376   47989  1565147  32.49
1838-1839       30      0.00633  0.00631  0.50   47801     302   47650  1517159  31.74
1838-1839       31      0.00570  0.00568  0.50   47499     270   47364  1469509  30.94
1838-1839       32      0.00651  0.00648  0.50   47229     306   47076  1422144  30.11
1838-1839       33      0.00881  0.00877  0.50   46923     412   46717  1375068  29.30
1838-1839       34      0.01167  0.01160  0.50   46511     540   46242  1328351  28.56
1838-1839       35      0.01314  0.01305  0.50   45972     600   45672  1282109  27.89
1838-1839       36      0.01288  0.01280  0.50   45372     581   45081  1236437  27.25
1838-1839       37      0.01291  0.01283  0.50   44791     575   44504  1191356  26.60
1838-1839       38      0.01380  0.01370  0.50   44217     606   43914  1146852  25.94
1838-1839       39      0.01472  0.01461  0.50   43611     637   43292  1102938  25.29
1838-1839       40      0.01536  0.01525  0.50   42973     655   42646  1059646  24.66
1838-1839       41      0.01566  0.01554  0.50   42318     657   41989  1017001  24.03
1838-1839       42      0.01582  0.01569  0.50   41661     654   41334   975011  23.40
1838-1839       43      0.01644  0.01630  0.50   41007     669   40672   933678  22.77
1838-1839       44      0.01640  0.01626  0.50   40338     656   40010   893005  22.14
1838-1839       45      0.01610  0.01597  0.50   39682     634   39365   852995  21.50
1838-1839       46      0.01584  0.01572  0.50   39048     614   38742   813630  20.84
1838-1839       47      0.01535  0.01523  0.50   38435     585   38142   774888  20.16
1838-1839       48      0.01612  0.01599  0.50   37849     605   37547   736746  19.47
1838-1839       49      0.01823  0.01807  0.50   37244     673   36908   699200  18.77
1838-1839       50      0.02115  0.02093  0.50   36571     766   36188   662292  18.11
1838-1839       51      0.02495  0.02464  0.50   35805     882   35364   626104  17.49
1838-1839       52      0.03000  0.02956  0.50   34923    1032   34407   590740  16.92
1838-1839       53      0.03572  0.03509  0.50   33891    1189   33296   556333  16.42
1838-1839       54      0.03607  0.03544  0.50   32702    1159   32122   523036  15.99
1838-1839       55      0.03040  0.02994  0.50   31543     945   31071   490914  15.56
1838-1839       56      0.02650  0.02615  0.50   30598     800   30198   459844  15.03
1838-1839       57      0.02644  0.02610  0.50   29798     778   29409   429646  14.42
1838-1839       58      0.02906  0.02865  0.50   29020     831   28605   400236  13.79
1838-1839       59      0.03294  0.03241  0.50   28189     914   27732   371632  13.18
1838-1839       60      0.03850  0.03777  0.50   27276    1030   26761   343899  12.61
1838-1839       61      0.04362  0.04269  0.50   26245    1120   25685   317139  12.08
1838-1839       62      0.04658  0.04552  0.50   25125    1144   24553   291453  11.60
1838-1839       63      0.05029  0.04906  0.50   23981    1176   23393   266900  11.13
1838-1839       64      0.05315  0.05177  0.50   22805    1181   22215   243507  10.68
1838-1839       65      0.05249  0.05115  0.50   21624    1106   21071   221292  10.23
1838-1839       66      0.05105  0.04978  0.50   20518    1021   20007   200221   9.76
1838-1839       67      0.05172  0.05041  0.50   19497     983   19005   180214   9.24
1838-1839       68      0.05757  0.05596  0.50   18514    1036   17996   161208   8.71
1838-1839       69      0.06959  0.06725  0.50   17478    1175   16890   143213   8.19
1838-1839       70      0.08674  0.08313  0.50   16302    1355   15625   126323   7.75
1838-1839       71      0.09742  0.09290  0.50   14947    1389   14253   110698   7.41
1838-1839       72      0.10238  0.09740  0.50   13558    1321   12898    96445   7.11
1838-1839       73      0.10964  0.10394  0.50   12238    1272   11602    83547   6.83
1838-1839       74      0.11719  0.11070  0.50   10966    1214   10359    71945   6.56
1838-1839       75      0.12556  0.11815  0.50    9752    1152    9176    61586   6.32
1838-1839       76      0.12867  0.12089  0.50    8600    1040    8080    52410   6.09
1838-1839       77      0.12453  0.11723  0.50    7560     886    7117    44330   5.86
1838-1839       78      0.12159  0.11462  0.50    6674     765    6291    37213   5.58
1838-1839       79      0.12288  0.11576  0.50    5909     684    5567    30922   5.23
1838-1839       80      0.15442  0.14335  0.50    5225     749    4850    25355   4.85
1838-1839       81      0.16706  0.15418  0.50    4476     690    4131    20504   4.58
1838-1839       82      0.18052  0.16557  0.50    3786     627    3472    16374   4.33
1838-1839       83      0.19481  0.17752  0.50    3159     561    2879    12901   4.08
1838-1839       84      0.20993  0.18999  0.50    2598     494    2351    10023   3.86
