Iceland, Life tables (period 5x5), Males	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1838-1839        0      0.41217  0.31979  0.30  100000   31979   77587  2857064  28.57
1838-1839      1-4      0.03813  0.13859  1.36   68021    9427  247241  2779477  40.86
1838-1839      5-9      0.00918  0.04480  2.34   58594    2625  285976  2532236  43.22
1838-1839     10-14     0.00646  0.03175  2.28   55969    1777  275005  2246260  40.13
1838-1839     15-19     0.00674  0.03324  2.88   54192    1801  267133  1971255  36.38
1838-1839     20-24     0.01560  0.07529  2.69   52391    3945  252843  1704121  32.53
1838-1839     25-29     0.01436  0.06911  2.29   48446    3348  233169  1451278  29.96
1838-1839     30-34     0.01612  0.07779  2.75   45098    3508  217606  1218110  27.01
1838-1839     35-39     0.01791  0.08552  2.36   41590    3557  198555  1000504  24.06
1838-1839     40-44     0.02009  0.09579  2.58   38033    3643  181348   801950  21.09
1838-1839     45-49     0.02702  0.12626  2.41   34390    4342  160707   620602  18.05
1838-1839     50-54     0.03481  0.16150  2.77   30048    4853  139414   459895  15.31
1838-1839     55-59     0.05214  0.23051  2.49   25195    5808  111394   320482  12.72
1838-1839     60-64     0.06634  0.28305  2.41   19387    5488   82723   209087  10.78
1838-1839     65-69     0.06728  0.28722  2.46   13900    3992   59339   126364   9.09
1838-1839     70-74     0.12401  0.47123  2.45    9907    4669   37646    67025   6.77
1838-1839     75-79     0.16937  0.57218  2.17    5239    2997   17698    29379   5.61
1838-1839     80-84     0.18227  0.60149  2.17    2241    1348    7396    11681   5.21
1838-1839     85-89     0.19946  0.63498  2.14     893     567    2843     4285   4.80
1838-1839     90-94     0.21783  0.66774  2.10     326     218     999     1442   4.42
1838-1839     95-99     0.23738  0.69946  2.06     108      76     319      442   4.08
1838-1839    100-104    0.25809  0.72986  2.02      33      24      92      123   3.78
1838-1839    105-109    0.27995  0.75869  1.98       9       7      24       31   3.52
1838-1839    110+       0.29622  1.00000  3.38       2       2       7        7   3.38
1840-1844        0      0.36935  0.29340  0.30  100000   29340   79437  3253905  32.54
1840-1844      1-4      0.02268  0.08518  1.14   70660    6019  265428  3174469  44.93
1840-1844      5-9      0.00517  0.02559  2.93   64641    1654  319781  2909041  45.00
1840-1844     10-14     0.00406  0.02008  2.40   62987    1265  311647  2589260  41.11
1840-1844     15-19     0.00761  0.03742  2.76   61722    2310  303433  2277612  36.90
1840-1844     20-24     0.01280  0.06209  2.60   59412    3689  288198  1974179  33.23
1840-1844     25-29     0.01463  0.07063  2.54   55724    3936  268934  1685981  30.26
