PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ISR,1,m,1983,1983,2,O,50838,.,.,.,1
ISR,1,m,1984,1984,2,O,50914,.,.,.,1
ISR,1,m,1985,1985,2,O,50911,.,.,.,1
ISR,1,m,1986,1986,2,O,50936,.,.,.,1
ISR,1,m,1987,1987,2,O,50559,.,.,.,1
ISR,1,m,1988,1988,2,O,51603,.,.,.,1
ISR,1,m,1989,1989,2,O,51638,.,.,.,1
ISR,1,m,1990,1990,2,O,53013,.,.,.,1
ISR,1,m,1991,1991,2,O,54141,.,.,.,1
ISR,1,m,1992,1992,2,O,56603,.,.,.,1
ISR,1,m,1993,1993,2,O,57768,.,.,.,1
ISR,1,m,1994,1994,2,O,58854,.,.,.,1
ISR,1,m,1995,1995,2,O,59995,.,.,.,1
ISR,1,m,1996,1996,2,O,62428,.,.,.,1
ISR,1,m,1997,1997,2,O,64002,.,.,.,1
ISR,1,m,1998,1998,2,O,66820,.,.,.,1
ISR,1,m,1999,1999,2,O,67855,.,.,.,1
ISR,1,m,2000,2000,2,O,70173,.,.,.,1
ISR,1,m,2001,2001,2,O,70224,.,.,.,1
ISR,1,m,2002,2002,2,O,71318,.,.,.,1
ISR,1,m,2003,2003,2,O,74271,.,.,.,1
ISR,1,m,2004,2004,2,O,74694,.,.,.,1
ISR,1,m,2005,2005,2,O,73956,.,.,.,1
ISR,1,m,2006,2006,2,O,76078,.,.,.,1
ISR,1,m,2007,2007,2,O,77830,.,.,.,1
ISR,1,m,2008,2008,6,O,80254,.,.,.,1
ISR,1,m,2009,2009,10,O,82398,.,.,.,1
ISR,1,f,1983,1983,2,O,47886,.,.,.,1
ISR,1,f,1984,1984,2,O,47564,.,.,.,1
ISR,1,f,1985,1985,2,O,48465,.,.,.,1
ISR,1,f,1986,1986,2,O,48405,.,.,.,1
ISR,1,f,1987,1987,2,O,48463,.,.,.,1
ISR,1,f,1988,1988,2,O,48851,.,.,.,1
ISR,1,f,1989,1989,2,O,49119,.,.,.,1
ISR,1,f,1990,1990,2,O,50336,.,.,.,1
ISR,1,f,1991,1991,2,O,51584,.,.,.,1
ISR,1,f,1992,1992,2,O,53459,.,.,.,1
ISR,1,f,1993,1993,2,O,54562,.,.,.,1
ISR,1,f,1994,1994,2,O,55689,.,.,.,1
ISR,1,f,1995,1995,2,O,56891,.,.,.,1
ISR,1,f,1996,1996,2,O,58905,.,.,.,1
ISR,1,f,1997,1997,2,O,60476,.,.,.,1
ISR,1,f,1998,1998,2,O,63260,.,.,.,1
ISR,1,f,1999,1999,2,O,64081,.,.,.,1
ISR,1,f,2000,2000,2,O,66217,.,.,.,1
ISR,1,f,2001,2001,2,O,66412,.,.,.,1
ISR,1,f,2002,2002,2,O,68217,.,.,.,1
ISR,1,f,2003,2003,2,O,70665,.,.,.,1
ISR,1,f,2004,2004,2,O,70513,.,.,.,1
ISR,1,f,2005,2005,2,O,69957,.,.,.,1
ISR,1,f,2006,2006,2,O,72092,.,.,.,1
ISR,1,f,2007,2007,2,O,73849,.,.,.,1
ISR,1,f,2008,2008,6,O,76669,.,.,.,1
ISR,1,f,2009,2009,10,O,78644,.,.,.,1
ISR,1,m,2010,2010,15,O,85415,.,.,.,1
ISR,1,m,2011,2011,15,O,85162,.,.,.,1
ISR,1,m,2012,2012,15,O,87452,.,.,.,1
ISR,1,m,2013,2013,15,O,88195,.,.,.,1
ISR,1,m,2014,2014,15,O,90780,.,.,.,1
ISR,1,f,2010,2010,15,O,80840,.,.,.,1
ISR,1,f,2011,2011,15,O,81134,.,.,.,1
ISR,1,f,2012,2012,15,O,83488,.,.,.,1
ISR,1,f,2013,2013,15,O,83249,.,.,.,1
ISR,1,f,2014,2014,15,O,85647,.,.,.,1
ISR,1,f,2015,2015,17,O,86835,.,.,.,1
ISR,1,m,2015,2015,17,O,91888,.,.,.,1
ISR,1,f,2016,2016,17,O,88041,.,.,.,1
ISR,1,m,2016,2016,17,O,93364,.,.,.,1
