PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
ISR,1,1980,1980,1,1,7454,O,.,.,.,1,1
ISR,1,1980,1980,2,1,6868,O,.,.,.,1,1
ISR,1,1980,1980,3,1,7298,O,.,.,.,1,1
ISR,1,1980,1980,4,1,7060,O,.,.,.,1,1
ISR,1,1980,1980,5,1,7532,O,.,.,.,1,1
ISR,1,1980,1980,6,1,7673,O,.,.,.,1,1
ISR,1,1980,1980,7,1,8268,O,.,.,.,1,1
ISR,1,1980,1980,8,1,8287,O,.,.,.,1,1
ISR,1,1980,1980,9,1,8275,O,.,.,.,1,1
ISR,1,1980,1980,10,1,8487,O,.,.,.,1,1
ISR,1,1980,1980,11,1,7944,O,.,.,.,1,1
ISR,1,1980,1980,12,1,8248,O,.,.,.,1,1
ISR,1,1980,1980,UNK,1,0,O,.,.,.,1,1
ISR,1,1980,1980,TOT,1,93394,O,1,.,.,1,1
ISR,1,1981,1981,1,1,7622,O,.,.,.,1,1
ISR,1,1981,1981,2,1,6781,O,.,.,.,1,1
ISR,1,1981,1981,3,1,7511,O,.,.,.,1,1
ISR,1,1981,1981,4,1,7138,O,.,.,.,1,1
ISR,1,1981,1981,5,1,7297,O,.,.,.,1,1
ISR,1,1981,1981,6,1,7659,O,.,.,.,1,1
ISR,1,1981,1981,7,1,8549,O,.,.,.,1,1
ISR,1,1981,1981,8,1,8060,O,.,.,.,1,1
ISR,1,1981,1981,9,1,7999,O,.,.,.,1,1
ISR,1,1981,1981,10,1,8362,O,.,.,.,1,1
ISR,1,1981,1981,11,1,8174,O,.,.,.,1,1
ISR,1,1981,1981,12,1,8231,O,.,.,.,1,1
ISR,1,1981,1981,UNK,1,0,O,.,.,.,1,1
ISR,1,1981,1981,TOT,1,93383,O,1,.,.,1,1
ISR,1,1982,1982,1,1,8019,O,.,.,.,1,1
ISR,1,1982,1982,2,1,7215,O,.,.,.,1,1
ISR,1,1982,1982,3,1,7721,O,.,.,.,1,1
ISR,1,1982,1982,4,1,7149,O,.,.,.,1,1
ISR,1,1982,1982,5,1,7654,O,.,.,.,1,1
ISR,1,1982,1982,6,1,7878,O,.,.,.,1,1
ISR,1,1982,1982,7,1,8441,O,.,.,.,1,1
ISR,1,1982,1982,8,1,8723,O,.,.,.,1,1
ISR,1,1982,1982,9,1,8920,O,.,.,.,1,1
ISR,1,1982,1982,10,1,8487,O,.,.,.,1,1
ISR,1,1982,1982,11,1,8102,O,.,.,.,1,1
ISR,1,1982,1982,12,1,8386,O,.,.,.,1,1
ISR,1,1982,1982,UNK,1,0,O,.,.,.,1,1
ISR,1,1982,1982,TOT,1,96695,O,1,.,.,1,1
ISR,1,1983,1983,1,1,8145,O,.,.,.,1,1
ISR,1,1983,1983,2,1,7082,O,.,.,.,1,1
ISR,1,1983,1983,3,1,7833,O,.,.,.,1,1
ISR,1,1983,1983,4,1,7457,O,.,.,.,1,1
ISR,1,1983,1983,5,1,7954,O,.,.,.,1,1
ISR,1,1983,1983,6,1,7743,O,.,.,.,1,1
ISR,1,1983,1983,7,1,8795,O,.,.,.,1,1
ISR,1,1983,1983,8,1,9194,O,.,.,.,1,1
ISR,1,1983,1983,9,1,8740,O,.,.,.,1,1
ISR,1,1983,1983,10,1,9016,O,.,.,.,1,1
ISR,1,1983,1983,11,1,8222,O,.,.,.,1,1
ISR,1,1983,1983,12,1,8520,O,.,.,.,1,1
ISR,1,1983,1983,UNK,1,0,O,.,.,.,1,1
ISR,1,1983,1983,TOT,1,98701,O,1,.,.,1,1
ISR,1,1984,1984,1,1,8193,O,.,.,.,1,1
ISR,1,1984,1984,2,1,7450,O,.,.,.,1,1
ISR,1,1984,1984,3,1,7799,O,.,.,.,1,1
ISR,1,1984,1984,4,1,7534,O,.,.,.,1,1
ISR,1,1984,1984,5,1,8083,O,.,.,.,1,1
ISR,1,1984,1984,6,1,8065,O,.,.,.,1,1
ISR,1,1984,1984,7,1,8881,O,.,.,.,1,1
ISR,1,1984,1984,8,1,8934,O,.,.,.,1,1
ISR,1,1984,1984,9,1,8635,O,.,.,.,1,1
ISR,1,1984,1984,10,1,8665,O,.,.,.,1,1
ISR,1,1984,1984,11,1,8068,O,.,.,.,1,1
