PopName,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3
ITA,1867,.,30,40,f,42,O,Rb,1.118,.,.,.
ITA,1867,0,30,40,f,42,O,Vx,1.118,13,.,.
ITA,1867,1,30,40,f,42,O,Vx,1.128,13,.,.
ITA,1867,2,30,40,f,42,O,Vx,1.119,13,.,.
ITA,1867,3,30,40,f,42,O,Vx,1.121,13,.,.
ITA,1867,4,30,40,f,42,O,Vx,1.116,13,.,.
ITA,1867,5,30,40,f,42,O,Vx,1.118,13,.,.
ITA,1867,6,30,40,f,42,O,Vx,1.116,13,.,.
ITA,1867,7,30,40,f,42,O,Vx,1.107,13,.,.
ITA,1867,8,30,40,f,42,O,Vx,1.113,13,.,.
ITA,1867,9,30,40,f,42,O,Vx,1.116,13,.,.
ITA,1867,10,30,40,f,42,O,Vx,1.112,13,.,.
ITA,1867,11,30,40,f,42,O,Vx,1.112,13,.,.
ITA,1867,12,30,40,f,42,O,Vx,1.103,13,.,.
ITA,1867,13,30,40,f,42,O,Vx,1.109,13,.,.
ITA,1867,14,30,40,f,42,O,Vx,1.104,13,.,.
ITA,1867,15,30,40,f,42,O,Vx,1.1,13,.,.
ITA,1867,16,30,40,f,42,O,Vx,1.103,13,.,.
ITA,1867,17,30,40,f,42,O,Vx,1.101,13,.,.
ITA,1867,18,30,40,f,42,O,Vx,1.102,13,.,.
ITA,1867,19,30,40,f,42,O,Vx,1.119,13,.,.
ITA,1867,20,30,40,f,42,O,Vx,1.094,13,.,.
ITA,1867,21,30,40,f,42,O,Vx,1.117,13,.,.
ITA,1867,22,30,40,f,42,O,Vx,1.097,13,.,.
ITA,1867,23,30,40,f,42,O,Vx,1.124,13,.,.
ITA,1867,24,30,40,f,42,O,Vx,1.108,13,.,.
ITA,1867,25,30,40,f,42,O,Vx,1.106,13,.,.
ITA,1867,26,30,40,f,42,O,Vx,1.116,13,.,.
ITA,1867,27,30,40,f,42,O,Vx,1.122,13,.,.
ITA,1867,28,30,40,f,42,O,Vx,1.109,13,.,.
ITA,1867,29,30,40,f,42,O,Vx,1.14,13,.,.
ITA,1867,30,30,40,f,42,O,Vx,1.08,13,.,.
ITA,1867,31,30,40,f,42,O,Vx,1.149,13,.,.
ITA,1867,32,30,40,f,42,O,Vx,1.126,13,.,.
ITA,1867,33,30,40,f,42,O,Vx,1.132,13,.,.
ITA,1867,34,30,40,f,42,O,Vx,1.116,13,.,.
ITA,1867,35,30,40,f,42,O,Vx,1.1,13,.,.
ITA,1867,36,30,40,f,42,O,Vx,1.105,13,.,.
ITA,1867,37,30,40,f,42,O,Vx,1.127,13,.,.
ITA,1867,38,30,40,f,42,O,Vx,1.106,13,.,.
ITA,1867,39,30,40,f,42,O,Vx,1.137,13,.,.
ITA,1867,40,30,40,f,42,O,Vx,1.063,13,.,.
ITA,1867,41,30,40,f,42,O,Vx,1.144,13,.,.
ITA,1867,42,30,40,f,42,O,Vx,1.114,13,.,.
ITA,1867,43,30,40,f,42,O,Vx,1.131,13,.,.
ITA,1867,44,30,40,f,42,O,Vx,1.121,13,.,.
ITA,1867,45,30,40,f,42,O,Vx,1.096,13,.,.
ITA,1867,46,30,40,f,42,O,Vx,1.124,13,.,.
ITA,1867,47,30,40,f,42,O,Vx,1.136,13,.,.
ITA,1867,48,30,40,f,42,O,Vx,1.118,13,.,.
ITA,1867,49,30,40,f,42,O,Vx,1.16,13,.,.
