PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ITA,30,f,1862,1862,9,O,404132,.,.,.,1
ITA,30,m,1862,1862,9,O,428922,.,.,.,1
ITA,30,f,1863,1863,9,O,418690,.,.,.,1
ITA,30,m,1863,1863,9,O,443700,.,.,.,1
ITA,30,f,1864,1864,9,O,409611,.,.,.,1
ITA,30,m,1864,1864,9,O,435843,.,.,.,1
ITA,30,f,1865,1865,9,O,419289,.,.,.,1
ITA,30,m,1865,1865,9,O,446098,.,.,.,1
ITA,30,f,1866,1866,9,O,424626,.,.,.,1
ITA,30,m,1866,1866,9,O,452291,.,.,.,1
ITA,40,f,1867,1867,9,O,448772,.,.,.,1
ITA,40,m,1867,1867,9,O,478624,.,.,.,1
ITA,40,f,1868,1868,9,O,436886,.,.,.,1
ITA,40,m,1868,1868,9,O,463530,.,.,.,1
ITA,40,f,1869,1869,9,O,459788,.,.,.,1
ITA,40,m,1869,1869,9,O,492346,.,.,.,1
ITA,40,f,1870,1870,9,O,460797,.,.,.,1
ITA,40,m,1870,1870,9,O,490698,.,.,.,1
ITA,40,f,1871,1871,9,O,464657,.,.,.,1
ITA,40,m,1871,1871,9,O,495363,.,.,.,1
ITA,50,f,1872,1872,9,O,494379,.,.,.,1
ITA,50,m,1872,1872,9,O,526303,.,.,.,1
ITA,50,f,1873,1873,9,O,477146,.,.,.,1
ITA,50,m,1873,1873,9,O,508042,.,.,.,1
ITA,50,f,1874,1874,9,O,460427,.,.,.,1
ITA,50,m,1874,1874,9,O,491231,.,.,.,1
ITA,50,f,1875,1875,9,O,501866,.,.,.,1
ITA,50,m,1875,1875,9,O,533511,.,.,.,1
ITA,50,f,1876,1876,9,O,525413,.,.,.,1
ITA,50,m,1876,1876,9,O,558308,.,.,.,1
ITA,50,f,1877,1877,9,O,499170,.,.,.,1
ITA,50,m,1877,1877,9,O,529867,.,.,.,1
ITA,50,f,1878,1878,9,O,490530,.,.,.,1
ITA,50,m,1878,1878,9,O,521945,.,.,.,1
ITA,50,f,1879,1879,9,O,515194,.,.,.,1
ITA,50,m,1879,1879,9,O,548959,.,.,.,1
ITA,50,f,1880,1880,9,O,464309,.,.,.,1
ITA,50,m,1880,1880,9,O,493591,.,.,.,1
ITA,50,f,1881,1881,9,O,524096,.,.,.,1
ITA,50,m,1881,1881,9,O,557029,.,.,.,1
ITA,50,f,1882,1882,9,O,515380,.,.,.,1
ITA,50,m,1882,1882,9,O,545714,.,.,.,1
ITA,50,f,1883,1883,9,O,520050,.,.,.,1
ITA,50,m,1883,1883,9,O,551402,.,.,.,1
ITA,50,f,1884,1884,9,O,549328,.,.,.,1
ITA,50,m,1884,1884,9,O,581413,.,.,.,1
ITA,50,f,1885,1885,9,O,545891,.,.,.,1
ITA,50,m,1885,1885,9,O,580079,.,.,.,1
ITA,50,f,1886,1886,9,O,527519,.,.,.,1
ITA,50,m,1886,1886,9,O,559441,.,.,.,1
ITA,50,f,1887,1887,9,O,559970,.,.,.,1
ITA,50,m,1887,1887,9,O,592936,.,.,.,1
ITA,50,f,1888,1888,9,O,544482,.,.,.,1
ITA,50,m,1888,1888,9,O,575081,.,.,.,1
ITA,50,f,1889,1889,9,O,557717,.,.,.,1
ITA,50,m,1889,1889,9,O,591480,.,.,.,1
ITA,50,f,1890,1890,9,O,526725,.,.,.,1
ITA,50,m,1890,1890,9,O,556378,.,.,.,1
ITA,50,f,1891,1891,9,O,550321,.,.,.,1
ITA,50,m,1891,1891,9,O,581818,.,.,.,1
ITA,50,f,1892,1892,9,O,539786,.,.,.,1
ITA,50,m,1892,1892,9,O,570787,.,.,.,1
ITA,50,f,1893,1893,9,O,547220,.,.,.,1
ITA,50,m,1893,1893,9,O,579076,.,.,.,1
ITA,50,f,1894,1894,9,O,536523,.,.,.,1
ITA,50,m,1894,1894,9,O,566412,.,.,.,1
ITA,50,f,1895,1895,9,O,530624,.,.,.,1
ITA,50,m,1895,1895,9,O,561478,.,.,.,1
ITA,50,f,1896,1896,9,O,532610,.,.,.,1
ITA,50,m,1896,1896,9,O,562895,.,.,.,1
ITA,50,f,1897,1897,9,O,535194,.,.,.,1
ITA,50,m,1897,1897,9,O,566654,.,.,.,1
ITA,50,f,1898,1898,9,O,520144,.,.,.,1
ITA,50,m,1898,1898,9,O,549930,.,.,.,1
ITA,50,f,1899,1899,9,O,530127,.,.,.,1
ITA,50,m,1899,1899,9,O,558431,.,.,.,1
ITA,50,f,1900,1900,9,O,519440,.,.,.,1
ITA,50,m,1900,1900,9,O,547936,.,.,.,1
ITA,50,f,1901,1901,9,O,513756,.,.,.,1
ITA,50,m,1901,1901,9,O,544007,.,.,.,1
ITA,50,f,1902,1902,9,O,531404,.,.,.,1
ITA,50,m,1902,1902,9,O,561670,.,.,.,1
ITA,50,f,1903,1903,9,O,506455,.,.,.,1
ITA,50,m,1903,1903,9,O,535635,.,.,.,1
ITA,50,f,1904,1904,9,O,527746,.,.,.,1
ITA,50,m,1904,1904,9,O,557685,.,.,.,1
ITA,50,f,1905,1905,9,O,527576,.,.,.,1
ITA,50,m,1905,1905,9,O,556942,.,.,.,1
ITA,50,f,1906,1906,9,O,520723,.,.,.,1
ITA,50,m,1906,1906,9,O,550255,.,.,.,1
ITA,50,f,1907,1907,9,O,516339,.,.,.,1
ITA,50,m,1907,1907,9,O,545994,.,.,.,1
ITA,50,f,1908,1908,9,O,554063,.,.,.,1
ITA,50,m,1908,1908,9,O,584750,.,.,.,1
ITA,50,f,1909,1909,9,O,544220,.,.,.,1
ITA,50,m,1909,1909,9,O,571611,.,.,.,1
ITA,50,f,1910,1910,9,O,557675,.,.,.,1
ITA,50,m,1910,1910,9,O,586735,.,.,.,1
ITA,50,f,1911,1911,9,O,531986,.,.,.,1
ITA,50,m,1911,1911,9,O,561559,.,.,.,1
ITA,50,f,1912,1912,9,O,552151,.,.,.,1
ITA,50,m,1912,1912,9,O,581834,.,.,.,1
ITA,50,f,1913,1913,9,O,547636,.,.,.,1
ITA,50,m,1913,1913,9,O,574846,.,.,.,1
ITA,50,f,1914,1914,9,O,543226,.,.,.,1
ITA,50,m,1914,1914,9,O,570865,.,.,.,1
ITA,50,f,1915,1915,9,O,540979,.,.,.,1
ITA,50,m,1915,1915,9,O,568204,.,.,.,1
ITA,50,f,1916,1916,9,O,429322,.,.,.,1
ITA,50,m,1916,1916,9,O,452304,.,.,.,1
ITA,50,f,1917,1917,9,O,335580,.,.,.,1
ITA,50,m,1917,1917,9,O,355627,.,.,.,1
ITA,50,f,1918,1918,9,O,311556,.,.,.,1
ITA,50,m,1918,1918,9,O,328707,.,.,.,1
ITA,50,f,1919,1919,9,O,374686,.,.,.,1
ITA,50,m,1919,1919,9,O,395934,.,.,.,1
ITA,50,f,1920,1920,9,O,562027,.,.,.,1
ITA,50,m,1920,1920,9,O,596014,.,.,.,1
ITA,50,f,1921,1921,9,O,544052,.,.,.,1
