PopName,Area,Year,YearReg,Month,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ITA,50,1900,1900,1,80,O,101526,.,.,.,1
ITA,50,1900,1900,2,80,O,92465,.,.,.,1
ITA,50,1900,1900,3,80,O,96934,.,.,.,1
ITA,50,1900,1900,4,80,O,93951,.,.,.,1
ITA,50,1900,1900,5,80,O,88599,.,.,.,1
ITA,50,1900,1900,6,80,O,81053,.,.,.,1
ITA,50,1900,1900,7,80,O,84534,.,.,.,1
ITA,50,1900,1900,8,80,O,86549,.,.,.,1
ITA,50,1900,1900,9,80,O,90350,.,.,.,1
ITA,50,1900,1900,10,80,O,88231,.,.,.,1
ITA,50,1900,1900,11,80,O,83562,.,.,.,1
ITA,50,1900,1900,12,80,O,79622,.,.,.,1
ITA,50,1900,1900,TOT,80,O,1067376,.,.,.,1
ITA,50,1901,1901,1,80,O,96432,.,.,.,1
ITA,50,1901,1901,2,80,O,92590,.,.,.,1
ITA,50,1901,1901,3,80,O,100459,.,.,.,1
ITA,50,1901,1901,4,80,O,90996,.,.,.,1
ITA,50,1901,1901,5,80,O,87962,.,.,.,1
ITA,50,1901,1901,6,80,O,82855,.,.,.,1
ITA,50,1901,1901,7,80,O,84135,.,.,.,1
ITA,50,1901,1901,8,80,O,85030,.,.,.,1
ITA,50,1901,1901,9,80,O,87249,.,.,.,1
ITA,50,1901,1901,10,80,O,88174,.,.,.,1
ITA,50,1901,1901,11,80,O,82745,.,.,.,1
ITA,50,1901,1901,12,80,O,79136,.,.,.,1
ITA,50,1901,1901,TOT,80,O,1057763,.,.,.,1
ITA,50,1902,1902,1,80,O,95916,.,.,.,1
ITA,50,1902,1902,2,80,O,89410,.,.,.,1
ITA,50,1902,1902,3,80,O,99664,.,.,.,1
ITA,50,1902,1902,4,80,O,94463,.,.,.,1
ITA,50,1902,1902,5,80,O,92509,.,.,.,1
ITA,50,1902,1902,6,80,O,84306,.,.,.,1
ITA,50,1902,1902,7,80,O,87419,.,.,.,1
ITA,50,1902,1902,8,80,O,88626,.,.,.,1
ITA,50,1902,1902,9,80,O,91688,.,.,.,1
ITA,50,1902,1902,10,80,O,94277,.,.,.,1
ITA,50,1902,1902,11,80,O,90448,.,.,.,1
ITA,50,1902,1902,12,80,O,84348,.,.,.,1
ITA,50,1902,1902,TOT,80,O,1093074,.,.,.,1
ITA,50,1903,1903,1,80,O,100107,.,.,.,1
ITA,50,1903,1903,2,80,O,87820,.,.,.,1
ITA,50,1903,1903,3,80,O,95948,.,.,.,1
ITA,50,1903,1903,4,80,O,89155,.,.,.,1
ITA,50,1903,1903,5,80,O,86729,.,.,.,1
ITA,50,1903,1903,6,80,O,77989,.,.,.,1
ITA,50,1903,1903,7,80,O,80367,.,.,.,1
ITA,50,1903,1903,8,80,O,85406,.,.,.,1
ITA,50,1903,1903,9,80,O,84671,.,.,.,1
ITA,50,1903,1903,10,80,O,85455,.,.,.,1
ITA,50,1903,1903,11,80,O,85063,.,.,.,1
ITA,50,1903,1903,12,80,O,83380,.,.,.,1
ITA,50,1903,1903,TOT,80,O,1042090,.,.,.,1
ITA,50,1904,1904,1,80,O,97605,.,.,.,1
ITA,50,1904,1904,2,80,O,93481,.,.,.,1
ITA,50,1904,1904,3,80,O,96105,.,.,.,1
ITA,50,1904,1904,4,80,O,89790,.,.,.,1
ITA,50,1904,1904,5,80,O,89763,.,.,.,1
ITA,50,1904,1904,6,80,O,80388,.,.,.,1
ITA,50,1904,1904,7,80,O,85795,.,.,.,1
ITA,50,1904,1904,8,80,O,88624,.,.,.,1
ITA,50,1904,1904,9,80,O,93460,.,.,.,1
ITA,50,1904,1904,10,80,O,93697,.,.,.,1
ITA,50,1904,1904,11,80,O,90663,.,.,.,1
ITA,50,1904,1904,12,80,O,86060,.,.,.,1
ITA,50,1904,1904,TOT,80,O,1085431,.,.,.,1
ITA,50,1905,1905,1,80,O,106205,.,.,.,1
ITA,50,1905,1905,2,80,O,94294,.,.,.,1
ITA,50,1905,1905,3,80,O,95518,.,.,.,1
ITA,50,1905,1905,4,80,O,88480,.,.,.,1
ITA,50,1905,1905,5,80,O,83676,.,.,.,1
ITA,50,1905,1905,6,80,O,81304,.,.,.,1
ITA,50,1905,1905,7,80,O,89510,.,.,.,1
ITA,50,1905,1905,8,80,O,91951,.,.,.,1
ITA,50,1905,1905,9,80,O,93115,.,.,.,1
ITA,50,1905,1905,10,80,O,91416,.,.,.,1
ITA,50,1905,1905,11,80,O,83881,.,.,.,1
ITA,50,1905,1905,12,80,O,85158,.,.,.,1
ITA,50,1905,1905,TOT,80,O,1084508,.,.,.,1
ITA,50,1906,1906,1,80,O,103074,.,.,.,1
ITA,50,1906,1906,2,80,O,92212,.,.,.,1
ITA,50,1906,1906,3,80,O,97481,.,.,.,1
ITA,50,1906,1906,4,80,O,86516,.,.,.,1
ITA,50,1906,1906,5,80,O,85690,.,.,.,1
ITA,50,1906,1906,6,80,O,80940,.,.,.,1
ITA,50,1906,1906,7,80,O,84123,.,.,.,1
ITA,50,1906,1906,8,80,O,88462,.,.,.,1
ITA,50,1906,1906,9,80,O,91384,.,.,.,1
ITA,50,1906,1906,10,80,O,91204,.,.,.,1
ITA,50,1906,1906,11,80,O,86334,.,.,.,1
ITA,50,1906,1906,12,80,O,83558,.,.,.,1
ITA,50,1906,1906,TOT,80,O,1070978,.,.,.,1
ITA,50,1907,1907,1,80,O,100491,.,.,.,1
ITA,50,1907,1907,2,80,O,91595,.,.,.,1
ITA,50,1907,1907,3,80,O,96448,.,.,.,1
ITA,50,1907,1907,4,80,O,89951,.,.,.,1
ITA,50,1907,1907,5,80,O,85157,.,.,.,1
ITA,50,1907,1907,6,80,O,79399,.,.,.,1
ITA,50,1907,1907,7,80,O,86034,.,.,.,1
ITA,50,1907,1907,8,80,O,89675,.,.,.,1
ITA,50,1907,1907,9,80,O,91921,.,.,.,1
ITA,50,1907,1907,10,80,O,89706,.,.,.,1
ITA,50,1907,1907,11,80,O,81610,.,.,.,1
ITA,50,1907,1907,12,80,O,80346,.,.,.,1
ITA,50,1907,1907,TOT,80,O,1062333,.,.,.,1
ITA,50,1908,1908,1,80,O,100090,.,.,.,1
ITA,50,1908,1908,2,80,O,98188,.,.,.,1
ITA,50,1908,1908,3,80,O,102961,.,.,.,1
ITA,50,1908,1908,4,80,O,94565,.,.,.,1
ITA,50,1908,1908,5,80,O,89974,.,.,.,1
ITA,50,1908,1908,6,80,O,82793,.,.,.,1
ITA,50,1908,1908,7,80,O,88665,.,.,.,1
ITA,50,1908,1908,8,80,O,91382,.,.,.,1
ITA,50,1908,1908,9,80,O,96948,.,.,.,1
ITA,50,1908,1908,10,80,O,99637,.,.,.,1
ITA,50,1908,1908,11,80,O,100119,.,.,.,1
ITA,50,1908,1908,12,80,O,93491,.,.,.,1
ITA,50,1908,1908,TOT,80,O,1138813,.,.,.,1
ITA,50,1909,1909,1,80,O,110865,.,.,.,1
ITA,50,1909,1909,2,80,O,99694,.,.,.,1
ITA,50,1909,1909,3,80,O,102339,.,.,.,1
ITA,50,1909,1909,4,80,O,94973,.,.,.,1
ITA,50,1909,1909,5,80,O,94993,.,.,.,1
ITA,50,1909,1909,6,80,O,86640,.,.,.,1
ITA,50,1909,1909,7,80,O,88846,.,.,.,1
ITA,50,1909,1909,8,80,O,89100,.,.,.,1
ITA,50,1909,1909,9,80,O,90275,.,.,.,1
ITA,50,1909,1909,10,80,O,90627,.,.,.,1
ITA,50,1909,1909,11,80,O,86457,.,.,.,1
ITA,50,1909,1909,12,80,O,81022,.,.,.,1
ITA,50,1909,1909,TOT,80,O,1115831,.,.,.,1
ITA,50,1910,1910,1,80,O,104146,.,.,.,1
ITA,50,1910,1910,2,80,O,95478,.,.,.,1
ITA,50,1910,1910,3,80,O,104680,.,.,.,1
ITA,50,1910,1910,4,80,O,99156,.,.,.,1
ITA,50,1910,1910,5,80,O,95859,.,.,.,1
ITA,50,1910,1910,6,80,O,88199,.,.,.,1
ITA,50,1910,1910,7,80,O,90781,.,.,.,1
ITA,50,1910,1910,8,80,O,89718,.,.,.,1
ITA,50,1910,1910,9,80,O,91631,.,.,.,1
ITA,50,1910,1910,10,80,O,98988,.,.,.,1
ITA,50,1910,1910,11,80,O,95364,.,.,.,1
ITA,50,1910,1910,12,80,O,90410,.,.,.,1
ITA,50,1910,1910,TOT,80,O,1144410,.,.,.,1
ITA,50,1911,1911,1,80,O,109447,.,.,.,1
ITA,50,1911,1911,2,80,O,94852,.,.,.,1
ITA,50,1911,1911,3,80,O,99894,.,.,.,1
ITA,50,1911,1911,4,80,O,94739,.,.,.,1
ITA,50,1911,1911,5,80,O,90404,.,.,.,1
ITA,50,1911,1911,6,80,O,83897,.,.,.,1
ITA,50,1911,1911,7,80,O,89177,.,.,.,1
ITA,50,1911,1911,8,80,O,88208,.,.,.,1
ITA,50,1911,1911,9,80,O,88539,.,.,.,1
ITA,50,1911,1911,10,80,O,88574,.,.,.,1
ITA,50,1911,1911,11,80,O,82969,.,.,.,1
ITA,50,1911,1911,12,80,O,82845,.,.,.,1
ITA,50,1911,1911,TOT,80,O,1093545,.,.,.,1
ITA,50,1912,1912,1,80,O,102516,.,.,.,1
ITA,50,1912,1912,2,80,O,96018,.,.,.,1
ITA,50,1912,1912,3,80,O,101369,.,.,.,1
ITA,50,1912,1912,4,80,O,92153,.,.,.,1
ITA,50,1912,1912,5,80,O,86297,.,.,.,1
ITA,50,1912,1912,6,80,O,82265,.,.,.,1
ITA,50,1912,1912,7,80,O,86925,.,.,.,1
ITA,50,1912,1912,8,80,O,92783,.,.,.,1
ITA,50,1912,1912,9,80,O,97924,.,.,.,1
