Italy , Life tables (cohort 5x5), Total	Last modified: 22 May 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1874        0      0.25820  0.21897  0.31  100000   21897   84805  3636716  36.37
1872-1874      1-4      0.06384  0.21984  1.47   78103   17170  268969  3551912  45.48
1872-1874      5-9      0.01274  0.06123  1.84   60933    3731  292872  3282943  53.88
1872-1874     10-14     0.00553  0.02730  2.51   57202    1561  282130  2990071  52.27
1872-1874     15-19     0.00599  0.02952  2.62   55641    1643  274298  2707941  48.67
1872-1874     20-24     0.00784  0.03844  2.51   53998    2076  264815  2433643  45.07
1872-1874     25-29     0.00718  0.03524  2.47   51923    1830  254984  2168828  41.77
1872-1874     30-34     0.00720  0.03538  2.51   50093    1772  246050  1913844  38.21
1872-1874     35-39     0.00738  0.03623  2.47   48320    1750  237174  1667794  34.52
1872-1874     40-44     0.00948  0.04646  2.84   46570    2164  228180  1430620  30.72
1872-1874     45-49     0.01114  0.05404  2.27   44406    2400  215471  1202441  27.08
1872-1874     50-54     0.01190  0.05783  2.59   42007    2429  204185   986970  23.50
1872-1874     55-59     0.01566  0.07547  2.62   39577    2987  190783   782785  19.78
1872-1874     60-64     0.02404  0.11377  2.65   36591    4163  173182   592002  16.18
1872-1874     65-69     0.03780  0.17357  2.65   32428    5628  148916   418820  12.92
1872-1874     70-74     0.05904  0.25710  2.49   26799    6890  116707   269904  10.07
1872-1874     75-79     0.09019  0.36887  2.53   19909    7344   81429   153197   7.69
1872-1874     80-84     0.14078  0.51512  2.40   12565    6473   45976    71768   5.71
1872-1874     85-89     0.20809  0.66338  2.27    6093    4042   19423    25792   4.23
1872-1874     90-94     0.30429  0.79922  2.03    2051    1639    5387     6370   3.11
1872-1874     95-99     0.40577  0.88707  1.83     412     365     900      983   2.39
1872-1874    100-104    0.55626  0.94916  1.53      47      44      79       82   1.77
1872-1874    105-109    0.77463  0.98237  1.20       2       2       3        3   1.28
1872-1874    110+       1.50000  1.00000  0.67       0       0       0        0   0.67
1875-1879        0      0.24408  0.20872  0.31  100000   20872   85515  3822438  38.22
1875-1879      1-4      0.05923  0.20591  1.46   79128   16294  275094  3736923  47.23
1875-1879      5-9      0.01112  0.05371  1.81   62834    3375  303413  3461829  55.09
1875-1879     10-14     0.00473  0.02336  2.54   59459    1389  293885  3158416  53.12
1875-1879     15-19     0.00565  0.02787  2.60   58070    1618  286470  2864531  49.33
1875-1879     20-24     0.00723  0.03552  2.53   56452    2005  277303  2578061  45.67
1875-1879     25-29     0.00688  0.03379  2.46   54447    1840  267563  2300757  42.26
1875-1879     30-34     0.00696  0.03419  2.48   52607    1799  258497  2033195  38.65
1875-1879     35-39     0.00819  0.04023  2.78   50809    2044  249499  1774698  34.93
1875-1879     40-44     0.01107  0.05373  2.29   48765    2620  236716  1525199  31.28
1875-1879     45-49     0.00848  0.04156  2.56   46145    1918  226043  1288483  27.92
1875-1879     50-54     0.01099  0.05351  2.57   44227    2367  215371  1062441  24.02
1875-1879     55-59     0.01514  0.07308  2.63   41860    3059  202059   847069  20.24
1875-1879     60-64     0.02320  0.11000  2.64   38801    4268  183938   645011  16.62
1875-1879     65-69     0.03573  0.16428  2.56   34533    5673  158799   461073  13.35
1875-1879     70-74     0.05315  0.23562  2.59   28859    6800  127933   302274  10.47
1875-1879     75-79     0.08693  0.35747  2.52   22059    7886   90710   174341   7.90
1875-1879     80-84     0.13268  0.49380  2.41   14174    6999   52752    83630   5.90
1875-1879     85-89     0.20427  0.65415  2.25    7175    4693   22976    30878   4.30
1875-1879     90-94     0.29313  0.78552  2.05    2481    1949    6650     7902   3.18
1875-1879     95-99     0.41363  0.89386  1.82     532     476    1150     1253   2.35
1875-1879    100-104    0.54324  0.94520  1.55      56      53      98      103   1.82
1875-1879    105-109    0.69561  0.96861  1.28       3       3       4        4   1.42
1875-1879    110+       1.00000  1.00000  1.00       0       0       0        0   1.00
1880-1884        0      0.24217  0.20733  0.31  100000   20733   85612  3839654  38.40
1880-1884      1-4      0.06155  0.21259  1.43   79267   16851  273794  3754043  47.36
1880-1884      5-9      0.01060  0.05120  1.64   62416    3195  301357  3480249  55.76
1880-1884     10-14     0.00432  0.02138  2.61   59221    1266  293078  3178892  53.68
1880-1884     15-19     0.00524  0.02588  2.60   57955    1500  286173  2885814  49.79
1880-1884     20-24     0.00687  0.03377  2.55   56455    1906  277599  2599641  46.05
1880-1884     25-29     0.00660  0.03243  2.44   54549    1769  268217  2322042  42.57
1880-1884     30-34     0.00922  0.04520  2.88   52779    2386  258838  2053825  38.91
1880-1884     35-39     0.01163  0.05633  2.19   50393    2839  243978  1794987  35.62
1880-1884     40-44     0.00711  0.03493  2.54   47555    1661  233681  1551009  32.62
