Italy , Life tables (cohort 1x5), Females	Last modified: 22 May 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1874        0      0.24441  0.20932  0.31  100000   20932   85643  3702746  37.03
1872-1874        1      0.09815  0.09331  0.47   79068    7378   75167  3617103  45.75
1872-1874        2      0.07049  0.06808  0.50   71691    4881   69243  3541936  49.41
1872-1874        3      0.04778  0.04666  0.50   66810    3118   65251  3472693  51.98
1872-1874        4      0.03180  0.03130  0.50   63692    1994   62696  3407442  53.50
1872-1874        5      0.02279  0.02254  0.51   61699    1391   61012  3344746  54.21
1872-1874        6      0.01625  0.01612  0.50   60308     972   59827  3283734  54.45
1872-1874        7      0.01110  0.01104  0.50   59336     655   59010  3223908  54.33
1872-1874        8      0.00792  0.00789  0.51   58681     463   58454  3164898  53.93
1872-1874        9      0.00698  0.00695  0.51   58218     405   58019  3106444  53.36
1872-1874       10      0.00601  0.00599  0.51   57813     346   57642  3048425  52.73
1872-1874       11      0.00549  0.00548  0.51   57467     315   57313  2990783  52.04
1872-1874       12      0.00591  0.00589  0.51   57152     337   56987  2933471  51.33
1872-1874       13      0.00619  0.00617  0.51   56815     350   56643  2876483  50.63
1872-1874       14      0.00618  0.00616  0.51   56465     348   56293  2819840  49.94
1872-1874       15      0.00611  0.00609  0.51   56117     342   55948  2763548  49.25
1872-1874       16      0.00620  0.00618  0.51   55775     345   55605  2707599  48.55
1872-1874       17      0.00647  0.00645  0.51   55430     358   55255  2651994  47.84
1872-1874       18      0.00684  0.00681  0.51   55072     375   54888  2596740  47.15
1872-1874       19      0.00712  0.00710  0.51   54697     388   54506  2541852  46.47
1872-1874       20      0.00735  0.00732  0.51   54309     398   54113  2487345  45.80
1872-1874       21      0.00760  0.00757  0.51   53911     408   53710  2433233  45.13
1872-1874       22      0.00776  0.00773  0.51   53503     414   53299  2379523  44.47
1872-1874       23      0.00781  0.00778  0.50   53090     413   52885  2326224  43.82
1872-1874       24      0.00774  0.00771  0.50   52677     406   52476  2273339  43.16
1872-1874       25      0.00762  0.00759  0.51   52271     397   52075  2220863  42.49
1872-1874       26      0.00751  0.00748  0.50   51874     388   51682  2168788  41.81
1872-1874       27      0.00752  0.00750  0.51   51486     386   51295  2117107  41.12
1872-1874       28      0.00768  0.00765  0.51   51100     391   50907  2065811  40.43
1872-1874       29      0.00773  0.00770  0.51   50709     391   50516  2014905  39.73
1872-1874       30      0.00774  0.00771  0.51   50318     388   50127  1964389  39.04
1872-1874       31      0.00762  0.00759  0.50   49931     379   49742  1914262  38.34
1872-1874       32      0.00752  0.00749  0.50   49551     371   49368  1864520  37.63
1872-1874       33      0.00769  0.00766  0.51   49180     377   48995  1815153  36.91
1872-1874       34      0.00787  0.00784  0.51   48803     383   48615  1766158  36.19
1872-1874       35      0.00779  0.00776  0.50   48421     376   48235  1717543  35.47
