PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
JPN,2,f,1872,1872,105,O,290647,.,.,.,0
JPN,2,m,1872,1872,105,O,302796,.,.,.,0
JPN,2,f,1873,1873,105,O,411414,.,.,.,1
JPN,2,m,1873,1873,105,O,430145,.,.,.,1
JPN,2,f,1874,1874,105,O,426765,.,.,.,1
JPN,2,m,1874,1874,105,O,443470,.,.,.,1
JPN,2,f,1875,1875,105,O,441293,.,.,.,1
JPN,2,m,1875,1875,105,O,464476,.,.,.,1
JPN,2,f,1876,1876,105,O,458588,.,.,.,1
JPN,2,m,1876,1876,105,O,483275,.,.,.,1
JPN,2,f,1877,1877,105,O,455482,.,.,.,1
JPN,2,m,1877,1877,105,O,475302,.,.,.,1
JPN,2,f,1878,1878,105,O,446587,.,.,.,1
JPN,2,m,1878,1878,105,O,470226,.,.,.,1
JPN,2,f,1879,1879,105,O,451139,.,.,.,1
JPN,2,m,1879,1879,105,O,472940,.,.,.,1
JPN,2,f,1880,1880,105,O,457777,.,.,.,1
JPN,2,m,1880,1880,105,O,477421,.,.,.,1
JPN,2,f,1881,1881,105,O,493352,.,.,.,1
JPN,2,m,1881,1881,105,O,504142,.,.,.,1
JPN,2,f,1882,1882,105,O,485880,.,.,.,1
JPN,2,m,1882,1882,105,O,510182,.,.,.,1
JPN,2,f,1883,1883,105,O,537856,.,.,.,1
JPN,2,m,1883,1883,105,O,556118,.,.,.,1
JPN,2,f,1884,1884,105,O,529050,.,.,.,1
JPN,2,m,1884,1884,105,O,545436,.,.,.,1
JPN,2,f,1885,1885,105,O,561525,.,.,.,1
JPN,2,m,1885,1885,105,O,586413,.,.,.,1
JPN,2,f,1886,1886,105,O,551734,.,.,.,1
JPN,2,m,1886,1886,105,O,574806,.,.,.,1
JPN,2,f,1887,1887,105,O,537751,.,.,.,1
JPN,2,m,1887,1887,105,O,562523,.,.,.,1
JPN,2,f,1888,1888,105,O,594104,.,.,.,1
JPN,2,m,1888,1888,105,O,619997,.,.,.,1
