PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
JPN,2,1947,1947,1,f,0,1,RR,93,O,93763,.,.,.,0
JPN,2,1947,1947,1,f,0,1,TL,108,O,64573,.,.,.,1
JPN,2,1947,1947,1,f,0,1,TU,108,O,29190,.,.,.,1
JPN,2,1947,1947,1,f,1,1,RR,93,O,27672,.,.,.,0
JPN,2,1947,1947,1,f,1,1,TL,108,O,16505,.,.,.,1
JPN,2,1947,1947,1,f,1,1,TU,108,O,11167,.,.,.,1
JPN,2,1947,1947,1,f,2,1,RR,93,O,14671,.,.,.,0
JPN,2,1947,1947,1,f,2,1,TL,108,O,7629,.,.,.,1
JPN,2,1947,1947,1,f,2,1,TU,108,O,7042,.,.,.,1
JPN,2,1947,1947,1,f,3,1,RR,93,O,11050,.,.,.,0
JPN,2,1947,1947,1,f,3,1,TL,108,O,5993,.,.,.,1
JPN,2,1947,1947,1,f,3,1,TU,108,O,5057,.,.,.,1
JPN,2,1947,1947,1,f,4,1,RR,93,O,6693,.,.,.,0
JPN,2,1947,1947,1,f,4,1,TL,108,O,3732,.,.,.,1
JPN,2,1947,1947,1,f,4,1,TU,108,O,2961,.,.,.,1
JPN,2,1947,1947,1,f,5,5,RR,93,O,14230,.,.,.,0
JPN,2,1947,1947,1,f,5,1,TL,108,O,2625,.,.,.,1
JPN,2,1947,1947,1,f,5,1,TU,108,O,2179,.,.,.,1
JPN,2,1947,1947,1,f,6,1,TL,108,O,1858,.,.,.,1
JPN,2,1947,1947,1,f,6,1,TU,108,O,1588,.,.,.,1
JPN,2,1947,1947,1,f,7,1,TL,108,O,1378,.,.,.,1
JPN,2,1947,1947,1,f,7,1,TU,108,O,1094,.,.,.,1
JPN,2,1947,1947,1,f,8,1,TL,108,O,949,.,.,.,1
JPN,2,1947,1947,1,f,8,1,TU,108,O,815,.,.,.,1
JPN,2,1947,1947,1,f,9,1,TL,108,O,866,.,.,.,1
JPN,2,1947,1947,1,f,9,1,TU,108,O,878,.,.,.,1
JPN,2,1947,1947,1,f,10,5,RR,93,O,8335,.,.,.,0
JPN,2,1947,1947,1,f,10,1,TL,108,O,860,.,.,.,1
JPN,2,1947,1947,1,f,10,1,TU,108,O,725,.,.,.,1
JPN,2,1947,1947,1,f,11,1,TL,108,O,778,.,.,.,1
JPN,2,1947,1947,1,f,11,1,TU,108,O,749,.,.,.,1
JPN,2,1947,1947,1,f,12,1,TL,108,O,818,.,.,.,1
JPN,2,1947,1947,1,f,12,1,TU,108,O,754,.,.,.,1
JPN,2,1947,1947,1,f,13,1,TL,108,O,805,.,.,.,1
JPN,2,1947,1947,1,f,13,1,TU,108,O,806,.,.,.,1
JPN,2,1947,1947,1,f,14,1,TL,108,O,1045,.,.,.,1
JPN,2,1947,1947,1,f,14,1,TU,108,O,995,.,.,.,1
JPN,2,1947,1947,1,f,15,5,RR,93,O,18481,.,.,.,0
JPN,2,1947,1947,1,f,15,1,TL,108,O,1391,.,.,.,1
JPN,2,1947,1947,1,f,15,1,TU,108,O,1306,.,.,.,1
JPN,2,1947,1947,1,f,16,1,TL,108,O,1551,.,.,.,1
JPN,2,1947,1947,1,f,16,1,TU,108,O,1489,.,.,.,1
JPN,2,1947,1947,1,f,17,1,TL,108,O,1829,.,.,.,1
JPN,2,1947,1947,1,f,17,1,TU,108,O,1782,.,.,.,1
JPN,2,1947,1947,1,f,18,1,TL,108,O,2189,.,.,.,1
JPN,2,1947,1947,1,f,18,1,TU,108,O,2034,.,.,.,1
JPN,2,1947,1947,1,f,19,1,TL,108,O,2531,.,.,.,1
JPN,2,1947,1947,1,f,19,1,TU,108,O,2379,.,.,.,1
JPN,2,1947,1947,1,f,20,5,RR,93,O,27232,.,.,.,0
JPN,2,1947,1947,1,f,20,1,TL,108,O,3006,.,.,.,1
JPN,2,1947,1947,1,f,20,1,TU,108,O,2430,.,.,.,1
JPN,2,1947,1947,1,f,21,1,TL,108,O,2966,.,.,.,1
JPN,2,1947,1947,1,f,21,1,TU,108,O,2650,.,.,.,1
JPN,2,1947,1947,1,f,22,1,TL,108,O,2962,.,.,.,1
JPN,2,1947,1947,1,f,22,1,TU,108,O,2418,.,.,.,1
JPN,2,1947,1947,1,f,23,1,TL,108,O,2970,.,.,.,1
JPN,2,1947,1947,1,f,23,1,TU,108,O,2493,.,.,.,1
JPN,2,1947,1947,1,f,24,1,TL,108,O,2993,.,.,.,1
JPN,2,1947,1947,1,f,24,1,TU,108,O,2344,.,.,.,1
JPN,2,1947,1947,1,f,25,5,RR,93,O,22366,.,.,.,0
JPN,2,1947,1947,1,f,25,1,TL,108,O,2716,.,.,.,1
JPN,2,1947,1947,1,f,25,1,TU,108,O,2328,.,.,.,1
JPN,2,1947,1947,1,f,26,1,TL,108,O,2546,.,.,.,1
JPN,2,1947,1947,1,f,26,1,TU,108,O,2214,.,.,.,1
JPN,2,1947,1947,1,f,27,1,TL,108,O,2533,.,.,.,1
JPN,2,1947,1947,1,f,27,1,TU,108,O,1965,.,.,.,1
JPN,2,1947,1947,1,f,28,1,TL,108,O,2154,.,.,.,1
JPN,2,1947,1947,1,f,28,1,TU,108,O,1859,.,.,.,1
JPN,2,1947,1947,1,f,29,1,TL,108,O,2125,.,.,.,1
JPN,2,1947,1947,1,f,29,1,TU,108,O,1926,.,.,.,1
JPN,2,1947,1947,1,f,30,5,RR,93,O,19451,.,.,.,0
JPN,2,1947,1947,1,f,30,1,TL,108,O,2172,.,.,.,1
JPN,2,1947,1947,1,f,30,1,TU,108,O,1847,.,.,.,1
JPN,2,1947,1947,1,f,31,1,TL,108,O,2113,.,.,.,1
JPN,2,1947,1947,1,f,31,1,TU,108,O,1821,.,.,.,1
JPN,2,1947,1947,1,f,32,1,TL,108,O,2042,.,.,.,1
JPN,2,1947,1947,1,f,32,1,TU,108,O,1838,.,.,.,1
JPN,2,1947,1947,1,f,33,1,TL,108,O,2033,.,.,.,1
JPN,2,1947,1947,1,f,33,1,TU,108,O,1858,.,.,.,1
JPN,2,1947,1947,1,f,34,1,TL,108,O,1934,.,.,.,1
JPN,2,1947,1947,1,f,34,1,TU,108,O,1793,.,.,.,1
JPN,2,1947,1947,1,f,35,5,RR,93,O,18046,.,.,.,0
JPN,2,1947,1947,1,f,35,1,TL,108,O,1926,.,.,.,1
JPN,2,1947,1947,1,f,35,1,TU,108,O,1765,.,.,.,1
JPN,2,1947,1947,1,f,36,1,TL,108,O,1915,.,.,.,1
JPN,2,1947,1947,1,f,36,1,TU,108,O,1753,.,.,.,1
JPN,2,1947,1947,1,f,37,1,TL,108,O,1867,.,.,.,1
JPN,2,1947,1947,1,f,37,1,TU,108,O,1772,.,.,.,1
JPN,2,1947,1947,1,f,38,1,TL,108,O,1934,.,.,.,1
JPN,2,1947,1947,1,f,38,1,TU,108,O,1570,.,.,.,1
JPN,2,1947,1947,1,f,39,1,TL,108,O,1819,.,.,.,1
JPN,2,1947,1947,1,f,39,1,TU,108,O,1725,.,.,.,1
JPN,2,1947,1947,1,f,40,5,RR,93,O,16279,.,.,.,0
JPN,2,1947,1947,1,f,40,1,TL,108,O,1842,.,.,.,1
JPN,2,1947,1947,1,f,40,1,TU,108,O,1450,.,.,.,1
JPN,2,1947,1947,1,f,41,1,TL,108,O,1505,.,.,.,1
JPN,2,1947,1947,1,f,41,1,TU,108,O,1671,.,.,.,1
JPN,2,1947,1947,1,f,42,1,TL,108,O,1792,.,.,.,1
JPN,2,1947,1947,1,f,42,1,TU,108,O,1541,.,.,.,1
JPN,2,1947,1947,1,f,43,1,TL,108,O,1650,.,.,.,1
JPN,2,1947,1947,1,f,43,1,TU,108,O,1547,.,.,.,1
JPN,2,1947,1947,1,f,44,1,TL,108,O,1662,.,.,.,1
JPN,2,1947,1947,1,f,44,1,TU,108,O,1619,.,.,.,1
JPN,2,1947,1947,1,f,45,5,RR,93,O,17121,.,.,.,0
JPN,2,1947,1947,1,f,45,1,TL,108,O,1753,.,.,.,1
JPN,2,1947,1947,1,f,45,1,TU,108,O,1591,.,.,.,1
JPN,2,1947,1947,1,f,46,1,TL,108,O,1716,.,.,.,1
JPN,2,1947,1947,1,f,46,1,TU,108,O,1670,.,.,.,1
JPN,2,1947,1947,1,f,47,1,TL,108,O,1712,.,.,.,1
JPN,2,1947,1947,1,f,47,1,TU,108,O,1698,.,.,.,1
JPN,2,1947,1947,1,f,48,1,TL,108,O,1652,.,.,.,1
JPN,2,1947,1947,1,f,48,1,TU,108,O,1693,.,.,.,1
JPN,2,1947,1947,1,f,49,1,TL,108,O,1909,.,.,.,1
JPN,2,1947,1947,1,f,49,1,TU,108,O,1727,.,.,.,1
JPN,2,1947,1947,1,f,50,5,RR,93,O,18924,.,.,.,0
JPN,2,1947,1947,1,f,50,1,TL,108,O,1831,.,.,.,1
JPN,2,1947,1947,1,f,50,1,TU,108,O,1850,.,.,.,1
JPN,2,1947,1947,1,f,51,1,TL,108,O,1932,.,.,.,1
JPN,2,1947,1947,1,f,51,1,TU,108,O,1783,.,.,.,1
JPN,2,1947,1947,1,f,52,1,TL,108,O,1907,.,.,.,1
JPN,2,1947,1947,1,f,52,1,TU,108,O,1901,.,.,.,1
JPN,2,1947,1947,1,f,53,1,TL,108,O,1948,.,.,.,1
JPN,2,1947,1947,1,f,53,1,TU,108,O,1892,.,.,.,1
JPN,2,1947,1947,1,f,54,1,TL,108,O,2026,.,.,.,1
JPN,2,1947,1947,1,f,54,1,TU,108,O,1854,.,.,.,1
JPN,2,1947,1947,1,f,55,5,RR,93,O,22464,.,.,.,0
JPN,2,1947,1947,1,f,55,1,TL,108,O,1991,.,.,.,1
JPN,2,1947,1947,1,f,55,1,TU,108,O,1856,.,.,.,1
JPN,2,1947,1947,1,f,56,1,TL,108,O,1949,.,.,.,1
JPN,2,1947,1947,1,f,56,1,TU,108,O,2099,.,.,.,1
JPN,2,1947,1947,1,f,57,1,TL,108,O,2199,.,.,.,1
JPN,2,1947,1947,1,f,57,1,TU,108,O,2347,.,.,.,1
JPN,2,1947,1947,1,f,58,1,TL,108,O,2601,.,.,.,1
JPN,2,1947,1947,1,f,58,1,TU,108,O,2461,.,.,.,1
JPN,2,1947,1947,1,f,59,1,TL,108,O,2533,.,.,.,1
JPN,2,1947,1947,1,f,59,1,TU,108,O,2428,.,.,.,1
JPN,2,1947,1947,1,f,60,5,RR,93,O,29958,.,.,.,0
JPN,2,1947,1947,1,f,60,1,TL,108,O,2598,.,.,.,1
JPN,2,1947,1947,1,f,60,1,TU,108,O,2871,.,.,.,1
JPN,2,1947,1947,1,f,61,1,TL,108,O,2711,.,.,.,1
JPN,2,1947,1947,1,f,61,1,TU,108,O,2644,.,.,.,1
JPN,2,1947,1947,1,f,62,1,TL,108,O,2940,.,.,.,1
JPN,2,1947,1947,1,f,62,1,TU,108,O,3015,.,.,.,1
JPN,2,1947,1947,1,f,63,1,TL,108,O,3104,.,.,.,1
JPN,2,1947,1947,1,f,63,1,TU,108,O,3326,.,.,.,1
JPN,2,1947,1947,1,f,64,1,TL,108,O,3267,.,.,.,1
JPN,2,1947,1947,1,f,64,1,TU,108,O,3482,.,.,.,1
JPN,2,1947,1947,1,f,65,5,RR,93,O,38384,.,.,.,0
JPN,2,1947,1947,1,f,65,1,TL,108,O,3459,.,.,.,1
JPN,2,1947,1947,1,f,65,1,TU,108,O,3629,.,.,.,1
JPN,2,1947,1947,1,f,66,1,TL,108,O,3700,.,.,.,1
JPN,2,1947,1947,1,f,66,1,TU,108,O,3732,.,.,.,1
JPN,2,1947,1947,1,f,67,1,TL,108,O,3720,.,.,.,1
JPN,2,1947,1947,1,f,67,1,TU,108,O,3737,.,.,.,1
JPN,2,1947,1947,1,f,68,1,TL,108,O,4109,.,.,.,1
JPN,2,1947,1947,1,f,68,1,TU,108,O,4025,.,.,.,1
JPN,2,1947,1947,1,f,69,1,TL,108,O,4068,.,.,.,1
JPN,2,1947,1947,1,f,69,1,TU,108,O,4205,.,.,.,1
JPN,2,1947,1947,1,f,70,5,RR,93,O,43240,.,.,.,0
JPN,2,1947,1947,1,f,70,1,TL,108,O,4075,.,.,.,1
JPN,2,1947,1947,1,f,70,1,TU,108,O,4840,.,.,.,1
JPN,2,1947,1947,1,f,71,1,TL,108,O,4456,.,.,.,1
JPN,2,1947,1947,1,f,71,1,TU,108,O,4590,.,.,.,1
JPN,2,1947,1947,1,f,72,1,TL,108,O,3996,.,.,.,1
JPN,2,1947,1947,1,f,72,1,TU,108,O,4436,.,.,.,1
JPN,2,1947,1947,1,f,73,1,TL,108,O,4174,.,.,.,1
JPN,2,1947,1947,1,f,73,1,TU,108,O,4477,.,.,.,1
JPN,2,1947,1947,1,f,74,1,TL,108,O,4173,.,.,.,1
JPN,2,1947,1947,1,f,74,1,TU,108,O,4023,.,.,.,1
JPN,2,1947,1947,1,f,75,5,RR,93,O,34763,.,.,.,0
JPN,2,1947,1947,1,f,75,1,TL,108,O,3748,.,.,.,1
JPN,2,1947,1947,1,f,75,1,TU,108,O,3877,.,.,.,1
JPN,2,1947,1947,1,f,76,1,TL,108,O,3126,.,.,.,1
JPN,2,1947,1947,1,f,76,1,TU,108,O,3624,.,.,.,1
JPN,2,1947,1947,1,f,77,1,TL,108,O,3045,.,.,.,1
JPN,2,1947,1947,1,f,77,1,TU,108,O,3536,.,.,.,1
JPN,2,1947,1947,1,f,78,1,TL,108,O,3080,.,.,.,1
JPN,2,1947,1947,1,f,78,1,TU,108,O,3848,.,.,.,1
JPN,2,1947,1947,1,f,79,1,TL,108,O,3498,.,.,.,1
JPN,2,1947,1947,1,f,79,1,TU,108,O,3381,.,.,.,1
JPN,2,1947,1947,1,f,80,+,RR,93,O,38936,.,.,.,0
JPN,2,1947,1947,1,f,80,1,TL,108,O,2897,.,.,.,1
JPN,2,1947,1947,1,f,80,1,TU,108,O,3173,.,.,.,1
JPN,2,1947,1947,1,f,81,1,TL,108,O,2635,.,.,.,1
JPN,2,1947,1947,1,f,81,1,TU,108,O,3188,.,.,.,1
JPN,2,1947,1947,1,f,82,1,TL,108,O,2684,.,.,.,1
JPN,2,1947,1947,1,f,82,1,TU,108,O,2810,.,.,.,1
JPN,2,1947,1947,1,f,83,1,TL,108,O,2391,.,.,.,1
JPN,2,1947,1947,1,f,83,1,TU,108,O,2295,.,.,.,1
JPN,2,1947,1947,1,f,84,1,TL,108,O,1586,.,.,.,1
JPN,2,1947,1947,1,f,84,1,TU,108,O,1633,.,.,.,1
JPN,2,1947,1947,1,f,85,1,TL,108,O,1321,.,.,.,1
JPN,2,1947,1947,1,f,85,1,TU,108,O,1324,.,.,.,1
JPN,2,1947,1947,1,f,86,1,TL,108,O,1094,.,.,.,1
JPN,2,1947,1947,1,f,86,1,TU,108,O,1232,.,.,.,1
JPN,2,1947,1947,1,f,87,1,TL,108,O,1030,.,.,.,1
JPN,2,1947,1947,1,f,87,1,TU,108,O,983,.,.,.,1
JPN,2,1947,1947,1,f,88,1,TL,108,O,842,.,.,.,1
JPN,2,1947,1947,1,f,88,1,TU,108,O,826,.,.,.,1
JPN,2,1947,1947,1,f,89,1,TL,108,O,686,.,.,.,1
JPN,2,1947,1947,1,f,89,1,TU,108,O,715,.,.,.,1
JPN,2,1947,1947,1,f,90,1,TL,108,O,529,.,.,.,1
JPN,2,1947,1947,1,f,90,1,TU,108,O,572,.,.,.,1
JPN,2,1947,1947,1,f,91,1,TL,108,O,393,.,.,.,1
JPN,2,1947,1947,1,f,91,1,TU,108,O,374,.,.,.,1
JPN,2,1947,1947,1,f,92,1,TL,108,O,267,.,.,.,1
JPN,2,1947,1947,1,f,92,1,TU,108,O,324,.,.,.,1
