Japan, Life expectancy at birth (period, 1x5)	Last modified: 09 Jan 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     57.29    53.62    55.45
1950-1954     63.89    60.37    62.13
1955-1959     68.41    64.02    66.19
1960-1964     71.44    66.45    68.91
1965-1969     73.89    68.64    71.25
1970-1974     75.71    70.41    73.07
1975-1979     77.81    72.59    75.25
1980-1984     79.56    74.06    76.88
1985-1989     81.23    75.48    78.44
1990-1994     82.35    76.22    79.37
1995-1999     83.58    77.02    80.38
2000-2004     85.07    78.19    81.72
2005-2009     85.87    79.05    82.54
2010-2014     86.36    79.89    83.19
2015-2019     87.22    81.07    84.20
