PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
KOR,01,f,1975,1975,1,O,388506,.,.,.,1
KOR,01,f,1976,1976,1,O,349682,.,.,.,1
KOR,01,f,1977,1977,1,O,385626,.,.,.,1
KOR,01,f,1978,1978,1,O,335091,.,.,.,1
KOR,01,f,1979,1979,1,O,423679,.,.,.,1
KOR,01,f,1980,1980,1,O,433066,.,.,.,1
KOR,01,f,1981,1981,2,O,418754,.,.,.,1
KOR,01,f,1982,1982,2,O,410235,.,.,.,1
KOR,01,f,1983,1983,2,O,370961,.,.,.,1
KOR,01,f,1984,1984,2,O,324018,.,.,.,1
KOR,01,f,1985,1985,2,O,312983,.,.,.,1
KOR,01,f,1986,1986,2,O,300431,.,.,.,1
KOR,01,f,1987,1987,2,O,298793,.,.,.,1
KOR,01,f,1988,1988,2,O,296889,.,.,.,1
KOR,01,f,1989,1989,2,O,301956,.,.,.,1
KOR,01,f,1990,1990,2,O,300121,.,.,.,1
KOR,01,f,1991,1991,2,O,333999,.,.,.,1
KOR,01,f,1992,1992,2,O,342105,.,.,.,1
KOR,01,f,1993,1993,2,O,332461,.,.,.,1
KOR,01,f,1994,1994,2,O,335105,.,.,.,1
KOR,01,f,1995,1995,2,O,335416,.,.,.,1
KOR,01,f,1996,1996,2,O,326793,.,.,.,1
KOR,01,f,1997,1997,2,O,324465,.,.,.,1
KOR,01,f,1998,1998,2,O,305447,.,.,.,1
KOR,01,f,1999,1999,2,O,296259,.,.,.,1
KOR,01,f,2000,2000,2,O,304656,.,.,.,1
KOR,01,f,2001,2001,2,O,267945,.,.,.,1
KOR,01,f,2002,2002,2,O,236683,.,.,.,1
KOR,01,f,2003,2003,2,O,237309,.,.,.,1
KOR,01,f,2004,2004,2,O,229123,.,.,.,1
KOR,01,f,2005,2005,2,O,211115,.,.,.,1
KOR,01,f,2006,2006,2,O,217649,.,.,.,1
KOR,01,f,2007,2007,2,O,240950,.,.,.,1
KOR,01,f,2008,2008,2,O,225773,.,.,.,1
KOR,01,f,2009,2009,2,O,215498,.,.,.,1
KOR,01,f,2010,2010,2,O,227270,.,.,.,1
KOR,01,f,2011,2011,2,O,229144,.,.,.,1
KOR,01,f,2012,2012,2,O,235592,.,.,.,1
KOR,01,f,2013,2013,2,O,212572,.,.,.,1
KOR,01,f,2014,2014,2,O,212079,.,.,.,1
KOR,01,f,2015,2015,2,O,213514,.,.,.,1
KOR,01,f,2016,2016,2,O,198179,.,.,.,1
KOR,01,f,2017,2017,2,O,173463,.,.,.,1
KOR,01,f,2018,2018,2,O,159136,.,.,.,1
KOR,01,m,1975,1975,1,O,437323,.,.,.,1
KOR,01,m,1976,1976,1,O,392829,.,.,.,1
KOR,01,m,1977,1977,1,O,404437,.,.,.,1
KOR,01,m,1978,1978,1,O,376719,.,.,.,1
KOR,01,m,1979,1979,1,O,450134,.,.,.,1
KOR,01,m,1980,1980,1,O,459050,.,.,.,1
KOR,01,m,1981,1981,2,O,448655,.,.,.,1
KOR,01,m,1982,1982,2,O,438077,.,.,.,1
KOR,01,m,1983,1983,2,O,398194,.,.,.,1
KOR,01,m,1984,1984,2,O,350775,.,.,.,1
KOR,01,m,1985,1985,2,O,342506,.,.,.,1
KOR,01,m,1986,1986,2,O,335588,.,.,.,1
KOR,01,m,1987,1987,2,O,325038,.,.,.,1
KOR,01,m,1988,1988,2,O,336203,.,.,.,1
KOR,01,m,1989,1989,2,O,337475,.,.,.,1
KOR,01,m,1990,1990,2,O,349617,.,.,.,1
KOR,01,m,1991,1991,2,O,375276,.,.,.,1
KOR,01,m,1992,1992,2,O,388573,.,.,.,1
KOR,01,m,1993,1993,2,O,383365,.,.,.,1
KOR,01,m,1994,1994,2,O,386080,.,.,.,1
KOR,01,m,1995,1995,2,O,379604,.,.,.,1
KOR,01,m,1996,1996,2,O,364433,.,.,.,1
KOR,01,m,1997,1997,2,O,350929,.,.,.,1
KOR,01,m,1998,1998,2,O,336147,.,.,.,1
KOR,01,m,1999,1999,2,O,324409,.,.,.,1
KOR,01,m,2000,2000,2,O,335433,.,.,.,1
KOR,01,m,2001,2001,2,O,291989,.,.,.,1
KOR,01,m,2002,2002,2,O,260228,.,.,.,1
KOR,01,m,2003,2003,2,O,257727,.,.,.,1
KOR,01,m,2004,2004,2,O,247835,.,.,.,1
KOR,01,m,2005,2005,2,O,227592,.,.,.,1
KOR,01,m,2006,2006,2,O,234110,.,.,.,1
KOR,01,m,2007,2007,2,O,255872,.,.,.,1
KOR,01,m,2008,2008,2,O,240119,.,.,.,1
KOR,01,m,2009,2009,2,O,229351,.,.,.,1
KOR,01,m,2010,2010,2,O,242901,.,.,.,1
KOR,01,m,2011,2011,2,O,242121,.,.,.,1
KOR,01,m,2012,2012,2,O,248958,.,.,.,1
KOR,01,m,2013,2013,2,O,223883,.,.,.,1
KOR,01,m,2014,2014,2,O,223356,.,.,.,1
KOR,01,m,2015,2015,2,O,224906,.,.,.,1
KOR,01,m,2016,2016,2,O,208064,.,.,.,1
KOR,01,m,2017,2017,2,O,184308,.,.,.,1
KOR,01,m,2018,2018,2,O,167686,.,.,.,1
