PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
KOR,01,1981,1981,1,88151,O,.,.,.,3,1
KOR,01,1981,1981,2,93556,O,.,.,.,3,1
KOR,01,1981,1981,3,70421,O,.,.,.,3,1
KOR,01,1981,1981,4,66093,O,.,.,.,3,1
KOR,01,1981,1981,5,68940,O,.,.,.,3,1
KOR,01,1981,1981,6,64634,O,.,.,.,3,1
KOR,01,1981,1981,7,67722,O,.,.,.,3,1
KOR,01,1981,1981,8,69023,O,.,.,.,3,1
KOR,01,1981,1981,9,68127,O,.,.,.,3,1
KOR,01,1981,1981,10,69425,O,.,.,.,3,1
KOR,01,1981,1981,11,70250,O,.,.,.,3,1
KOR,01,1981,1981,12,71067,O,.,.,.,3,1
KOR,01,1981,1981,TOT,867409,O,.,.,.,2,1
KOR,01,1982,1982,1,93141,O,.,.,.,3,1
KOR,01,1982,1982,2,94346,O,.,.,.,3,1
KOR,01,1982,1982,3,70860,O,.,.,.,3,1
KOR,01,1982,1982,4,66316,O,.,.,.,3,1
KOR,01,1982,1982,5,64466,O,.,.,.,3,1
KOR,01,1982,1982,6,63209,O,.,.,.,3,1
KOR,01,1982,1982,7,64074,O,.,.,.,3,1
KOR,01,1982,1982,8,64447,O,.,.,.,3,1
KOR,01,1982,1982,9,64079,O,.,.,.,3,1
KOR,01,1982,1982,10,68418,O,.,.,.,3,1
KOR,01,1982,1982,11,66545,O,.,.,.,3,1
KOR,01,1982,1982,12,68411,O,.,.,.,3,1
KOR,01,1982,1982,TOT,848312,O,.,.,.,2,1
KOR,01,1983,1983,1,86723,O,.,.,.,3,1
KOR,01,1983,1983,2,89422,O,.,.,.,3,1
KOR,01,1983,1983,3,61169,O,.,.,.,3,1
KOR,01,1983,1983,4,56581,O,.,.,.,3,1
KOR,01,1983,1983,5,57580,O,.,.,.,3,1
KOR,01,1983,1983,6,54972,O,.,.,.,3,1
KOR,01,1983,1983,7,57652,O,.,.,.,3,1
KOR,01,1983,1983,8,58611,O,.,.,.,3,1
KOR,01,1983,1983,9,59233,O,.,.,.,3,1
KOR,01,1983,1983,10,63446,O,.,.,.,3,1
KOR,01,1983,1983,11,63070,O,.,.,.,3,1
KOR,01,1983,1983,12,60696,O,.,.,.,3,1
KOR,01,1983,1983,TOT,769155,O,.,.,.,2,1
KOR,01,1984,1984,1,78667,O,.,.,.,3,1
KOR,01,1984,1984,2,86565,O,.,.,.,3,1
KOR,01,1984,1984,3,50844,O,.,.,.,3,1
KOR,01,1984,1984,4,48969,O,.,.,.,3,1
KOR,01,1984,1984,5,48151,O,.,.,.,3,1
KOR,01,1984,1984,6,46690,O,.,.,.,3,1
KOR,01,1984,1984,7,50651,O,.,.,.,3,1
KOR,01,1984,1984,8,51756,O,.,.,.,3,1
KOR,01,1984,1984,9,52811,O,.,.,.,3,1
KOR,01,1984,1984,10,56946,O,.,.,.,3,1
KOR,01,1984,1984,11,53017,O,.,.,.,3,1
KOR,01,1984,1984,12,49726,O,.,.,.,3,1
KOR,01,1984,1984,TOT,674793,O,.,.,.,2,1
KOR,01,1985,1985,1,72917,O,.,.,.,3,1
KOR,01,1985,1985,2,75291,O,.,.,.,3,1
KOR,01,1985,1985,3,48440,O,.,.,.,3,1
KOR,01,1985,1985,4,45366,O,.,.,.,3,1
KOR,01,1985,1985,5,47386,O,.,.,.,3,1
KOR,01,1985,1985,6,46209,O,.,.,.,3,1
KOR,01,1985,1985,7,50174,O,.,.,.,3,1
KOR,01,1985,1985,8,52437,O,.,.,.,3,1
KOR,01,1985,1985,9,51726,O,.,.,.,3,1
KOR,01,1985,1985,10,57499,O,.,.,.,3,1
KOR,01,1985,1985,11,54395,O,.,.,.,3,1
KOR,01,1985,1985,12,53649,O,.,.,.,3,1
KOR,01,1985,1985,TOT,655489,O,.,.,.,2,1
KOR,01,1986,1986,1,69708,O,.,.,.,3,1
KOR,01,1986,1986,2,73659,O,.,.,.,3,1
KOR,01,1986,1986,3,48593,O,.,.,.,3,1
KOR,01,1986,1986,4,47880,O,.,.,.,3,1
KOR,01,1986,1986,5,47800,O,.,.,.,3,1
KOR,01,1986,1986,6,45245,O,.,.,.,3,1
KOR,01,1986,1986,7,48895,O,.,.,.,3,1
KOR,01,1986,1986,8,49608,O,.,.,.,3,1
KOR,01,1986,1986,9,50185,O,.,.,.,3,1
KOR,01,1986,1986,10,52638,O,.,.,.,3,1
KOR,01,1986,1986,11,52631,O,.,.,.,3,1
KOR,01,1986,1986,12,49177,O,.,.,.,3,1
KOR,01,1986,1986,TOT,636019,O,.,.,.,2,1
KOR,01,1987,1987,1,66975,O,.,.,.,3,1
KOR,01,1987,1987,2,72652,O,.,.,.,3,1
KOR,01,1987,1987,3,46306,O,.,.,.,3,1
KOR,01,1987,1987,4,47635,O,.,.,.,3,1
KOR,01,1987,1987,5,47452,O,.,.,.,3,1
KOR,01,1987,1987,6,45605,O,.,.,.,3,1
KOR,01,1987,1987,7,46936,O,.,.,.,3,1
KOR,01,1987,1987,8,48582,O,.,.,.,3,1
KOR,01,1987,1987,9,50479,O,.,.,.,3,1
KOR,01,1987,1987,10,53605,O,.,.,.,3,1
KOR,01,1987,1987,11,50425,O,.,.,.,3,1
KOR,01,1987,1987,12,47179,O,.,.,.,3,1
KOR,01,1987,1987,TOT,623831,O,.,.,.,2,1
KOR,01,1988,1988,1,69373,O,.,.,.,3,1
KOR,01,1988,1988,2,72415,O,.,.,.,3,1
KOR,01,1988,1988,3,43404,O,.,.,.,3,1
KOR,01,1988,1988,4,44318,O,.,.,.,3,1
KOR,01,1988,1988,5,46754,O,.,.,.,3,1
KOR,01,1988,1988,6,44489,O,.,.,.,3,1
KOR,01,1988,1988,7,47122,O,.,.,.,3,1
KOR,01,1988,1988,8,49807,O,.,.,.,3,1
KOR,01,1988,1988,9,52448,O,.,.,.,3,1
KOR,01,1988,1988,10,55500,O,.,.,.,3,1
KOR,01,1988,1988,11,54895,O,.,.,.,3,1
KOR,01,1988,1988,12,52567,O,.,.,.,3,1
KOR,01,1988,1988,TOT,633092,O,.,.,.,2,1
KOR,01,1989,1989,1,67060,O,.,.,.,3,1
KOR,01,1989,1989,2,74369,O,.,.,.,3,1
KOR,01,1989,1989,3,44941,O,.,.,.,3,1
KOR,01,1989,1989,4,45984,O,.,.,.,3,1
KOR,01,1989,1989,5,48205,O,.,.,.,3,1
KOR,01,1989,1989,6,45277,O,.,.,.,3,1
KOR,01,1989,1989,7,48222,O,.,.,.,3,1
KOR,01,1989,1989,8,50202,O,.,.,.,3,1
KOR,01,1989,1989,9,53121,O,.,.,.,3,1
KOR,01,1989,1989,10,53824,O,.,.,.,3,1
KOR,01,1989,1989,11,53011,O,.,.,.,3,1
KOR,01,1989,1989,12,55215,O,.,.,.,3,1
KOR,01,1989,1989,TOT,639431,O,.,.,.,2,1
KOR,01,1990,1990,1,66120,O,.,.,.,3,1
KOR,01,1990,1990,2,79410,O,.,.,.,3,1
KOR,01,1990,1990,3,45610,O,.,.,.,3,1
KOR,01,1990,1990,4,49619,O,.,.,.,3,1
KOR,01,1990,1990,5,51680,O,.,.,.,3,1
KOR,01,1990,1990,6,48054,O,.,.,.,3,1
KOR,01,1990,1990,7,51089,O,.,.,.,3,1
KOR,01,1990,1990,8,51712,O,.,.,.,3,1
KOR,01,1990,1990,9,52869,O,.,.,.,3,1
KOR,01,1990,1990,10,53049,O,.,.,.,3,1
KOR,01,1990,1990,11,50881,O,.,.,.,3,1
KOR,01,1990,1990,12,49645,O,.,.,.,3,1
KOR,01,1990,1990,TOT,649738,O,.,.,.,2,1
