PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
KOR,01,1983,1983,1,f,0,1,RR,10,O,1544,.,.,.,0
KOR,01,1983,1983,1,f,1,1,RR,10,O,1034,.,.,.,0
KOR,01,1983,1983,1,f,2,1,RR,10,O,818,.,.,.,0
KOR,01,1983,1983,1,f,3,1,RR,10,O,705,.,.,.,0
KOR,01,1983,1983,1,f,4,1,RR,10,O,618,.,.,.,0
KOR,01,1983,1983,1,f,5,1,RR,10,O,698,.,.,.,0
KOR,01,1983,1983,1,f,6,1,RR,10,O,544,.,.,.,0
KOR,01,1983,1983,1,f,7,1,RR,10,O,353,.,.,.,0
KOR,01,1983,1983,1,f,8,1,RR,10,O,294,.,.,.,0
KOR,01,1983,1983,1,f,9,1,RR,10,O,316,.,.,.,0
KOR,01,1983,1983,1,f,10,1,RR,10,O,290,.,.,.,0
KOR,01,1983,1983,1,f,11,1,RR,10,O,282,.,.,.,0
KOR,01,1983,1983,1,f,12,1,RR,10,O,291,.,.,.,0
KOR,01,1983,1983,1,f,13,1,RR,10,O,314,.,.,.,0
KOR,01,1983,1983,1,f,14,1,RR,10,O,429,.,.,.,0
KOR,01,1983,1983,1,f,15,1,RR,10,O,380,.,.,.,0
KOR,01,1983,1983,1,f,16,1,RR,10,O,450,.,.,.,0
KOR,01,1983,1983,1,f,17,1,RR,10,O,529,.,.,.,0
KOR,01,1983,1983,1,f,18,1,RR,10,O,377,.,.,.,0
KOR,01,1983,1983,1,f,19,1,RR,10,O,391,.,.,.,0
KOR,01,1983,1983,1,f,20,1,RR,10,O,527,.,.,.,0
KOR,01,1983,1983,1,f,21,1,RR,10,O,596,.,.,.,0
KOR,01,1983,1983,1,f,22,1,RR,10,O,656,.,.,.,0
KOR,01,1983,1983,1,f,23,1,RR,10,O,576,.,.,.,0
KOR,01,1983,1983,1,f,24,1,RR,10,O,556,.,.,.,0
KOR,01,1983,1983,1,f,25,1,RR,10,O,529,.,.,.,0
KOR,01,1983,1983,1,f,26,1,RR,10,O,482,.,.,.,0
KOR,01,1983,1983,1,f,27,1,RR,10,O,491,.,.,.,0
KOR,01,1983,1983,1,f,28,1,RR,10,O,481,.,.,.,0
KOR,01,1983,1983,1,f,29,1,RR,10,O,456,.,.,.,0
KOR,01,1983,1983,1,f,30,1,RR,10,O,500,.,.,.,0
KOR,01,1983,1983,1,f,31,1,RR,10,O,454,.,.,.,0
KOR,01,1983,1983,1,f,32,1,RR,10,O,387,.,.,.,0
KOR,01,1983,1983,1,f,33,1,RR,10,O,455,.,.,.,0
KOR,01,1983,1983,1,f,34,1,RR,10,O,448,.,.,.,0
KOR,01,1983,1983,1,f,35,1,RR,10,O,515,.,.,.,0
KOR,01,1983,1983,1,f,36,1,RR,10,O,484,.,.,.,0
KOR,01,1983,1983,1,f,37,1,RR,10,O,397,.,.,.,0
KOR,01,1983,1983,1,f,38,1,RR,10,O,508,.,.,.,0
KOR,01,1983,1983,1,f,39,1,RR,10,O,533,.,.,.,0
KOR,01,1983,1983,1,f,40,1,RR,10,O,698,.,.,.,0
KOR,01,1983,1983,1,f,41,1,RR,10,O,699,.,.,.,0
KOR,01,1983,1983,1,f,42,1,RR,10,O,685,.,.,.,0
KOR,01,1983,1983,1,f,43,1,RR,10,O,694,.,.,.,0
KOR,01,1983,1983,1,f,44,1,RR,10,O,775,.,.,.,0
KOR,01,1983,1983,1,f,45,1,RR,10,O,797,.,.,.,0
KOR,01,1983,1983,1,f,46,1,RR,10,O,804,.,.,.,0
KOR,01,1983,1983,1,f,47,1,RR,10,O,903,.,.,.,0
KOR,01,1983,1983,1,f,48,1,RR,10,O,982,.,.,.,0
KOR,01,1983,1983,1,f,49,1,RR,10,O,1018,.,.,.,0
KOR,01,1983,1983,1,f,50,1,RR,10,O,996,.,.,.,0
KOR,01,1983,1983,1,f,51,1,RR,10,O,1086,.,.,.,0
KOR,01,1983,1983,1,f,52,1,RR,10,O,1024,.,.,.,0
KOR,01,1983,1983,1,f,53,1,RR,10,O,1172,.,.,.,0
KOR,01,1983,1983,1,f,54,1,RR,10,O,1161,.,.,.,0
KOR,01,1983,1983,1,f,55,1,RR,10,O,1241,.,.,.,0
KOR,01,1983,1983,1,f,56,1,RR,10,O,1155,.,.,.,0
KOR,01,1983,1983,1,f,57,1,RR,10,O,1213,.,.,.,0
KOR,01,1983,1983,1,f,58,1,RR,10,O,1248,.,.,.,0
KOR,01,1983,1983,1,f,59,1,RR,10,O,1257,.,.,.,0
KOR,01,1983,1983,1,f,60,1,RR,10,O,1574,.,.,.,0
KOR,01,1983,1983,1,f,61,1,RR,10,O,1493,.,.,.,0
KOR,01,1983,1983,1,f,62,1,RR,10,O,1437,.,.,.,0
KOR,01,1983,1983,1,f,63,1,RR,10,O,1547,.,.,.,0
KOR,01,1983,1983,1,f,64,1,RR,10,O,1646,.,.,.,0
KOR,01,1983,1983,1,f,65,1,RR,10,O,1711,.,.,.,0
KOR,01,1983,1983,1,f,66,1,RR,10,O,1916,.,.,.,0
KOR,01,1983,1983,1,f,67,1,RR,10,O,1870,.,.,.,0
KOR,01,1983,1983,1,f,68,1,RR,10,O,1930,.,.,.,0
KOR,01,1983,1983,1,f,69,1,RR,10,O,2068,.,.,.,0
KOR,01,1983,1983,1,f,70,1,RR,10,O,2302,.,.,.,0
KOR,01,1983,1983,1,f,71,1,RR,10,O,2495,.,.,.,0
KOR,01,1983,1983,1,f,72,1,RR,10,O,2534,.,.,.,0
KOR,01,1983,1983,1,f,73,1,RR,10,O,2468,.,.,.,0
KOR,01,1983,1983,1,f,74,1,RR,10,O,2664,.,.,.,0
KOR,01,1983,1983,1,f,75,1,RR,10,O,2636,.,.,.,0
KOR,01,1983,1983,1,f,76,1,RR,10,O,2477,.,.,.,0
KOR,01,1983,1983,1,f,77,1,RR,10,O,2636,.,.,.,0
KOR,01,1983,1983,1,f,78,1,RR,10,O,2322,.,.,.,0
KOR,01,1983,1983,1,f,79,1,RR,10,O,2104,.,.,.,0
KOR,01,1983,1983,1,f,80,1,RR,10,O,2296,.,.,.,0
KOR,01,1983,1983,1,f,81,1,RR,10,O,2281,.,.,.,0
KOR,01,1983,1983,1,f,82,1,RR,10,O,2178,.,.,.,0
KOR,01,1983,1983,1,f,83,1,RR,10,O,2107,.,.,.,0
KOR,01,1983,1983,1,f,84,1,RR,10,O,1987,.,.,.,0
KOR,01,1983,1983,1,f,85,1,RR,10,O,2126,.,.,.,0
KOR,01,1983,1983,1,f,86,1,RR,10,O,1772,.,.,.,0
KOR,01,1983,1983,1,f,87,1,RR,10,O,1229,.,.,.,0
KOR,01,1983,1983,1,f,88,1,RR,10,O,1155,.,.,.,0
KOR,01,1983,1983,1,f,89,1,RR,10,O,984,.,.,.,0
