PopName,Year,YearInterval,Sex,Age,AgeInterval,qx,ex,SOURCE
KOR,2003,1,b,0,,0.00512,77.26707,KOSIS
KOR,2003,1,b,60,,0.00887,21.10419,KOSIS
KOR,2003,1,b,80,,0.07053,7.57354,KOSIS
KOR,2004,1,b,0,,0.00468,77.76495,KOSIS
KOR,2004,1,b,60,,0.00835,21.39601,KOSIS
KOR,2004,1,b,80,,0.06758,7.69466,KOSIS
KOR,2005,1,b,0,,0.00413,78.24303,KOSIS
KOR,2005,1,b,60,,0.00777,21.72206,KOSIS
KOR,2005,1,b,80,,0.06575,7.84608,KOSIS
KOR,2006,1,b,0,,0.00383,78.77809,KOSIS
KOR,2006,1,b,60,,0.00716,22.05246,KOSIS
KOR,2006,1,b,80,,0.06319,7.90659,KOSIS
KOR,2007,1,b,0,,0.00350,79.15561,KOSIS
KOR,2007,1,b,60,,0.00698,22.39353,KOSIS
KOR,2007,1,b,80,,0.06115,8.1063,KOSIS
KOR,2008,1,b,0,,0.00336,79.60368,KOSIS
KOR,2008,1,b,60,,0.00677,22.7877,KOSIS
KOR,2008,1,b,80,,0.05891,8.30215,KOSIS
KOR,2009,1,b,0,,0.00315,80.03806,KOSIS
KOR,2009,1,b,60,,0.00652,23.22655,KOSIS
KOR,2009,1,b,80,,0.05501,8.61035,KOSIS
KOR,2010,1,b,0,,0.00323,80.23672,KOSIS
KOR,2010,1,b,60,,0.00650,23.33895,KOSIS
KOR,2010,1,b,80,,0.05479,8.62291,KOSIS
KOR,2011,1,b,0,,0.00305,80.61721,KOSIS
KOR,2011,1,b,60,,0.00617,23.59803,KOSIS
KOR,2011,1,b,80,,0.05181,8.64995,KOSIS
KOR,2012,1,b,0,,0.00291,80.86802,KOSIS
KOR,2012,1,b,60,,0.00588,23.71225,KOSIS
KOR,2012,1,b,80,,0.05250,8.66766,KOSIS
KOR,2013,1,b,0,,0.00294,81.36142,KOSIS
KOR,2013,1,b,60,,0.00567,24.15007,KOSIS
KOR,2013,1,b,80,,0.04951,8.96951,KOSIS
KOR,2014,1,b,0,,0.00300,81.79783,KOSIS
KOR,2014,1,b,60,,0.00545,24.50472,KOSIS
KOR,2014,1,b,80,,0.04762,9.14131,KOSIS
KOR,2015,1,b,0,,0.00272,82.06349,KOSIS
KOR,2015,1,b,60,,0.00520,24.64568,KOSIS
KOR,2015,1,b,80,,0.04638,9.18092,KOSIS
KOR,2016,1,b,0,,0.00281,82.3562,KOSIS
KOR,2016,1,b,60,,0.00514,24.88977,KOSIS
KOR,2016,1,b,80,,0.04506,9.28831,KOSIS
KOR,2017,1,b,0,,0.00274,82.68809,KOSIS
KOR,2017,1,b,60,,0.00476,25.12818,KOSIS
KOR,2017,1,b,80,,0.04311,9.3205,KOSIS
KOR,1950,5,f,0,1,0.12438,49.880001,UN
KOR,1950,5,f,60,5,0.15469,15.15,UN
KOR,1950,5,f,80,5,0.47230,6.46,UN
KOR,1955,5,f,0,1,0.10372,53.540001,UN
KOR,1955,5,f,60,5,0.13758,15.86,UN
KOR,1955,5,f,80,5,0.47035,6.3299999,UN
KOR,1960,5,f,0,1,0.08209,57.610001,UN
KOR,1960,5,f,60,5,0.12013,16.639999,UN
KOR,1960,5,f,80,5,0.46837,6.2199998,UN
KOR,1965,5,f,0,1,0.06011,62.099998,UN
KOR,1965,5,f,60,5,0.10234,17.469999,UN
KOR,1965,5,f,80,5,0.46636,6.1300001,UN
KOR,1970,5,f,0,1,0.03833,67.029999,UN
KOR,1970,5,f,60,5,0.08405,18.6,UN
KOR,1970,5,f,80,5,0.44675,6.48,UN
KOR,1975,5,f,0,1,0.03322,69.260002,UN
KOR,1975,5,f,60,5,0.07685,19.02,UN
KOR,1975,5,f,80,5,0.42740,6.77,UN
KOR,1980,5,f,0,1,0.02492,71.75,UN
KOR,1980,5,f,60,5,0.06907,19.5,UN
KOR,1980,5,f,80,5,0.40381,7.1599998,UN
KOR,1985,5,f,0,1,0.01501,74.559998,UN
KOR,1985,5,f,60,5,0.05727,20.18,UN
KOR,1985,5,f,80,5,0.40033,7.1199999,UN
KOR,1990,5,f,0,1,0.00958,77.019997,UN
KOR,1990,5,f,60,5,0.04911,21.24,UN
KOR,1990,5,f,80,5,0.36340,7.71,UN
KOR,1995,5,f,0,1,0.00665,78.790001,UN
KOR,1995,5,f,60,5,0.03931,22.07,UN
KOR,1995,5,f,80,5,0.35048,7.8400002,UN
KOR,2000,5,f,0,1,0.00471,80.589996,UN
KOR,2000,5,f,60,5,0.03043,23.139999,UN
KOR,2000,5,f,80,5,0.32821,8.0500002,UN
KOR,2003,1,f,0,,0.00455,80.75113,KOSIS
KOR,2003,1,f,60,,0.00479,23.27182,KOSIS
KOR,2003,1,f,80,,0.05884,8.15198,KOSIS
KOR,2004,1,f,0,,0.00441,81.23365,KOSIS
KOR,2004,1,f,60,,0.00453,23.62699,KOSIS
KOR,2004,1,f,80,,0.05567,8.2761,KOSIS
KOR,2005,1,f,0,,0.00399,81.60116,KOSIS
KOR,2005,5,f,0,1,0.00328,82.690002,UN
KOR,2005,5,f,60,5,0.02282,24.91,UN
