Republic of Korea, Life expectancy at birth (period, 1x1)	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  2003        80.71    73.75    77.34
  2004        81.20    74.27    77.85
  2005        81.56    74.86    78.34
  2006        82.12    75.43    78.90
  2007        82.42    75.84    79.27
  2008        83.01    76.29    79.80
  2009        83.44    76.74    80.24
  2010        83.67    76.87    80.41
  2011        84.06    77.36    80.85
  2012        84.18    77.60    81.02
  2013        84.63    78.17    81.54
  2014        85.04    78.65    81.98
  2015        85.19    78.97    82.22
  2016        85.45    79.34    82.53
  2017        85.77    79.73    82.88
  2018        85.78    79.81    82.91
