Republic of Korea, Exposure to risk (period 5x1), 	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0            221882.66       242252.89       464135.56
  2003         1-4           1138015.31      1246176.76      2384192.06
  2003         5-9           1634934.30      1830486.21      3465420.51
  2003        10-14          1586976.39      1791050.01      3378026.41
  2003        15-19          1546817.28      1680062.93      3226880.21
  2003        20-24          1984145.49      2094342.76      4078488.24
  2003        25-29          1962410.81      2041092.80      4003503.61
  2003        30-34          2259306.34      2353553.92      4612860.26
  2003        35-39          2082488.33      2179488.22      4261976.55
  2003        40-44          2173372.14      2263179.80      4436551.93
  2003        45-49          1753505.79      1810234.72      3563740.51
  2003        50-54          1264136.90      1279409.94      2543546.84
  2003        55-59          1051725.09      1014280.31      2066005.40
  2003        60-64          1071424.82       949493.33      2020918.14
  2003        65-69           867467.37       677277.67      1544745.03
  2003        70-74           634368.48       391994.39      1026362.87
  2003        75-79           421139.52       223281.75       644421.27
  2003        80-84           255538.15       118264.32       373802.48
  2003        85-89           114726.55        39974.91       154701.46
  2003        90-94            38080.33        10397.01        48477.34
  2003        95-99             7584.82         1469.40         9054.22
  2003       100-104            1014.73          130.88         1145.61
  2003       105-109              65.94            3.13           69.07
  2003       110+                  0.98            0.00            0.98
  2004           0            222140.94       240686.06       462827.00
  2004         1-4           1071589.63      1171361.80      2242951.43
  2004         5-9           1601393.01      1776277.62      3377670.62
  2004        10-14          1620311.10      1839339.04      3459650.14
  2004        15-19          1501890.55      1645025.64      3146916.19
  2004        20-24          1946425.36      2057542.87      4003968.23
  2004        25-29          1903820.49      1986505.34      3890325.83
  2004        30-34          2226351.29      2319817.53      4546168.82
  2004        35-39          2136289.69      2216914.74      4353204.43
  2004        40-44          2155603.57      2249327.34      4404930.91
  2004        45-49          1863608.83      1921816.04      3785424.87
  2004        50-54          1310220.45      1325517.50      2635737.94
  2004        55-59          1087333.54      1062345.58      2149679.13
  2004        60-64          1068808.14       950992.04      2019800.19
  2004        65-69           903013.87       718296.46      1621310.33
  2004        70-74           663264.46       421857.94      1085122.40
  2004        75-79           446362.21       235191.54       681553.75
  2004        80-84           270994.43       125321.49       396315.92
  2004        85-89           119240.51        43119.34       162359.85
  2004        90-94            40131.62        10792.17        50923.79
  2004        95-99             8106.95         1693.04         9799.99
  2004       100-104             996.81          137.56         1134.36
  2004       105-109              61.27            3.28           64.55
  2004       110+                  0.65            0.00            0.65
  2005           0            206952.97       223205.30       430158.27
  2005         1-4           1004308.91      1093548.18      2097857.09
  2005         5-9           1571426.03      1729110.87      3300536.90
  2005        10-14          1648910.39      1873772.71      3522683.10
  2005        15-19          1491785.36      1648833.69      3140619.06
  2005        20-24          1849871.98      1966145.49      3816017.47
  2005        25-29          1905476.57      1989056.08      3894532.65
  2005        30-34          2175120.08      2265867.56      4440987.63
  2005        35-39          2169945.02      2248394.06      4418339.08
  2005        40-44          2120801.26      2217720.78      4338522.03
  2005        45-49          1964881.97      2021776.65      3986658.62
  2005        50-54          1408084.16      1421598.15      2829682.30
  2005        55-59          1133998.64      1116059.91      2250058.55
  2005        60-64          1053430.08       944585.20      1998015.28
  2005        65-69           927601.93       749407.63      1677009.56
  2005        70-74           701012.96       461725.76      1162738.72
  2005        75-79           477292.67       249996.32       727288.99
  2005        80-84           283583.81       130390.66       413974.47
  2005        85-89           125334.89        46723.09       172057.97
  2005        90-94            42301.27        11253.08        53554.35
  2005        95-99             8575.87         1928.17        10504.03
  2005       100-104             991.93          152.69         1144.62
  2005       105-109              58.71            4.58           63.29
  2005       110+                  0.34            0.00            0.34
  2006           0            201645.39       216707.85       418353.23
  2006         1-4            933066.78      1011915.41      1944982.20
  2006         5-9           1529711.61      1673723.05      3203434.66
  2006        10-14          1668130.52      1891521.74      3559652.27
  2006        15-19          1495307.16      1663863.72      3159170.87
  2006        20-24          1740211.66      1860171.66      3600383.32
  2006        25-29          1940997.12      2031835.01      3972832.12
  2006        30-34          2099838.01      2183199.33      4283037.33
  2006        35-39          2217491.48      2289173.90      4506665.38
  2006        40-44          2063249.65      2174608.54      4237858.19
  2006        45-49          2061406.42      2118838.74      4180245.16
  2006        50-54          1536749.34      1547490.07      3084239.41
  2006        55-59          1172040.08      1155262.83      2327302.90
  2006        60-64          1034180.39       939204.13      1973384.52
  2006        65-69           950475.95       778367.89      1728843.84
  2006        70-74           743116.73       506711.09      1249827.82
  2006        75-79           505028.39       265156.49       770184.88
  2006        80-84           296611.05       135065.64       431676.69
  2006        85-89           133710.28        50725.20       184435.47
  2006        90-94            45103.06        11998.98        57102.04
  2006        95-99             9186.73         2138.46        11325.19
  2006       100-104            1041.86          169.45         1211.31
  2006       105-109              62.16            5.60           67.76
  2006       110+                  0.33            0.00            0.33
  2007           0            215086.41       229513.06       444599.47
  2007         1-4            894830.20       966169.50      1860999.70
  2007         5-9           1456320.79      1591838.16      3048158.95
  2007        10-14          1654467.67      1867474.97      3521942.65
  2007        15-19          1535353.78      1718214.52      3253568.30
  2007        20-24          1629913.72      1752370.64      3382284.36
  2007        25-29          1969594.07      2068356.57      4037950.64
  2007        30-34          2030330.40      2102858.54      4133188.94
  2007        35-39          2253072.63      2328259.37      4581332.00
  2007        40-44          2029777.84      2139116.19      4168894.03
  2007        45-49          2134916.63      2194736.24      4329652.87
  2007        50-54          1640981.26      1658109.71      3299090.97
  2007        55-59          1209105.39      1193693.66      2402799.05
  2007        60-64          1020074.31       938756.70      1958831.01
  2007        65-69          1000071.11       830735.30      1830806.41
  2007        70-74           780608.09       547693.62      1328301.71
  2007        75-79           532660.74       284506.60       817167.33
  2007        80-84           310282.22       140235.86       450518.07
  2007        85-89           146208.99        55755.92       201964.91
  2007        90-94            48312.23        12995.44        61307.67
  2007        95-99             9963.57         2304.43        12268.00
  2007       100-104            1124.10          187.20         1311.31
  2007       105-109              68.49            6.89           75.38
  2007       110+                  0.36            0.00            0.36
  2008           0            224668.40       238571.82       463240.21
  2008         1-4            887794.04       953097.91      1840891.95
  2008         5-9           1374242.54      1501922.56      2876165.10
  2008        10-14          1631020.27      1824936.66      3455956.94
  2008        15-19          1581279.13      1781818.98      3363098.12
  2008        20-24          1542872.24      1670668.24      3213540.48
  2008        25-29          1984073.00      2085364.80      4069437.80
  2008        30-34          1958251.62      2031682.22      3989933.84
  2008        35-39          2246183.38      2334801.75      4580985.13
  2008        40-44          2068612.98      2153954.64      4222567.62
  2008        45-49          2156528.66      2224003.29      4380531.95
  2008        50-54          1738750.78      1766781.72      3505532.49
  2008        55-59          1250829.26      1235477.76      2486307.02
  2008        60-64          1033595.39       965148.47      1998743.86
  2008        65-69          1039008.89       872236.75      1911245.64
  2008        70-74           815606.60       586318.85      1401925.45
  2008        75-79           560056.15       307633.64       867689.79
  2008        80-84           327467.50       147122.64       474590.14
  2008        85-89           161393.29        61163.60       222556.90
  2008        90-94            51408.05        14200.70        65608.75
  2008        95-99            10816.22         2443.11        13259.33
  2008       100-104            1234.92          213.54         1448.46
  2008       105-109              74.81            8.86           83.67
  2008       110+                  0.58            0.00            0.58
  2009           0            210460.52       223717.10       434177.62
  2009         1-4            890170.77       950980.42      1841151.19
  2009         5-9           1308078.43      1425328.70      2733407.12
  2009        10-14          1598272.70      1771659.15      3369931.85
  2009        15-19          1615352.88      1830929.05      3446281.93
  2009        20-24          1499812.29      1636638.68      3136450.97
  2009        25-29          1949804.21      2050879.20      4000683.41
  2009        30-34          1905477.01      1983259.11      3888736.12
  2009        35-39          2220244.17      2312015.04      4532259.21
  2009        40-44          2129246.06      2202500.90      4331746.95
  2009        45-49          2146780.38      2222281.33      4369061.71
  2009        50-54          1854253.77      1884728.96      3738982.73
  2009        55-59          1299911.37      1285629.61      2585540.98
  2009        60-64          1071658.95      1015650.24      2087309.18
  2009        65-69          1039838.84       879237.97      1919076.82
  2009        70-74           853215.19       626397.10      1479612.30
  2009        75-79           590918.87       335011.63       925930.51
  2009        80-84           352299.81       157874.61       510174.42
  2009        85-89           174519.74        65689.52       240209.27
  2009        90-94            54938.79        15731.74        70670.53
  2009        95-99            11757.84         2561.85        14319.70
  2009       100-104            1349.63          266.74         1616.36
  2009       105-109              77.70           12.09           89.79
  2009       110+                  0.82            0.00            0.82
  2010           0            208712.05       222333.10       431045.15
  2010         1-4            893961.09       951865.06      1845826.15
  2010         5-9           1224397.23      1329437.41      2553834.64
  2010        10-14          1568538.22      1724772.69      3293310.91
  2010        15-19          1643900.97      1865546.53      3509447.50
  2010        20-24          1490307.52      1640728.23      3131035.75
  2010        25-29          1854100.84      1958646.90      3812747.73
  2010        30-34          1908584.28      1984587.94      3893172.21
  2010        35-39          2171448.90      2260233.74      4431682.63
  2010        40-44          2165773.34      2237834.84      4403608.18
  2010        45-49          2115822.79      2196338.34      4312161.13
  2010        50-54          1958363.56      1987127.73      3945491.29
