Republic of Korea,  Exposures (Lexis triangle)	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 2003    0      2003   115357.21   125229.78   240586.99
 2003    0      2002   106525.45   117023.11   223548.56
 2003    1      2002   123061.69   135053.55   258115.24
 2003    1      2001   126620.79   137781.27   264402.06
 2003    2      2001   140528.25   152929.88   293458.13
 2003    2      2000   147809.86   162378.59   310188.45
 2003    3      2000   156478.26   171854.62   328332.89
 2003    3      1999   144125.58   157674.58   301800.16
 2003    4      1999   151881.32   166217.83   318099.15
 2003    4      1998   147509.55   162286.43   309795.99
 2003    5      1998   157624.48   173343.24   330967.72
 2003    5      1997   157810.78   170556.10   328366.88
 2003    6      1997   166040.05   179388.32   345428.37
 2003    6      1996   158525.84   176597.67   335123.51
 2003    7      1996   167125.88   186154.38   353280.26
 2003    7      1995   164016.44   185316.26   349332.69
 2003    8      1995   169891.80   191960.98   361852.78
 2003    8      1994   161314.93   185135.43   346450.36
 2003    9      1994   172477.58   197989.58   370467.16
 2003    9      1993   160106.52   184044.27   344150.79
 2003   10      1993   171732.18   197368.83   369101.02
 2003   10      1992   167320.79   189088.35   356409.14
 2003   11      1992   174282.76   196921.25   371204.01
 2003   11      1991   163455.60   182510.53   345966.14
 2003   12      1991   169578.39   189274.31   358852.71
 2003   12      1990   141409.34   163098.87   304508.21
 2003   13      1990   156399.42   180350.55   336749.97
 2003   13      1989   145098.64   160742.05   305840.70
 2003   14      1989   154529.55   171129.26   325658.82
 2003   14      1988   143169.72   160565.99   303735.70
 2003   15      1988   151545.27   169982.99   321528.26
 2003   15      1987   140977.40   151934.25   292911.65
 2003   16      1987   155752.28   167763.62   323515.90
 2003   16      1986   140950.99   155942.86   296893.85
 2003   17      1986   156173.34   172673.51   328846.86
 2003   17      1985   150042.39   162580.68   312623.07
 2003   18      1985   162224.66   175909.47   338134.12
 2003   18      1984   148278.54   159172.68   307451.23
 2003   19      1984   170032.74   182487.09   352519.83
 2003   19      1983   170839.67   181615.78   352455.45
 2003   20      1983   191338.25   203221.77   394560.02
 2003   20      1982   188084.39   198827.43   386911.83
 2003   21      1982   210817.49   222889.25   433706.74
 2003   21      1981   195416.30   207216.87   402633.16
 2003   22      1981   212178.03   224806.53   436984.57
 2003   22      1980   203566.42   215002.79   418569.20
 2003   23      1980   203145.59   214533.70   417679.29
 2003   23      1979   203495.42   210265.69   413761.11
 2003   24      1979   203031.89   209723.36   412755.25
 2003   24      1978   173071.72   187855.36   360927.08
 2003   25      1978   172762.11   187189.07   359951.18
 2003   25      1977   192981.44   197172.57   390154.01
 2003   26      1977   192689.21   196521.21   389210.42
 2003   26      1976   185655.71   196410.04   382065.75
 2003   27      1976   185284.88   195590.07   380874.95
 2003   27      1975   195545.04   200725.07   396270.11
 2003   28      1975   195104.66   199878.77   394983.43
 2003   28      1974   210155.99   220993.44   431149.43
 2003   29      1974   209603.89   220020.46   429624.34
 2003   29      1973   222627.88   226592.12   449220.00
 2003   30      1973   221916.46   225625.98   447542.44
 2003   30      1972   218337.46   231661.64   449999.10
 2003   31      1972   217727.43   230680.34   448407.77
 2003   31      1971   231326.09   243458.51   474784.60
 2003   32      1971   230613.48   242333.48   472946.97
 2003   32      1970   225802.64   236531.31   462333.95
 2003   33      1970   225065.65   235401.73   460467.37
 2003   33      1969   229303.81   236321.22   465625.03
 2003   34      1969   228479.34   235069.60   463548.94
 2003   34      1968   230734.00   236470.10   467204.10
 2003   35      1968   229949.87   235292.06   465241.93
 2003   35      1967   218105.03   217138.22   435243.25
 2003   36      1967   217280.52   216111.21   433391.73
 2003   36      1966   195013.34   217394.37   412407.72
 2003   37      1966   194344.38   216401.26   410745.64
 2003   37      1965   212087.70   218689.09   430776.79
 2003   38      1965   211308.05   217601.38   428909.43
 2003   38      1964   205583.54   216959.88   422543.42
 2003   39      1964   204808.37   215770.38   420578.75
 2003   39      1963   194007.53   208130.38   402137.91
 2003   40      1963   193277.84   207006.31   400284.15
 2003   40      1962   216024.50   231542.14   447566.64
 2003   41      1962   215301.23   230380.65   445681.88
 2003   41      1961   229813.38   237036.98   466850.36
 2003   42      1961   229017.07   235637.31   464654.38
 2003   42      1960   233092.90   238381.47   471474.36
 2003   43      1960   232302.24   236984.63   469286.87
 2003   43      1959   215328.89   221396.28   436725.18
 2003   44      1959   214448.22   220054.94   434503.16
 2003   44      1958   194765.87   204759.10   399524.97
