Republic of Korea, Death rates (period 5x10), 	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2003-2009        0             0.003902        0.004429        0.004175
2003-2009      1-4             0.000265        0.000310        0.000288
2003-2009      5-9             0.000139        0.000189        0.000165
2003-2009     10-14            0.000117        0.000163        0.000141
2003-2009     15-19            0.000219        0.000420        0.000325
2003-2009     20-24            0.000357        0.000585        0.000475
2003-2009     25-29            0.000444        0.000755        0.000603
2003-2009     30-34            0.000547        0.000948        0.000751
2003-2009     35-39            0.000721        0.001480        0.001108
2003-2009     40-44            0.001024        0.002582        0.001820
2003-2009     45-49            0.001474        0.004115        0.002814
2003-2009     50-54            0.002094        0.006121        0.004120
2003-2009     55-59            0.003082        0.008818        0.005925
2003-2009     60-64            0.005040        0.013600        0.009122
2003-2009     65-69            0.008878        0.022130        0.014842
2003-2009     70-74            0.017004        0.036243        0.024808
2003-2009     75-79            0.033887        0.060765        0.043288
2003-2009     80-84            0.065814        0.102227        0.077203
2003-2009     85-89            0.117750        0.162698        0.129947
2003-2009     90-94            0.197224        0.242318        0.206889
2003-2009     95-99            0.293952        0.330725        0.300591
2003-2009    100-104           0.443500        0.417026        0.439805
2003-2009    105-109           0.623834        0.661313        0.627075
2003-2009    110+              1.910546              .        1.910546
2010-2018        0             0.002712        0.003276        0.003002
2010-2018      1-4             0.000157        0.000186        0.000172
2010-2018      5-9             0.000080        0.000111        0.000096
2010-2018     10-14            0.000082        0.000117        0.000100
2010-2018     15-19            0.000170        0.000312        0.000244
2010-2018     20-24            0.000252        0.000454        0.000358
2010-2018     25-29            0.000353        0.000627        0.000495
2010-2018     30-34            0.000486        0.000783        0.000638
2010-2018     35-39            0.000613        0.001112        0.000867
2010-2018     40-44            0.000846        0.001779        0.001320
2010-2018     45-49            0.001182        0.002913        0.002061
2010-2018     50-54            0.001642        0.004557        0.003115
2010-2018     55-59            0.002208        0.006498        0.004348
2010-2018     60-64            0.003349        0.009485        0.006359
2010-2018     65-69            0.005732        0.014757        0.010013
2010-2018     70-74            0.011189        0.025833        0.017685
2010-2018     75-79            0.022860        0.045872        0.032037
2010-2018     80-84            0.047531        0.080612        0.058589
2010-2018     85-89            0.093675        0.137892        0.105645
2010-2018     90-94            0.166645        0.215753        0.177705
2010-2018     95-99            0.260410        0.306314        0.268813
2010-2018    100-104           0.406327        0.449068        0.412826
2010-2018    105-109           0.577609        0.694886        0.592878
2010-2018    110+              1.333511              .        1.333511
