Republic of Korea, Life tables (period 5x1), Total	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00545  0.00542  0.14  100000     542   99533  7733803  77.34
  2003         1-4      0.00035  0.00140  1.83   99458     139  397529  7634270  76.76
  2003         5-9      0.00019  0.00097  2.29   99318      97  496330  7236741  72.86
  2003        10-14     0.00015  0.00077  2.56   99222      77  495921  6740412  67.93
  2003        15-19     0.00038  0.00192  2.81   99145     190  495308  6244491  62.98
  2003        20-24     0.00053  0.00262  2.66   98954     260  494165  5749183  58.10
  2003        25-29     0.00066  0.00331  2.59   98695     327  492684  5255019  53.25
  2003        30-34     0.00087  0.00433  2.68   98368     426  490850  4762334  48.41
  2003        35-39     0.00132  0.00659  2.71   97942     645  488233  4271484  43.61
  2003        40-44     0.00216  0.01073  2.70   97297    1044  484079  3783251  38.88
  2003        45-49     0.00327  0.01625  2.66   96253    1564  477609  3299172  34.28
  2003        50-54     0.00487  0.02405  2.64   94689    2278  468067  2821564  29.80
  2003        55-59     0.00677  0.03333  2.64   92411    3080  454799  2353497  25.47
  2003        60-64     0.01080  0.05267  2.65   89331    4705  435610  1898698  21.25
  2003        65-69     0.01753  0.08424  2.68   84626    7129  406585  1463088  17.29
  2003        70-74     0.02897  0.13564  2.65   77497   10512  362810  1056503  13.63
  2003        75-79     0.05055  0.22552  2.61   66985   15107  298872   693693  10.36
  2003        80-84     0.08817  0.36152  2.51   51879   18755  212731   394820   7.61
  2003        85-89     0.14473  0.52450  2.38   33123   17373  120043   182089   5.50
  2003        90-94     0.22638  0.69215  2.19   15750   10901   48156    62046   3.94
  2003        95-99     0.33119  0.82788  1.98    4849    4014   12120    13890   2.86
  2003       100-104    0.46240  0.91728  1.71     835     765    1655     1770   2.12
  2003       105-109    0.60156  0.96208  1.47      69      66     110      114   1.65
  2003       110+       0.71115  1.00000  1.41       3       3       4        4   1.41
  2004           0      0.00484  0.00482  0.14  100000     482   99585  7784714  77.85
  2004         1-4      0.00034  0.00135  1.79   99518     134  397774  7685129  77.22
  2004         5-9      0.00019  0.00097  2.34   99384      96  496662  7287354  73.33
  2004        10-14     0.00015  0.00077  2.60   99288      76  496255  6790692  68.39
  2004        15-19     0.00032  0.00162  2.82   99212     161  495707  6294437  63.44
  2004        20-24     0.00045  0.00226  2.55   99051     223  494707  5798731  58.54
  2004        25-29     0.00057  0.00283  2.56   98827     280  493455  5304024  53.67
  2004        30-34     0.00073  0.00366  2.68   98548     360  491902  4810569  48.81
  2004        35-39     0.00124  0.00617  2.69   98187     606  489536  4318668  43.98
  2004        40-44     0.00202  0.01007  2.72   97581     983  485664  3829132  39.24
  2004        45-49     0.00316  0.01567  2.66   96599    1513  479452  3343468  34.61
  2004        50-54     0.00467  0.02312  2.66   95085    2198  470275  2864016  30.12
  2004        55-59     0.00661  0.03253  2.64   92887    3021  457291  2393741  25.77
  2004        60-64     0.01032  0.05039  2.68   89866    4529  438841  1936450  21.55
  2004        65-69     0.01683  0.08096  2.67   85337    6909  410584  1497609  17.55
  2004        70-74     0.02793  0.13105  2.66   78428   10278  368045  1087025  13.86
  2004        75-79     0.04858  0.21778  2.63   68150   14842  305543   718980  10.55
  2004        80-84     0.08527  0.35252  2.54   53308   18792  220383   413437   7.76
  2004        85-89     0.14153  0.51784  2.41   34516   17874  126288   193054   5.59
  2004        90-94     0.21932  0.68061  2.21   16642   11327   51645    66767   4.01
  2004        95-99     0.33338  0.83062  1.98    5315    4415   13243    15121   2.84
  2004       100-104    0.47041  0.92141  1.70     900     830    1764     1878   2.09
  2004       105-109    0.61501  0.96509  1.45      71      68     111      114   1.62
  2004       110+       0.72753  1.00000  1.37       2       2       3        3   1.37
  2005           0      0.00426  0.00425  0.14  100000     425   99635  7834007  78.34
  2005         1-4      0.00030  0.00119  1.69   99575     119  398028  7734372  77.67
  2005         5-9      0.00018  0.00090  2.33   99457      89  497046  7336344  73.76
  2005        10-14     0.00015  0.00074  2.66   99368      74  496665  6839298  68.83
  2005        15-19     0.00032  0.00159  2.74   99294     158  496112  6342633  63.88
  2005        20-24     0.00049  0.00243  2.58   99136     241  495094  5846521  58.97
  2005        25-29     0.00059  0.00296  2.52   98895     293  493748  5351426  54.11
  2005        30-34     0.00078  0.00389  2.59   98602     384  492085  4857678  49.27
  2005        35-39     0.00115  0.00573  2.73   98219     563  489812  4365593  44.45
  2005        40-44     0.00185  0.00923  2.70   97656     902  486202  3875781  39.69
  2005        45-49     0.00298  0.01482  2.64   96754    1434  480391  3389579  35.03
  2005        50-54     0.00438  0.02166  2.64   95320    2065  471723  2909188  30.52
  2005        55-59     0.00614  0.03027  2.60   93255    2823  459492  2437465  26.14
  2005        60-64     0.00974  0.04761  2.67   90433    4306  442134  1977972  21.87
  2005        65-69     0.01589  0.07662  2.67   86127    6599  415283  1535838  17.83
