Republic of Korea, Life tables (period 5x10), Total	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2003-2009        0      0.00417  0.00416  0.14  100000     416   99643  7885900  78.86
2003-2009      1-4      0.00029  0.00117  1.73   99584     116  398072  7786258  78.19
2003-2009      5-9      0.00017  0.00083  2.31   99468      83  497117  7388186  74.28
2003-2009     10-14     0.00014  0.00071  2.69   99385      70  496764  6891068  69.34
2003-2009     15-19     0.00033  0.00163  2.77   99315     162  496215  6394304  64.38
2003-2009     20-24     0.00047  0.00236  2.63   99153     234  495213  5898089  59.48
2003-2009     25-29     0.00060  0.00301  2.56   98919     298  493870  5402876  54.62
2003-2009     30-34     0.00075  0.00374  2.62   98622     369  492230  4909007  49.78
2003-2009     35-39     0.00111  0.00554  2.69   98253     544  490010  4416777  44.95
2003-2009     40-44     0.00182  0.00905  2.69   97709     885  486506  3926766  40.19
2003-2009     45-49     0.00283  0.01405  2.66   96825    1360  480936  3440260  35.53
2003-2009     50-54     0.00416  0.02059  2.64   95465    1966  472692  2959324  31.00
2003-2009     55-59     0.00596  0.02939  2.63   93499    2748  460978  2486632  26.60
2003-2009     60-64     0.00915  0.04477  2.67   90751    4063  444288  2025654  22.32
2003-2009     65-69     0.01496  0.07228  2.68   86688    6266  418907  1581366  18.24
2003-2009     70-74     0.02511  0.11856  2.66   80422    9535  379754  1162460  14.45
2003-2009     75-79     0.04390  0.19892  2.64   70887   14100  321179   782706  11.04
2003-2009     80-84     0.07819  0.32838  2.56   56786   18647  238495   461527   8.13
2003-2009     85-89     0.13197  0.49301  2.44   38139   18803  142473   223031   5.85
2003-2009     90-94     0.20915  0.66336  2.24   19336   12827   61329    80558   4.17
2003-2009     95-99     0.31896  0.81671  2.01    6509    5316   16667    19230   2.95
2003-2009    100-104    0.45577  0.91485  1.73    1193    1091    2395     2562   2.15
2003-2009    105-109    0.60265  0.96269  1.47     102      98     162      168   1.65
2003-2009    110+       0.71823  1.00000  1.39       4       4       5        5   1.39
2010-2018        0      0.00300  0.00299  0.14  100000     299   99743  8186592  81.87
2010-2018      1-4      0.00017  0.00069  1.62   99701      69  398639  8086848  81.11
2010-2018      5-9      0.00010  0.00048  2.36   99632      48  498032  7688210  77.17
2010-2018     10-14     0.00010  0.00050  2.73   99584      50  497807  7190177  72.20
2010-2018     15-19     0.00024  0.00121  2.78   99534     121  497404  6692370  67.24
2010-2018     20-24     0.00036  0.00179  2.65   99414     178  496650  6194966  62.32
2010-2018     25-29     0.00049  0.00247  2.61   99235     245  495591  5698316  57.42
2010-2018     30-34     0.00064  0.00318  2.59   98990     315  494194  5202725  52.56
2010-2018     35-39     0.00087  0.00432  2.65   98676     426  492379  4708531  47.72
2010-2018     40-44     0.00132  0.00657  2.67   98250     645  489747  4216152  42.91
2010-2018     45-49     0.00206  0.01027  2.68   97604    1002  485700  3726405  38.18
2010-2018     50-54     0.00312  0.01548  2.63   96603    1496  479475  3240705  33.55
2010-2018     55-59     0.00438  0.02168  2.64   95107    2062  470660  2761231  29.03
2010-2018     60-64     0.00642  0.03160  2.65   93045    2941  458310  2290571  24.62
2010-2018     65-69     0.01005  0.04913  2.69   90105    4426  440306  1832260  20.33
2010-2018     70-74     0.01777  0.08536  2.70   85678    7314  411567  1391954  16.25
2010-2018     75-79     0.03249  0.15105  2.68   78365   11837  364325   980388  12.51
2010-2018     80-84     0.05966  0.26127  2.63   66527   17381  291362   616062   9.26
2010-2018     85-89     0.10739  0.42383  2.51   49146   20829  193955   324700   6.61
2010-2018     90-94     0.18042  0.60833  2.32   28317   17226   95478   130745   4.62
2010-2018     95-99     0.29111  0.78788  2.09   11091    8738   30017    35268   3.18
2010-2018    100-104    0.43662  0.90649  1.77    2353    2133    4884     5251   2.23
2010-2018    105-109    0.59657  0.96202  1.48     220     212     355      366   1.67
2010-2018    110+       0.72235  1.00000  1.38       8       8      12       12   1.38
