Republic of Korea, Life tables (period 1x5), Females	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2003-2004        0      0.00471  0.00469  0.14  100000     469   99596  8095472  80.95
2003-2004        1      0.00044  0.00044  0.50   99531      44   99509  7995876  80.34
2003-2004        2      0.00031  0.00031  0.50   99487      31   99472  7896367  79.37
2003-2004        3      0.00027  0.00027  0.50   99456      27   99443  7796895  78.40
2003-2004        4      0.00025  0.00025  0.50   99429      25   99417  7697452  77.42
2003-2004        5      0.00017  0.00017  0.50   99404      16   99396  7598036  76.44
2003-2004        6      0.00020  0.00020  0.50   99388      20   99378  7498640  75.45
2003-2004        7      0.00016  0.00016  0.50   99367      16   99360  7399262  74.46
2003-2004        8      0.00013  0.00013  0.50   99352      13   99345  7299903  73.48
2003-2004        9      0.00013  0.00013  0.50   99339      13   99332  7200557  72.48
2003-2004       10      0.00012  0.00012  0.50   99326      12   99320  7101225  71.49
2003-2004       11      0.00012  0.00012  0.50   99313      12   99308  7001906  70.50
2003-2004       12      0.00010  0.00010  0.50   99302      10   99296  6902598  69.51
2003-2004       13      0.00014  0.00014  0.50   99291      14   99284  6803302  68.52
2003-2004       14      0.00014  0.00014  0.50   99278      14   99270  6704017  67.53
2003-2004       15      0.00017  0.00017  0.50   99263      17   99255  6604747  66.54
2003-2004       16      0.00023  0.00023  0.50   99246      22   99235  6505492  65.55
2003-2004       17      0.00023  0.00023  0.50   99224      23   99212  6406257  64.56
2003-2004       18      0.00024  0.00024  0.50   99201      24   99189  6307045  63.58
2003-2004       19      0.00029  0.00029  0.50   99176      29   99162  6207856  62.59
2003-2004       20      0.00028  0.00028  0.50   99148      28   99134  6108694  61.61
2003-2004       21      0.00031  0.00031  0.50   99120      31   99104  6009560  60.63
2003-2004       22      0.00034  0.00034  0.50   99089      34   99072  5910456  59.65
2003-2004       23      0.00035  0.00035  0.50   99055      34   99038  5811384  58.67
2003-2004       24      0.00034  0.00034  0.50   99021      34   99004  5712345  57.69
2003-2004       25      0.00040  0.00040  0.50   98987      40   98967  5613341  56.71
2003-2004       26      0.00041  0.00041  0.50   98947      41   98927  5514374  55.73
2003-2004       27      0.00040  0.00040  0.50   98906      39   98887  5415447  54.75
2003-2004       28      0.00041  0.00041  0.50   98867      40   98847  5316560  53.77
2003-2004       29      0.00042  0.00042  0.50   98827      42   98806  5217713  52.80
2003-2004       30      0.00046  0.00046  0.50   98785      46   98763  5118907  51.82
2003-2004       31      0.00047  0.00047  0.50   98740      46   98717  5020144  50.84
2003-2004       32      0.00049  0.00049  0.50   98693      48   98669  4921428  49.87
2003-2004       33      0.00058  0.00058  0.50   98646      57   98617  4822758  48.89
2003-2004       34      0.00063  0.00063  0.50   98588      62   98558  4724141  47.92
2003-2004       35      0.00064  0.00064  0.50   98527      63   98495  4625584  46.95
2003-2004       36      0.00069  0.00069  0.50   98463      68   98429  4527089  45.98
2003-2004       37      0.00077  0.00077  0.50   98395      76   98357  4428659  45.01
2003-2004       38      0.00080  0.00080  0.50   98319      79   98280  4330302  44.04
2003-2004       39      0.00089  0.00089  0.50   98241      88   98197  4232022  43.08
2003-2004       40      0.00092  0.00092  0.50   98153      90   98108  4133825  42.12
2003-2004       41      0.00099  0.00099  0.50   98063      97   98015  4035717  41.15
2003-2004       42      0.00109  0.00108  0.50   97966     106   97913  3937702  40.19
2003-2004       43      0.00128  0.00128  0.50   97860     125   97798  3839789  39.24
2003-2004       44      0.00137  0.00137  0.50   97735     134   97668  3741992  38.29
2003-2004       45      0.00131  0.00131  0.50   97601     128   97537  3644324  37.34
2003-2004       46      0.00149  0.00149  0.50   97474     145   97401  3546786  36.39
2003-2004       47      0.00170  0.00169  0.50   97328     165   97246  3449385  35.44
2003-2004       48      0.00173  0.00173  0.50   97163     168   97079  3352140  34.50
2003-2004       49      0.00189  0.00189  0.50   96995     183   96903  3255060  33.56
2003-2004       50      0.00200  0.00200  0.50   96812     193   96715  3158157  32.62
2003-2004       51      0.00222  0.00222  0.50   96619     214   96511  3061442  31.69
2003-2004       52      0.00236  0.00236  0.50   96404     227   96290  2964930  30.76
2003-2004       53      0.00250  0.00249  0.50   96177     240   96057  2868640  29.83
2003-2004       54      0.00277  0.00276  0.50   95937     265   95804  2772583  28.90
2003-2004       55      0.00289  0.00289  0.50   95672     276   95534  2676779  27.98
2003-2004       56      0.00325  0.00325  0.50   95395     310   95241  2581245  27.06
2003-2004       57      0.00349  0.00348  0.50   95086     331   94920  2486005  26.14
2003-2004       58      0.00376  0.00376  0.50   94755     356   94577  2391084  25.23
2003-2004       59      0.00428  0.00427  0.50   94399     403   94197  2296508  24.33
2003-2004       60      0.00469  0.00468  0.50   93996     440   93776  2202311  23.43
2003-2004       61      0.00513  0.00512  0.50   93556     479   93316  2108535  22.54
2003-2004       62      0.00574  0.00573  0.50   93077     533   92810  2015219  21.65
2003-2004       63      0.00628  0.00626  0.50   92544     579   92254  1922408  20.77
2003-2004       64      0.00736  0.00734  0.50   91964     675   91627  1830154  19.90
2003-2004       65      0.00801  0.00798  0.50   91290     728   90926  1738527  19.04
2003-2004       66      0.00899  0.00895  0.50   90561     811   90156  1647602  18.19
2003-2004       67      0.01065  0.01060  0.50   89751     951   89275  1557446  17.35
2003-2004       68      0.01203  0.01196  0.50   88800    1062   88269  1468171  16.53
2003-2004       69      0.01349  0.01340  0.50   87738    1176   87150  1379902  15.73
2003-2004       70      0.01568  0.01556  0.50   86562    1347   85889  1292752  14.93
2003-2004       71      0.01746  0.01731  0.50   85215    1475   84478  1206864  14.16
2003-2004       72      0.02005  0.01985  0.50   83740    1662   82909  1122386  13.40
2003-2004       73      0.02275  0.02249  0.50   82078    1846   81155  1039477  12.66
2003-2004       74      0.02641  0.02607  0.50   80232    2092   79186   958322  11.94
2003-2004       75      0.03044  0.02998  0.50   78140    2343   76969   879137  11.25
2003-2004       76      0.03496  0.03436  0.50   75797    2605   74495   802168  10.58
2003-2004       77      0.04070  0.03989  0.50   73193    2920   71733   727673   9.94
