Republic of Korea, Life tables (period 1x10), Males	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2003-2009        0      0.00443  0.00441  0.14  100000     441   99621  7535301  75.35
2003-2009        1      0.00042  0.00042  0.50   99559      42   99538  7435680  74.69
2003-2009        2      0.00033  0.00033  0.50   99517      33   99501  7336142  73.72
2003-2009        3      0.00027  0.00027  0.50   99484      27   99471  7236642  72.74
2003-2009        4      0.00023  0.00023  0.50   99457      23   99446  7137171  71.76
2003-2009        5      0.00021  0.00021  0.50   99434      21   99423  7037725  70.78
2003-2009        6      0.00021  0.00021  0.50   99413      21   99402  6938302  69.79
2003-2009        7      0.00020  0.00020  0.50   99392      20   99382  6838899  68.81
2003-2009        8      0.00017  0.00017  0.50   99372      17   99363  6739517  67.82
2003-2009        9      0.00015  0.00015  0.50   99355      15   99347  6640154  66.83
2003-2009       10      0.00015  0.00015  0.50   99340      15   99332  6540807  65.84
2003-2009       11      0.00014  0.00014  0.50   99325      14   99318  6441474  64.85
2003-2009       12      0.00016  0.00016  0.50   99311      16   99303  6342157  63.86
2003-2009       13      0.00016  0.00016  0.50   99295      16   99287  6242853  62.87
2003-2009       14      0.00020  0.00020  0.50   99279      20   99269  6143566  61.88
2003-2009       15      0.00028  0.00028  0.50   99259      28   99245  6044298  60.89
2003-2009       16      0.00035  0.00035  0.50   99231      35   99213  5945053  59.91
2003-2009       17      0.00044  0.00044  0.50   99196      44   99174  5845840  58.93
2003-2009       18      0.00051  0.00051  0.50   99152      50   99126  5746666  57.96
2003-2009       19      0.00053  0.00053  0.50   99101      52   99075  5647540  56.99
2003-2009       20      0.00054  0.00054  0.50   99049      53   99022  5548465  56.02
2003-2009       21      0.00050  0.00050  0.50   98996      50   98971  5449442  55.05
2003-2009       22      0.00059  0.00059  0.50   98946      58   98917  5350471  54.07
2003-2009       23      0.00061  0.00061  0.50   98888      60   98858  5251555  53.11
2003-2009       24      0.00067  0.00067  0.50   98828      66   98795  5152697  52.14
2003-2009       25      0.00069  0.00069  0.50   98761      69   98727  5053902  51.17
2003-2009       26      0.00071  0.00071  0.50   98693      70   98658  4955175  50.21
2003-2009       27      0.00076  0.00076  0.50   98623      75   98585  4856517  49.24
2003-2009       28      0.00079  0.00079  0.50   98548      78   98509  4757932  48.28
2003-2009       29      0.00082  0.00082  0.50   98470      81   98430  4659423  47.32
2003-2009       30      0.00084  0.00084  0.50   98390      82   98348  4560993  46.36
2003-2009       31      0.00088  0.00088  0.50   98307      86   98264  4462644  45.39
2003-2009       32      0.00092  0.00092  0.50   98221      90   98176  4364380  44.43
2003-2009       33      0.00098  0.00098  0.50   98130      96   98083  4266205  43.47
2003-2009       34      0.00111  0.00111  0.50   98035     109   97980  4168122  42.52
2003-2009       35      0.00116  0.00116  0.50   97926     114   97869  4070142  41.56
2003-2009       36      0.00135  0.00135  0.50   97812     132   97746  3972273  40.61
2003-2009       37      0.00144  0.00144  0.50   97680     141   97610  3874526  39.67
2003-2009       38      0.00166  0.00166  0.50   97539     162   97458  3776917  38.72
2003-2009       39      0.00180  0.00180  0.50   97377     175   97290  3679459  37.79
2003-2009       40      0.00206  0.00206  0.50   97202     200   97102  3582169  36.85
2003-2009       41      0.00228  0.00227  0.50   97002     220   96892  3485067  35.93
2003-2009       42      0.00256  0.00256  0.50   96782     247   96658  3388174  35.01
2003-2009       43      0.00290  0.00290  0.50   96535     280   96395  3291516  34.10
2003-2009       44      0.00311  0.00310  0.50   96255     299   96106  3195121  33.19
2003-2009       45      0.00341  0.00340  0.50   95956     327   95793  3099016  32.30
2003-2009       46      0.00383  0.00382  0.50   95630     365   95447  3003223  31.40
2003-2009       47      0.00410  0.00409  0.50   95264     389   95070  2907776  30.52
2003-2009       48      0.00449  0.00448  0.50   94875     425   94662  2812706  29.65
2003-2009       49      0.00488  0.00486  0.50   94450     459   94220  2718044  28.78
2003-2009       50      0.00525  0.00524  0.50   93990     492   93744  2623823  27.92
2003-2009       51      0.00570  0.00569  0.50   93498     532   93232  2530079  27.06
2003-2009       52      0.00613  0.00611  0.50   92966     568   92683  2436847  26.21
2003-2009       53      0.00661  0.00659  0.50   92399     609   92094  2344164  25.37
2003-2009       54      0.00725  0.00723  0.50   91790     663   91458  2252070  24.54
2003-2009       55      0.00773  0.00770  0.50   91126     701   90776  2160612  23.71
2003-2009       56      0.00826  0.00822  0.50   90425     744   90053  2069836  22.89
2003-2009       57      0.00883  0.00879  0.50   89681     788   89287  1979783  22.08
2003-2009       58      0.00943  0.00939  0.50   88893     835   88476  1890495  21.27
2003-2009       59      0.01016  0.01011  0.50   88059     890   87613  1802019  20.46
2003-2009       60      0.01113  0.01107  0.50   87168     965   86686  1714406  19.67
2003-2009       61      0.01223  0.01216  0.50   86204    1048   85680  1627720  18.88
2003-2009       62      0.01383  0.01373  0.50   85156    1169   84571  1542040  18.11
2003-2009       63      0.01472  0.01461  0.50   83986    1227   83373  1457469  17.35
2003-2009       64      0.01653  0.01640  0.50   82759    1357   82081  1374097  16.60
2003-2009       65      0.01787  0.01771  0.50   81402    1442   80682  1292016  15.87
