PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
LTU,01,m,1959,1959,1,O,31783,1,.,.,1
LTU,01,m,1960,1960,1,O,32001,1,.,.,1
LTU,01,m,1961,1961,1,O,32201,1,.,.,1
LTU,01,m,1962,1962,1,O,30623,1,.,.,1
LTU,01,m,1963,1963,1,O,29314,1,.,.,1
LTU,01,m,1964,1964,1,O,28639,1,.,.,1
LTU,01,m,1965,1965,1,O,27709,1,.,.,1
LTU,01,m,1966,1966,2,O,27781,1,.,.,1
LTU,01,m,1967,1967,2,O,27291,1,.,.,1
LTU,01,m,1968,1968,2,O,27708,1,.,.,1
LTU,01,m,1969,1969,2,O,27907,1,.,.,1
LTU,01,m,1970,1970,3,O,28526,1,.,.,1
LTU,01,m,1971,1971,3,O,28688,1,.,.,1
LTU,01,m,1972,1972,3,O,27971,1,.,.,1
LTU,01,m,1973,1973,3,O,26504,1,.,.,1
LTU,01,m,1974,1974,3,O,26390,1,.,.,1
LTU,01,m,1975,1975,3,O,26338,1,.,.,1
LTU,01,m,1976,1976,3,O,26764,1,.,.,1
LTU,01,m,1977,1977,3,O,26683,1,.,.,1
LTU,01,m,1978,1978,3,O,26518,1,.,.,1
LTU,01,m,1979,1979,3,O,26558,1,.,.,1
LTU,01,m,1980,1980,3,O,26567,1,.,.,1
LTU,01,m,1981,1981,3,O,26834,1,.,.,1
LTU,01,m,1982,1982,3,O,27139,1,.,.,1
LTU,01,m,1983,1983,3,O,29729,1,.,.,1
LTU,01,m,1984,1984,3,O,29502,1,.,.,1
LTU,01,m,1985,1985,3,O,29778,1,.,.,1
LTU,01,m,1986,1986,3,O,31030,1,.,.,1
LTU,01,m,1987,1987,3,O,30417,1,.,.,1
LTU,01,m,1988,1988,3,O,29090,1,.,.,1
LTU,01,m,1989,1989,3,O,28679,1,.,.,1
LTU,01,m,1990,1990,3,O,29136,1,.,.,1
LTU,01,m,1991,1991,3,O,28895,2,.,.,1
LTU,01,m,1992,1992,3,O,27408,2,.,.,1
LTU,01,m,1993,1993,3,O,24480,2,.,.,1
LTU,01,m,1994,1994,3,O,21677,2,.,.,1
LTU,01,m,1995,1995,3,O,21171,2,.,.,1
LTU,01,m,1996,1996,3,O,19970,2,.,.,1
LTU,01,m,1997,1997,3,O,19500,2,.,.,1
LTU,01,m,1998,1998,3,O,19220,2,.,.,1
LTU,01,m,1999,1999,3,O,18756,2,.,.,1
LTU,01,m,2000,2000,3,O,17682,2,.,.,1
LTU,01,m,2001,2001,41,O,15953,2,11,.,1
LTU,01,m,2002,2002,41,O,15233,2,11,.,1
LTU,01,m,2003,2003,41,O,15500,2,11,.,1
LTU,01,m,2004,2004,41,O,15166,2,11,.,1
LTU,01,m,2005,2005,41,O,15068,2,11,.,1
LTU,01,f,1959,1959,1,O,30458,1,.,.,1
LTU,01,f,1960,1960,1,O,30484,1,.,.,1
LTU,01,f,1961,1961,1,O,30574,1,.,.,1
LTU,01,f,1962,1962,1,O,29105,1,.,.,1
LTU,01,f,1963,1963,1,O,27710,1,.,.,1
LTU,01,f,1964,1964,1,O,27217,1,.,.,1
LTU,01,f,1965,1965,1,O,26109,1,.,.,1
LTU,01,f,1966,1966,2,O,26494,1,.,.,1
LTU,01,f,1967,1967,2,O,26515,1,.,.,1
LTU,01,f,1968,1968,2,O,26550,1,.,.,1
LTU,01,f,1969,1969,2,O,26356,1,.,.,1
LTU,01,f,1970,1970,3,O,26993,1,.,.,1
LTU,01,f,1971,1971,3,O,27356,1,.,.,1
LTU,01,f,1972,1972,3,O,26645,1,.,.,1
LTU,01,f,1973,1973,3,O,25440,1,.,.,1
LTU,01,f,1974,1974,3,O,25551,1,.,.,1
LTU,01,f,1975,1975,3,O,25428,1,.,.,1
LTU,01,f,1976,1976,3,O,25532,1,.,.,1
LTU,01,f,1977,1977,3,O,25483,1,.,.,1
LTU,01,f,1978,1978,3,O,25303,1,.,.,1
LTU,01,f,1979,1979,3,O,25379,1,.,.,1
LTU,01,f,1980,1980,3,O,25198,1,.,.,1
LTU,01,f,1981,1981,3,O,25415,1,.,.,1
LTU,01,f,1982,1982,3,O,26002,1,.,.,1
LTU,01,f,1983,1983,3,O,27860,1,.,.,1
