PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
LTU,01,1959,1959,1,m,0,1,RR,4,O,1850,3,.,.,1
LTU,01,1959,1959,1,m,1,1,RR,4,O,109,.,.,.,1
LTU,01,1959,1959,1,m,2,1,RR,4,O,63,.,.,.,1
LTU,01,1959,1959,1,m,3,1,RR,4,O,34,.,.,.,1
LTU,01,1959,1959,1,m,4,1,RR,4,O,33,.,.,.,1
LTU,01,1959,1959,1,m,5,1,RR,4,O,27,.,.,.,1
LTU,01,1959,1959,1,m,6,1,RR,4,O,30,.,.,.,1
LTU,01,1959,1959,1,m,7,1,RR,4,O,21,.,.,.,1
LTU,01,1959,1959,1,m,8,1,RR,4,O,25,.,.,.,1
LTU,01,1959,1959,1,m,9,1,RR,4,O,20,.,.,.,1
LTU,01,1959,1959,1,m,10,1,RR,4,O,31,.,.,.,1
LTU,01,1959,1959,1,m,11,1,RR,4,O,20,.,.,.,1
LTU,01,1959,1959,1,m,12,1,RR,4,O,12,.,.,.,1
LTU,01,1959,1959,1,m,13,1,RR,4,O,15,.,.,.,1
LTU,01,1959,1959,1,m,14,1,RR,4,O,36,.,.,.,1
LTU,01,1959,1959,1,m,15,1,RR,4,O,28,.,.,.,1
LTU,01,1959,1959,1,m,16,1,RR,4,O,30,.,.,.,1
LTU,01,1959,1959,1,m,17,1,RR,4,O,34,.,.,.,1
LTU,01,1959,1959,1,m,18,1,RR,4,O,55,.,.,.,1
LTU,01,1959,1959,1,m,19,1,RR,4,O,56,.,.,.,1
LTU,01,1959,1959,1,m,20,1,RR,4,O,43,.,.,.,1
LTU,01,1959,1959,1,m,21,1,RR,4,O,50,.,.,.,1
LTU,01,1959,1959,1,m,22,1,RR,4,O,53,.,.,.,1
LTU,01,1959,1959,1,m,23,1,RR,4,O,53,.,.,.,1
LTU,01,1959,1959,1,m,24,1,RR,4,O,54,.,.,.,1
LTU,01,1959,1959,1,m,25,1,RR,4,O,52,.,.,.,1
LTU,01,1959,1959,1,m,26,1,RR,4,O,57,.,.,.,1
LTU,01,1959,1959,1,m,27,1,RR,4,O,68,.,.,.,1
LTU,01,1959,1959,1,m,28,1,RR,4,O,66,.,.,.,1
LTU,01,1959,1959,1,m,29,1,RR,4,O,70,.,.,.,1
LTU,01,1959,1959,1,m,30,1,RR,4,O,78,.,.,.,1
LTU,01,1959,1959,1,m,31,1,RR,4,O,53,.,.,.,1
LTU,01,1959,1959,1,m,32,1,RR,4,O,65,.,.,.,1
LTU,01,1959,1959,1,m,33,1,RR,4,O,56,.,.,.,1
LTU,01,1959,1959,1,m,34,1,RR,4,O,49,.,.,.,1
LTU,01,1959,1959,1,m,35,1,RR,4,O,63,.,.,.,1
LTU,01,1959,1959,1,m,36,1,RR,4,O,63,.,.,.,1
LTU,01,1959,1959,1,m,37,1,RR,4,O,57,.,.,.,1
LTU,01,1959,1959,1,m,38,1,RR,4,O,58,.,.,.,1
LTU,01,1959,1959,1,m,39,1,RR,4,O,52,.,.,.,1
LTU,01,1959,1959,1,m,40,1,RR,4,O,55,.,.,.,1
LTU,01,1959,1959,1,m,41,1,RR,4,O,30,.,.,.,1
LTU,01,1959,1959,1,m,42,1,RR,4,O,40,.,.,.,1
LTU,01,1959,1959,1,m,43,1,RR,4,O,51,.,.,.,1
LTU,01,1959,1959,1,m,44,1,RR,4,O,58,.,.,.,1
LTU,01,1959,1959,1,m,45,1,RR,4,O,65,.,.,.,1
LTU,01,1959,1959,1,m,46,1,RR,4,O,76,.,.,.,1
LTU,01,1959,1959,1,m,47,1,RR,4,O,71,.,.,.,1
LTU,01,1959,1959,1,m,48,1,RR,4,O,82,.,.,.,1
LTU,01,1959,1959,1,m,49,1,RR,4,O,75,.,.,.,1
LTU,01,1959,1959,1,m,50,1,RR,4,O,136,.,.,.,1
LTU,01,1959,1959,1,m,51,1,RR,4,O,146,.,.,.,1
LTU,01,1959,1959,1,m,52,1,RR,4,O,192,.,.,.,1
LTU,01,1959,1959,1,m,53,1,RR,4,O,163,.,.,.,1
LTU,01,1959,1959,1,m,54,1,RR,4,O,192,.,.,.,1
LTU,01,1959,1959,1,m,55,1,RR,4,O,161,.,.,.,1
LTU,01,1959,1959,1,m,56,1,RR,4,O,174,.,.,.,1
LTU,01,1959,1959,1,m,57,1,RR,4,O,181,.,.,.,1
LTU,01,1959,1959,1,m,58,1,RR,4,O,219,.,.,.,1
LTU,01,1959,1959,1,m,59,1,RR,4,O,194,.,.,.,1
LTU,01,1959,1959,1,m,60,1,RR,4,O,210,.,.,.,1
LTU,01,1959,1959,1,m,61,1,RR,4,O,209,.,.,.,1
LTU,01,1959,1959,1,m,62,1,RR,4,O,207,.,.,.,1
LTU,01,1959,1959,1,m,63,1,RR,4,O,260,.,.,.,1
LTU,01,1959,1959,1,m,64,1,RR,4,O,248,.,.,.,1
LTU,01,1959,1959,1,m,65,1,RR,4,O,275,.,.,.,1
LTU,01,1959,1959,1,m,66,1,RR,4,O,224,.,.,.,1
LTU,01,1959,1959,1,m,67,1,RR,4,O,246,.,.,.,1
LTU,01,1959,1959,1,m,68,1,RR,4,O,242,.,.,.,1
LTU,01,1959,1959,1,m,69,1,RR,4,O,224,.,.,.,1
LTU,01,1959,1959,1,m,70,1,RR,4,O,270,.,.,.,1
LTU,01,1959,1959,1,m,71,1,RR,4,O,212,.,.,.,1
LTU,01,1959,1959,1,m,72,1,RR,4,O,201,.,.,.,1
LTU,01,1959,1959,1,m,73,1,RR,4,O,202,.,.,.,1
LTU,01,1959,1959,1,m,74,1,RR,4,O,225,.,.,.,1
LTU,01,1959,1959,1,m,75,1,RR,4,O,226,.,.,.,1
LTU,01,1959,1959,1,m,76,1,RR,4,O,218,.,.,.,1
LTU,01,1959,1959,1,m,77,1,RR,4,O,234,.,.,.,1
