Lithuania,  Exposures (Lexis triangle)	Last modified: 19 Oct 2020;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1959    0      1959    15627.58    16204.71    31832.29
 1959    0      1958    13868.20    14348.59    28216.78
 1959    1      1958    13734.39    14170.13    27904.52
 1959    1      1957    13148.54    13669.49    26818.03
 1959    2      1957    13122.53    13642.63    26765.16
 1959    2      1956    12604.64    12994.19    25598.83
 1959    3      1956    12590.10    12978.19    25568.29
 1959    3      1955    12688.85    13094.50    25783.35
 1959    4      1955    12678.34    13083.34    25761.68
 1959    4      1954    12340.41    12957.36    25297.77
 1959    5      1954    12332.89    12947.44    25280.33
 1959    5      1953    11558.20    12001.35    23559.55
 1959    6      1953    11552.01    11991.84    23543.85
 1959    6      1952    12166.97    12490.21    24657.18
 1959    7      1952    12160.98    12481.74    24642.72
 1959    7      1951    11778.31    12246.22    24024.54
 1959    8      1951    11774.15    12238.54    24012.69
 1959    8      1950    12505.55    12788.54    25294.09
 1959    9      1950    12502.05    12781.06    25283.11
 1959    9      1949    11807.41    12028.24    23835.66
 1959   10      1949    11803.47    12019.82    23823.29
 1959   10      1948    12033.65    12201.22    24234.87
 1959   11      1948    12029.31    12192.72    24222.02
 1959   11      1947    10648.94    10720.47    21369.41
 1959   12      1947    10645.10    10715.14    21360.24
 1959   12      1946    10826.91    11141.88    21968.79
 1959   13      1946    10823.24    11137.37    21960.61
 1959   13      1945    11071.46    11187.90    22259.36
 1959   14      1945    11067.46    11179.39    22246.85
 1959   14      1944    10470.64    10538.73    21009.37
 1959   15      1944    10465.97    10528.14    20994.11
 1959   15      1943    11345.40    11114.61    22460.01
 1959   16      1943    11339.57    11104.95    22444.52
 1959   16      1942    12885.62    12844.58    25730.20
 1959   17      1942    12879.93    12833.93    25713.86
 1959   17      1941    12205.40    12091.12    24296.52
 1959   18      1941    12199.09    12076.35    24275.43
 1959   18      1940    12332.87    11998.49    24331.36
 1959   19      1940    12325.84    11979.99    24305.84
 1959   19      1939    11220.10    10078.80    21298.90
 1959   20      1939    11212.72    10061.96    21274.68
 1959   20      1938    12524.01    11216.34    23740.35
 1959   21      1938    12516.83    11200.81    23717.64
 1959   21      1937    11858.90    10786.56    22645.46
 1959   22      1937    11852.23    10769.37    22621.60
 1959   22      1936    13073.33    11620.18    24693.51
 1959   23      1936    13064.99    11602.51    24667.50
 1959   23      1935    12230.11    11287.03    23517.14
 1959   24      1935    12220.60    11269.19    23489.79
 1959   24      1934    12089.25    10875.98    22965.23
 1959   25      1934    12080.06    10858.24    22938.29
 1959   25      1933    12869.17    11340.21    24209.38
 1959   26      1933    12860.66    11322.01    24182.67
 1959   26      1932    13066.56    11411.30    24477.87
 1959   27      1932    13054.88    11390.40    24445.28
 1959   27      1931    12119.82    10804.51    22924.34
 1959   28      1931    12106.98    10782.18    22889.16
 1959   28      1930    13426.64    12147.12    25573.76
 1959   29      1930    13417.30    12124.43    25541.73
 1959   29      1929    12102.66    10554.91    22657.56
 1959   30      1929    12092.30    10530.32    22622.62
 1959   30      1928    14598.92    12218.03    26816.95
 1959   31      1928    14586.40    12196.29    26782.70
 1959   31      1927    11660.75    10187.15    21847.90
 1959   32      1927    11648.23    10167.43    21815.67
 1959   32      1926    12592.06     8680.27    21272.34
 1959   33      1926    12578.72     8660.14    21238.85
 1959   33      1925    11794.15     8136.96    19931.11
 1959   34      1925    11782.48     8119.48    19901.96
 1959   34      1924    11552.48     7928.53    19481.01
 1959   35      1924    11542.00     7910.00    19452.01
 1959   35      1923    11325.25     8154.44    19479.70
 1959   36      1923    11311.74     8133.44    19445.18
 1959   36      1922    10789.77     7745.86    18535.62
 1959   37      1922    10774.75     7725.86    18500.60
 1959   37      1921     8965.19     6963.51    15928.69
 1959   38      1921     8949.17     6944.34    15893.51
 1959   38      1920     9434.67     7314.46    16749.13
 1959   39      1920     9420.97     7296.13    16717.10
 1959   39      1919     7147.94     5429.06    12576.99
 1959   40      1919     7136.26     5411.31    12547.57
 1959   40      1918     7319.58     5023.01    12342.59
 1959   41      1918     7306.40     5008.81    12315.21
 1959   41      1917     5592.47     4200.21     9792.67
 1959   42      1917     5580.29     4188.54     9768.83
 1959   42      1916     6765.59     4919.19    11684.78
 1959   43      1916     6754.41     4904.03    11658.44
 1959   43      1915     6827.29     4836.06    11663.35
 1959   44      1915     6814.28     4817.89    11632.17
 1959   44      1914     8296.72     5680.81    13977.53
 1959   45      1914     8279.54     5660.38    13939.92
 1959   45      1913     8646.34     5778.07    14424.42
 1959   46      1913     8627.66     5754.59    14382.24
 1959   46      1912     8847.65     5898.49    14746.14
 1959   47      1912     8826.30     5873.98    14700.28
 1959   47      1911     8169.28     5556.86    13726.14
 1959   48      1911     8145.08     5531.37    13676.46
 1959   48      1910     9425.73     6062.93    15488.66
 1959   49      1910     9403.03     6036.75    15439.78
 1959   49      1909     7863.58     5683.78    13547.36
 1959   50      1909     7840.59     5648.71    13489.30
 1959   50      1908     9660.69    10403.91    20064.60
 1959   51      1908     9634.66    10356.92    19991.58
 1959   51      1907     7894.09     9426.73    17320.82
 1959   52      1907     7864.07     9370.47    17234.54
 1959   52      1906     8552.54     8592.55    17145.09
 1959   53      1906     8519.33     8533.32    17052.65
 1959   53      1905     7758.34     6918.79    14677.12
 1959   54      1905     7723.30     6859.66    14582.96
 1959   54      1904     7880.69     7158.39    15039.08
 1959   55      1904     7844.01     7099.47    14943.48
 1959   55      1903     8422.73     6335.79    14758.52
 1959   56      1903     8383.37     6279.96    14663.33
 1959   56      1902     8284.36     6429.89    14714.25
 1959   57      1902     8246.12     6370.72    14616.84
 1959   57      1901     6978.20     4915.31    11893.51
 1959   58      1901     6934.38     4848.69    11783.07
 1959   58      1900     9721.83     6290.19    16012.02
 1959   59      1900     9672.74     6221.30    15894.04
 1959   59      1899     5851.21     4037.10     9888.31
 1959   60      1899     5802.08     3969.88     9771.96
 1959   60      1898     8924.89     5418.84    14343.72
 1959   61      1898     8872.63     5348.98    14221.62
 1959   61      1897     5233.13     4188.51     9421.64
 1959   62      1897     5173.70     4119.16     9292.85
 1959   62      1896     6489.40     4671.18    11160.58
 1959   63      1896     6417.37     4593.45    11010.81
 1959   63      1895     6717.74     4381.74    11099.48
 1959   64      1895     6640.83     4297.02    10937.86
 1959   64      1894     5574.99     4367.76     9942.75
 1959   65      1894     5505.36     4280.83     9786.19
 1959   65      1893     5891.07     4324.23    10215.30
 1959   66      1893     5826.74     4240.89    10067.63
 1959   66      1892     4578.58     3538.51     8117.09
 1959   67      1892     4510.19     3460.22     7970.42
 1959   67      1891     4679.13     3219.95     7899.09
 1959   68      1891     4602.39     3138.59     7740.98
 1959   68      1890     5191.70     3345.89     8537.59
 1959   69      1890     5109.71     3268.15     8377.86
 1959   69      1889     3832.60     2086.21     5918.81
 1959   70      1889     3739.28     2004.17     5743.45
 1959   70      1888     6656.27     3065.53     9721.80
 1959   71      1888     6553.47     2984.96     9538.44
 1959   71      1887     2850.64     1703.86     4554.50
 1959   72      1887     2747.86     1634.97     4382.83
 1959   72      1886     3494.44     1778.91     5273.35
 1959   73      1886     3386.61     1711.73     5098.34
 1959   73      1885     3386.12     1845.54     5231.66
 1959   74      1885     3272.37     1774.44     5046.81
 1959   74      1884     2825.65     1601.36     4427.01
 1959   75      1884     2713.38     1526.37     4239.74
 1959   75      1883     3000.86     1642.53     4643.39
 1959   76      1883     2895.97     1568.48     4464.44
 1959   76      1882     2287.12     1380.61     3667.73
 1959   77      1882     2187.57     1305.33     3492.90
 1959   77      1881     1859.45     1063.60     2923.05
 1959   78      1881     1759.62      989.80     2749.42
 1959   78      1880     2469.04     1304.01     3773.06
 1959   79      1880     2361.06     1230.94     3591.99
 1959   79      1879     1343.10      710.24     2053.34
 1959   80      1879     1752.72      895.52     2648.24
 1959   80      1878     1346.25      720.69     2066.94
 1959   81      1878     1250.49      663.20     1913.69
 1959   81      1877     1270.35      633.00     1903.34
 1959   82      1877     1187.15      583.43     1770.58
 1959   82      1876     1286.45      547.03     1833.48
 1959   83      1876     1190.87      501.64     1692.51
 1959   83      1875     1216.03      495.56     1711.59
 1959   84      1875     1119.40      449.29     1568.70
 1959   84      1874      901.09      419.00     1320.09
 1959   85      1874      815.10      372.17     1187.26
 1959   85      1873      648.63      341.60      990.23
 1959   86      1873      575.54      298.08      873.62
 1959   86      1872      572.07      291.40      863.47
 1959   87      1872      508.90      253.97      762.88
 1959   87      1871      553.13      262.97      816.10
 1959   88      1871      492.91      229.49      722.39
 1959   88      1870      565.91      222.05      787.96
 1959   89      1870      508.42      189.17      697.59
 1959   89      1869      399.82      146.93      546.75
 1959   90      1869      353.60      120.53      474.13
 1959   90      1868      227.20       96.51      323.71
 1959   91      1868      196.92       81.68      278.60
 1959   91      1867      225.59       83.23      308.82
 1959   92      1867      199.27       74.06      273.33
 1959   92      1866      222.51       77.14      299.65
 1959   93      1866      193.46       66.64      260.10
 1959   93      1865      201.86       60.03      261.89
 1959   94      1865      175.48       52.53      228.00
 1959   94      1864      155.87       47.13      203.00
 1959   95      1864      133.62       41.72      175.35
 1959   95      1863      103.24       38.94      142.18
 1959   96      1863       86.58       32.93      119.51
 1959   96      1862       76.30       26.30      102.60
 1959   97      1862       64.64       21.50       86.14
 1959   97      1861       66.35       20.77       87.12
 1959   98      1861       56.67       17.10       73.77
 1959   98      1860       54.62       16.36       70.99
 1959   99      1860       44.64       12.79       57.43
 1959   99      1859       43.07       11.96       55.03
 1959   100     1859       34.13        9.24       43.37
 1959   100     1858       33.14        8.68       41.83
 1959   101     1858       25.86        6.57       32.43
 1959   101     1857       25.05        6.30       31.34
 1959   102     1857       19.15        4.67       23.82
 1959   102     1856       18.34        4.29       22.64
 1959   103     1856       13.62        3.05       16.67
 1959   103     1855       13.49        3.01       16.50
 1959   104     1855        9.73        2.08       11.81
