Lithuania, Life tables (period 5x5), Females	Last modified: 19 Oct 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.03066  0.02989  0.17  100000    2989   97506  7356692  73.57
1960-1964      1-4      0.00143  0.00570  1.48   97011     553  386649  7259186  74.83
1960-1964      5-9      0.00059  0.00293  2.23   96457     283  481503  6872537  71.25
1960-1964     10-14     0.00048  0.00237  2.41   96175     228  480284  6391033  66.45
1960-1964     15-19     0.00063  0.00314  2.73   95947     302  479050  5910750  61.60
1960-1964     20-24     0.00091  0.00456  2.45   95645     436  477110  5431700  56.79
1960-1964     25-29     0.00101  0.00502  2.60   95209     478  474895  4954590  52.04
1960-1964     30-34     0.00133  0.00661  2.56   94730     627  472122  4479694  47.29
1960-1964     35-39     0.00174  0.00869  2.58   94104     817  468538  4007573  42.59
1960-1964     40-44     0.00244  0.01212  2.49   93287    1130  463595  3539035  37.94
1960-1964     45-49     0.00334  0.01654  2.55   92156    1524  457048  3075440  33.37
1960-1964     50-54     0.00513  0.02534  2.52   90632    2297  447471  2618392  28.89
1960-1964     55-59     0.00741  0.03639  2.60   88335    3215  433961  2170920  24.58
1960-1964     60-64     0.01275  0.06190  2.65   85121    5269  413216  1736959  20.41
1960-1964     65-69     0.01976  0.09427  2.56   79852    7528  380906  1323743  16.58
1960-1964     70-74     0.03472  0.16030  2.61   72324   11594  333893   942837  13.04
1960-1964     75-79     0.05815  0.25429  2.53   60730   15443  265556   608944  10.03
1960-1964     80-84     0.09694  0.38831  2.44   45287   17585  181398   343389   7.58
1960-1964     85-89     0.14464  0.52251  2.34   27702   14475  100071   161991   5.85
1960-1964     90-94     0.18519  0.60398  2.12   13227    7989   43139    61919   4.68
1960-1964     95-99     0.25967  0.73987  2.09    5238    3876   14925    18780   3.59
1960-1964    100-104    0.34017  0.83133  1.93    1363    1133    3330     3855   2.83
1960-1964    105-109    0.43091  0.89712  1.75     230     206     478      525   2.29
1960-1964    110+       0.50641  1.00000  1.97      24      24      47       47   1.97
1965-1969        0      0.01927  0.01895  0.12  100000    1895   98335  7509767  75.10
1965-1969      1-4      0.00120  0.00479  1.55   98105     470  391270  7411432  75.55
1965-1969      5-9      0.00041  0.00206  2.40   97635     202  487651  7020162  71.90
1965-1969     10-14     0.00035  0.00176  2.56   97434     172  486749  6532511  67.05
1965-1969     15-19     0.00054  0.00270  2.69   97262     263  485702  6045761  62.16
1965-1969     20-24     0.00074  0.00370  2.62   96999     359  484142  5560060  57.32
1965-1969     25-29     0.00078  0.00389  2.57   96641     376  482288  5075917  52.52
1965-1969     30-34     0.00100  0.00498  2.66   96265     479  480199  4593629  47.72
1965-1969     35-39     0.00159  0.00793  2.54   95785     759  477055  4113430  42.94
1965-1969     40-44     0.00219  0.01091  2.65   95026    1037  472693  3636376  38.27
1965-1969     45-49     0.00347  0.01719  2.67   93989    1616  466173  3163683  33.66
1965-1969     50-54     0.00486  0.02403  2.60   92373    2220  456533  2697510  29.20
1965-1969     55-59     0.00705  0.03470  2.69   90153    3128  443552  2240977  24.86
1965-1969     60-64     0.01163  0.05659  2.62   87025    4925  423403  1797425  20.65
1965-1969     65-69     0.01937  0.09270  2.68   82100    7611  392835  1374022  16.74
1965-1969     70-74     0.03468  0.16014  2.62   74490   11929  344004   981187  13.17
1965-1969     75-79     0.05747  0.25236  2.59   62561   15788  274718   637183  10.18
1965-1969     80-84     0.09149  0.37123  2.46   46773   17363  189779   362465   7.75
1965-1969     85-89     0.14154  0.51634  2.38   29410   15185  107291   172686   5.87
1965-1969     90-94     0.18977  0.62023  2.21   14224    8822   46489    65395   4.60
1965-1969     95-99     0.26594  0.74936  2.09    5402    4048   15221    18906   3.50
1965-1969    100-104    0.35432  0.84466  1.90    1354    1144    3228     3685   2.72
1965-1969    105-109    0.45377  0.90993  1.71     210     191     422      457   2.17
1965-1969    110+       0.53662  1.00000  1.86      19      19      35       35   1.86
1970-1974        0      0.01555  0.01534  0.12  100000    1534   98646  7560585  75.61
1970-1974      1-4      0.00113  0.00450  1.44   98466     443  392731  7461939  75.78
1970-1974      5-9      0.00043  0.00214  2.27   98023     210  489545  7069209  72.12
1970-1974     10-14     0.00029  0.00146  2.61   97813     143  488725  6579664  67.27
1970-1974     15-19     0.00051  0.00256  2.79   97670     250  487798  6090939  62.36
1970-1974     20-24     0.00072  0.00360  2.50   97420     350  486223  5603141  57.52
1970-1974     25-29     0.00086  0.00430  2.64   97070     418  484361  5116917  52.71
1970-1974     30-34     0.00109  0.00542  2.63   96652     524  482016  4632557  47.93
1970-1974     35-39     0.00143  0.00711  2.57   96128     683  478980  4150541  43.18
1970-1974     40-44     0.00223  0.01111  2.73   95444    1060  474814  3671561  38.47
1970-1974     45-49     0.00346  0.01716  2.67   94384    1620  468149  3196747  33.87
1970-1974     50-54     0.00491  0.02429  2.66   92764    2253  458558  2728598  29.41
1970-1974     55-59     0.00700  0.03442  2.63   90511    3115  445168  2270040  25.08
1970-1974     60-64     0.01078  0.05259  2.66   87396    4596  426241  1824872  20.88
1970-1974     65-69     0.01810  0.08677  2.64   82800    7185  397050  1398631  16.89
1970-1974     70-74     0.03327  0.15437  2.67   75615   11673  350871  1001580  13.25
1970-1974     75-79     0.05888  0.25780  2.59   63943   16485  279971   650709  10.18
1970-1974     80-84     0.09132  0.37117  2.48   47458   17615  192891   370738   7.81
1970-1974     85-89     0.13688  0.50165  2.34   29843   14971  109371   177846   5.96
1970-1974     90-94     0.18922  0.62065  2.23   14872    9230   48780    68475   4.60
1970-1974     95-99     0.26653  0.75032  2.09    5642    4233   15883    19695   3.49
1970-1974    100-104    0.35637  0.84655  1.90    1409    1192    3346     3812   2.71
1970-1974    105-109    0.45746  0.91187  1.70     216     197     431      466   2.16
1970-1974    110+       0.54170  1.00000  1.85      19      19      35       35   1.85
1975-1979        0      0.01539  0.01519  0.12  100000    1519   98660  7563675  75.64
1975-1979      1-4      0.00102  0.00408  1.51   98481     402  392923  7465016  75.80
1975-1979      5-9      0.00045  0.00223  2.24   98079     219  489792  7072092  72.11
1975-1979     10-14     0.00029  0.00146  2.39   97860     143  488928  6582300  67.26
1975-1979     15-19     0.00050  0.00249  2.80   97718     243  488054  6093372  62.36
1975-1979     20-24     0.00062  0.00309  2.62   97474     301  486655  5605318  57.51
1975-1979     25-29     0.00079  0.00392  2.58   97173     381  484944  5118663  52.68
1975-1979     30-34     0.00111  0.00552  2.65   96792     534  482709  4633719  47.87
1975-1979     35-39     0.00152  0.00756  2.55   96258     727  479507  4151009  43.12
1975-1979     40-44     0.00227  0.01128  2.69   95531    1078  475166  3671503  38.43
1975-1979     45-49     0.00354  0.01757  2.66   94453    1660  468384  3196336  33.84
1975-1979     50-54     0.00526  0.02598  2.62   92793    2410  458234  2727952  29.40
1975-1979     55-59     0.00742  0.03644  2.65   90383    3294  444169  2269718  25.11
1975-1979     60-64     0.01119  0.05453  2.65   87089    4749  424286  1825549  20.96
1975-1979     65-69     0.01806  0.08666  2.69   82340    7135  395193  1401263  17.02
