Lithuania, Life tables (period 1x10), Males	Last modified: 19 Oct 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1969        0      0.03292  0.03201  0.14  100000    3201   97233  6736346  67.36
1960-1969        1      0.00266  0.00265  0.50   96799     257   96670  6639113  68.59
1960-1969        2      0.00168  0.00168  0.50   96542     162   96461  6542443  67.77
1960-1969        3      0.00101  0.00101  0.50   96380      97   96331  6445982  66.88
1960-1969        4      0.00093  0.00093  0.50   96282      89   96238  6349651  65.95
1960-1969        5      0.00074  0.00074  0.50   96193      72   96157  6253413  65.01
1960-1969        6      0.00081  0.00081  0.50   96122      78   96083  6157256  64.06
1960-1969        7      0.00069  0.00069  0.50   96044      66   96011  6061173  63.11
1960-1969        8      0.00074  0.00074  0.50   95978      71   95942  5965162  62.15
1960-1969        9      0.00062  0.00062  0.50   95907      59   95877  5869220  61.20
1960-1969       10      0.00071  0.00071  0.50   95848      68   95814  5773343  60.23
1960-1969       11      0.00062  0.00062  0.50   95780      59   95750  5677529  59.28
1960-1969       12      0.00064  0.00064  0.50   95721      61   95690  5581779  58.31
1960-1969       13      0.00055  0.00055  0.50   95659      52   95633  5486089  57.35
1960-1969       14      0.00065  0.00065  0.50   95607      62   95576  5390456  56.38
1960-1969       15      0.00090  0.00090  0.50   95545      86   95502  5294880  55.42
1960-1969       16      0.00119  0.00119  0.50   95459     113   95403  5199378  54.47
1960-1969       17      0.00136  0.00136  0.50   95346     129   95281  5103975  53.53
1960-1969       18      0.00174  0.00174  0.50   95217     166   95134  5008693  52.60
1960-1969       19      0.00187  0.00187  0.50   95051     178   94962  4913559  51.69
1960-1969       20      0.00184  0.00184  0.50   94873     174   94786  4818597  50.79
1960-1969       21      0.00173  0.00173  0.50   94699     164   94617  4723811  49.88
1960-1969       22      0.00200  0.00199  0.50   94535     188   94441  4629194  48.97
1960-1969       23      0.00241  0.00241  0.50   94347     227   94233  4534753  48.06
1960-1969       24      0.00251  0.00251  0.50   94119     236   94001  4440521  47.18
1960-1969       25      0.00283  0.00283  0.50   93883     266   93750  4346519  46.30
1960-1969       26      0.00290  0.00290  0.50   93617     271   93482  4252769  45.43
1960-1969       27      0.00286  0.00286  0.50   93346     267   93213  4159288  44.56
1960-1969       28      0.00288  0.00288  0.50   93080     268   92946  4066075  43.68
1960-1969       29      0.00283  0.00283  0.50   92812     263   92681  3973129  42.81
1960-1969       30      0.00319  0.00318  0.50   92549     294   92402  3880448  41.93
1960-1969       31      0.00314  0.00314  0.50   92255     290   92110  3788046  41.06
1960-1969       32      0.00331  0.00331  0.50   91965     304   91813  3695936  40.19
1960-1969       33      0.00320  0.00320  0.50   91661     293   91515  3604123  39.32
1960-1969       34      0.00371  0.00370  0.50   91368     338   91199  3512608  38.44
1960-1969       35      0.00382  0.00382  0.50   91030     348   90856  3421409  37.59
1960-1969       36      0.00368  0.00368  0.50   90682     333   90515  3330554  36.73
1960-1969       37      0.00408  0.00408  0.50   90348     368   90164  3240038  35.86
1960-1969       38      0.00409  0.00408  0.50   89980     367   89797  3149874  35.01
1960-1969       39      0.00410  0.00410  0.50   89613     367   89429  3060077  34.15
1960-1969       40      0.00491  0.00490  0.50   89246     437   89027  2970648  33.29
1960-1969       41      0.00488  0.00487  0.50   88809     432   88592  2881621  32.45
1960-1969       42      0.00527  0.00525  0.50   88376     464   88144  2793029  31.60
1960-1969       43      0.00528  0.00526  0.50   87912     463   87681  2704884  30.77
1960-1969       44      0.00534  0.00533  0.50   87449     466   87216  2617204  29.93
1960-1969       45      0.00604  0.00602  0.50   86984     523   86722  2529987  29.09
1960-1969       46      0.00655  0.00653  0.50   86460     564   86178  2443265  28.26
1960-1969       47      0.00695  0.00693  0.50   85896     595   85598  2357088  27.44
1960-1969       48      0.00735  0.00732  0.50   85300     625   84988  2271489  26.63
1960-1969       49      0.00747  0.00744  0.50   84676     630   84361  2186501  25.82
1960-1969       50      0.00913  0.00909  0.50   84046     764   83664  2102140  25.01
1960-1969       51      0.00855  0.00851  0.50   83282     709   82928  2018476  24.24
1960-1969       52      0.00988  0.00983  0.50   82573     812   82167  1935548  23.44
1960-1969       53      0.00976  0.00971  0.50   81762     794   81365  1853381  22.67
1960-1969       54      0.01144  0.01138  0.50   80968     921   80507  1772016  21.89
1960-1969       55      0.01178  0.01171  0.50   80047     937   79578  1691509  21.13
1960-1969       56      0.01256  0.01249  0.50   79109     988   78616  1611931  20.38
1960-1969       57      0.01354  0.01345  0.50   78122    1051   77596  1533316  19.63
1960-1969       58      0.01533  0.01522  0.50   77071    1173   76484  1455719  18.89
1960-1969       59      0.01603  0.01590  0.50   75898    1207   75295  1379235  18.17
1960-1969       60      0.02027  0.02007  0.50   74691    1499   73942  1303940  17.46
1960-1969       61      0.01976  0.01957  0.50   73193    1432   72476  1229998  16.80
1960-1969       62      0.02395  0.02367  0.50   71760    1699   70911  1157522  16.13
1960-1969       63      0.02502  0.02471  0.50   70062    1731   69196  1086611  15.51
1960-1969       64      0.02702  0.02666  0.50   68330    1822   67419  1017415  14.89
1960-1969       65      0.03095  0.03048  0.50   66508    2027   65495   949996  14.28
1960-1969       66      0.03111  0.03063  0.50   64481    1975   63494   884501  13.72
1960-1969       67      0.03447  0.03388  0.50   62506    2118   61447   821007  13.13
1960-1969       68      0.03607  0.03543  0.50   60388    2140   59319   759560  12.58
1960-1969       69      0.03535  0.03474  0.50   58249    2023   57237   700241  12.02
1960-1969       70      0.04537  0.04436  0.50   56225    2494   54978   643004  11.44
1960-1969       71      0.04214  0.04127  0.50   53731    2217   52622   588026  10.94
1960-1969       72      0.05130  0.05001  0.50   51514    2576   50225   535404  10.39
1960-1969       73      0.05242  0.05108  0.50   48937    2500   47687   485178   9.91
1960-1969       74      0.05770  0.05608  0.50   46438    2604   45136   437491   9.42
1960-1969       75      0.06642  0.06429  0.50   43834    2818   42425   392355   8.95
1960-1969       76      0.06749  0.06528  0.50   41016    2678   39677   349931   8.53
1960-1969       77      0.07165  0.06917  0.50   38338    2652   37012   310254   8.09
1960-1969       78      0.08568  0.08216  0.50   35686    2932   34220   273242   7.66
1960-1969       79      0.08456  0.08113  0.50   32754    2657   31425   239022   7.30
1960-1969       80      0.09991  0.09515  0.50   30097    2864   28665   207597   6.90
1960-1969       81      0.10007  0.09530  0.50   27233    2595   25935   178932   6.57
1960-1969       82      0.10884  0.10323  0.50   24638    2543   23366   152997   6.21
1960-1969       83      0.12298  0.11585  0.50   22094    2560   20815   129631   5.87
1960-1969       84      0.12915  0.12132  0.50   19535    2370   18350   108816   5.57
1960-1969       85      0.15115  0.14053  0.50   17165    2412   15959    90466   5.27
1960-1969       86      0.15296  0.14209  0.50   14753    2096   13705    74508   5.05
1960-1969       87      0.16751  0.15456  0.50   12656    1956   11678    60803   4.80
1960-1969       88      0.17591  0.16169  0.50   10700    1730    9835    49125   4.59
1960-1969       89      0.17655  0.16223  0.50    8970    1455    8243    39290   4.38
1960-1969       90      0.22476  0.20206  0.50    7515    1518    6756    31047   4.13
1960-1969       91      0.19306  0.17606  0.50    5997    1056    5469    24291   4.05
1960-1969       92      0.22255  0.20027  0.50    4941     989    4446    18823   3.81
