PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
LUX,1,b,1948,1948,3,O,4162,.,.,.,0
LUX,1,b,1949,1949,3,O,4026,.,.,.,0
LUX,1,b,1950,1950,6,O,4401,.,.,.,0
LUX,1,f,1950,1950,6,O,2171,.,.,.,1
LUX,1,m,1950,1950,6,O,2230,.,.,.,1
LUX,1,b,1951,1951,3,O,4176,.,.,.,0
LUX,1,f,1951,1951,3,O,1989,.,.,.,1
LUX,1,m,1951,1951,3,O,2187,.,.,.,1
LUX,1,b,1952,1952,3,O,4535,.,.,.,0
LUX,1,f,1952,1952,3,O,2212,.,.,.,1
LUX,1,m,1952,1952,3,O,2323,.,.,.,1
LUX,1,b,1953,1953,3,O,4565,.,.,.,0
LUX,1,f,1953,1953,3,O,2207,.,.,.,1
LUX,1,m,1953,1953,3,O,2358,.,.,.,1
LUX,1,b,1954,1954,3,O,4713,.,.,.,0
LUX,1,f,1954,1954,3,O,2313,.,.,.,1
LUX,1,m,1954,1954,3,O,2400,.,.,.,1
LUX,1,b,1955,1955,3,O,4664,.,.,.,0
LUX,1,f,1955,1955,3,O,2258,.,.,.,1
LUX,1,m,1955,1955,3,O,2406,.,.,.,1
LUX,1,b,1956,1956,3,O,4833,.,.,.,0
LUX,1,f,1956,1956,3,O,2433,.,.,.,1
LUX,1,m,1956,1956,3,O,2400,.,.,.,1
LUX,1,b,1957,1957,3,O,4954,.,.,.,0
LUX,1,f,1957,1957,3,O,2337,.,.,.,1
LUX,1,m,1957,1957,3,O,2617,.,.,.,1
LUX,1,b,1958,1958,3,O,4959,.,.,.,0
LUX,1,f,1958,1958,3,O,2358,.,.,.,1
LUX,1,m,1958,1958,3,O,2601,.,.,.,1
LUX,1,b,1959,1959,3,O,5037,.,.,.,0
LUX,1,f,1959,1959,3,O,2419,.,.,.,1
LUX,1,m,1959,1959,3,O,2618,.,.,.,1
LUX,1,b,1960,1960,6,O,5019,.,.,.,0
LUX,1,f,1960,1960,6,O,2483,.,.,.,1
LUX,1,m,1960,1960,6,O,2536,.,.,.,1
LUX,1,b,1961,1961,3,O,5112,.,.,.,0
LUX,1,f,1961,1961,3,O,2529,.,.,.,1
LUX,1,m,1961,1961,3,O,2583,.,.,.,1
LUX,1,b,1962,1962,3,O,5137,.,.,.,0
LUX,1,f,1962,1962,3,O,2523,.,.,.,1
LUX,1,m,1962,1962,3,O,2614,.,.,.,1
LUX,1,b,1963,1963,3,O,5112,.,.,.,0
LUX,1,f,1963,1963,3,O,2473,.,.,.,1
LUX,1,m,1963,1963,3,O,2639,.,.,.,1
LUX,1,b,1964,1964,3,O,5229,.,.,.,0
LUX,1,f,1964,1964,3,O,2470,.,.,.,1
LUX,1,m,1964,1964,3,O,2759,.,.,.,1
LUX,1,b,1965,1965,3,O,5297,.,.,.,0
LUX,1,f,1965,1965,3,O,2587,.,.,.,1
LUX,1,m,1965,1965,3,O,2710,.,.,.,1
LUX,1,b,1966,1966,3,O,5194,.,.,.,0
LUX,1,f,1966,1966,3,O,2576,.,.,.,1
LUX,1,m,1966,1966,3,O,2618,.,.,.,1
LUX,1,b,1967,1967,3,O,4957,.,.,.,0
LUX,1,f,1967,1967,3,O,2370,.,.,.,1
LUX,1,m,1967,1967,3,O,2587,.,.,.,1
LUX,1,b,1968,1968,3,O,4780,.,.,.,0
LUX,1,f,1968,1968,3,O,2316,.,.,.,1
LUX,1,m,1968,1968,3,O,2464,.,.,.,1
LUX,1,b,1969,1969,3,O,4562,.,.,.,0
LUX,1,f,1969,1969,3,O,2204,.,.,.,1
LUX,1,m,1969,1969,3,O,2358,.,.,.,1
LUX,1,b,1970,1970,6,O,4411,.,.,.,0
LUX,1,f,1970,1970,6,O,2186,.,.,.,1
LUX,1,m,1970,1970,6,O,2225,.,.,.,1
LUX,1,b,1971,1971,3,O,4512,.,.,.,0
LUX,1,f,1971,1971,3,O,2126,.,.,.,1
LUX,1,m,1971,1971,3,O,2386,.,.,.,1
LUX,1,b,1972,1972,3,O,4138,.,.,.,0
LUX,1,f,1972,1972,3,O,1964,.,.,.,1
LUX,1,m,1972,1972,3,O,2174,.,.,.,1
LUX,1,b,1973,1973,3,O,3847,.,.,.,0
LUX,1,f,1973,1973,3,O,1850,.,.,.,1
LUX,1,m,1973,1973,3,O,1997,.,.,.,1
LUX,1,b,1974,1974,3,O,3925,.,.,.,0
LUX,1,f,1974,1974,3,O,1884,.,.,.,1
LUX,1,m,1974,1974,3,O,2041,.,.,.,1
LUX,1,b,1975,1975,3,O,3997,.,.,.,0
LUX,1,f,1975,1975,3,O,1952,.,.,.,1
LUX,1,m,1975,1975,3,O,2045,.,.,.,1
LUX,1,b,1976,1976,3,O,3915,.,.,.,0
LUX,1,f,1976,1976,3,O,1896,.,.,.,1
LUX,1,m,1976,1976,3,O,2019,.,.,.,1
LUX,1,b,1977,1977,3,O,4053,.,.,.,0
LUX,1,f,1977,1977,3,O,1948,.,.,.,1
LUX,1,m,1977,1977,3,O,2105,.,.,.,1
LUX,1,b,1978,1978,3,O,4072,.,.,.,0
LUX,1,f,1978,1978,3,O,1994,.,.,.,1
LUX,1,m,1978,1978,3,O,2078,.,.,.,1
LUX,1,b,1979,1979,3,O,4078,.,.,.,0
LUX,1,f,1979,1979,3,O,1999,.,.,.,1
LUX,1,m,1979,1979,3,O,2079,.,.,.,1
LUX,1,b,1980,1980,6,O,4169,.,.,.,0
LUX,1,f,1980,1980,6,O,2087,.,.,.,1
LUX,1,m,1980,1980,6,O,2082,.,.,.,1
LUX,1,b,1981,1981,3,O,4414,.,.,.,0
LUX,1,f,1981,1981,3,O,2090,.,.,.,1
LUX,1,m,1981,1981,3,O,2324,.,.,.,1
LUX,1,b,1982,1982,3,O,4300,.,.,.,0
LUX,1,f,1982,1982,3,O,2106,.,.,.,1
LUX,1,m,1982,1982,3,O,2194,.,.,.,1
LUX,1,b,1983,1983,3,O,4185,.,.,.,0
LUX,1,f,1983,1983,3,O,2068,.,.,.,1
LUX,1,m,1983,1983,3,O,2117,.,.,.,1
LUX,1,b,1984,1984,3,O,4192,.,.,.,0
LUX,1,f,1984,1984,3,O,2000,.,.,.,1
LUX,1,m,1984,1984,3,O,2192,.,.,.,1
LUX,1,b,1985,1985,6,O,4104,.,.,.,0
LUX,1,f,1985,1985,6,O,1982,.,.,.,1
LUX,1,m,1985,1985,6,O,2122,.,.,.,1
LUX,1,b,1986,1986,3,O,4309,.,.,.,0
LUX,1,f,1986,1986,3,O,2104,.,.,.,1
LUX,1,m,1986,1986,3,O,2205,.,.,.,1
LUX,1,b,1987,1987,3,O,4238,.,.,.,0
LUX,1,f,1987,1987,3,O,2079,.,.,.,1
LUX,1,m,1987,1987,3,O,2159,.,.,.,1
LUX,1,b,1988,1988,3,O,4603,.,.,.,0
LUX,1,f,1988,1988,3,O,2276,.,.,.,1
LUX,1,m,1988,1988,3,O,2327,.,.,.,1
LUX,1,b,1989,1989,3,O,4665,.,.,.,0
LUX,1,f,1989,1989,3,O,2290,.,.,.,1
LUX,1,m,1989,1989,3,O,2375,.,.,.,1
LUX,1,b,1990,1990,6,O,4936,.,.,.,0
LUX,1,f,1990,1990,6,O,2354,.,.,.,1
LUX,1,m,1990,1990,6,O,2582,.,.,.,1
LUX,1,b,1991,1991,6,O,4986,.,.,.,0
LUX,1,f,1991,1991,6,O,2429,.,.,.,1
LUX,1,m,1991,1991,6,O,2557,.,.,.,1
LUX,1,b,1992,1992,6,O,5149,.,.,.,0
LUX,1,f,1992,1992,6,O,2523,.,.,.,1
LUX,1,m,1992,1992,6,O,2626,.,.,.,1
LUX,1,b,1993,1993,6,O,5353,.,.,.,0
LUX,1,f,1993,1993,6,O,2560,.,.,.,1
LUX,1,m,1993,1993,6,O,2793,.,.,.,1
LUX,1,b,1994,1994,6,O,5451,.,.,.,0
LUX,1,f,1994,1994,6,O,2681,.,.,.,1
LUX,1,m,1994,1994,6,O,2770,.,.,.,1
LUX,1,b,1995,1995,6,O,5421,.,.,.,0
LUX,1,f,1995,1995,6,O,2639,.,.,.,1
LUX,1,m,1995,1995,6,O,2782,.,.,.,1
LUX,1,b,1996,1996,6,O,5689,.,.,.,0
LUX,1,f,1996,1996,6,O,2707,.,.,.,1
LUX,1,m,1996,1996,6,O,2982,.,.,.,1
LUX,1,b,1997,1997,6,O,5503,.,.,.,0
LUX,1,f,1997,1997,6,O,2670,.,.,.,1
LUX,1,m,1997,1997,6,O,2833,.,.,.,1
LUX,1,b,1998,1998,6,O,5386,.,.,.,0
LUX,1,f,1998,1998,6,O,2566,.,.,.,1
LUX,1,m,1998,1998,6,O,2820,.,.,.,1
LUX,1,b,1999,1999,6,O,5582,.,.,.,0
LUX,1,f,1999,1999,6,O,2714,.,.,.,1
LUX,1,m,1999,1999,6,O,2868,.,.,.,1
LUX,1,b,2000,2000,6,O,5723,.,.,.,0
LUX,1,f,2000,2000,6,O,2745,.,.,.,1
LUX,1,m,2000,2000,6,O,2978,.,.,.,1
LUX,1,b,2001,2001,6,O,5459,.,.,.,0
LUX,1,f,2001,2001,6,O,2668,.,.,.,1
LUX,1,m,2001,2001,6,O,2791,.,.,.,1
LUX,1,b,2002,2002,6,O,5345,.,.,.,0
LUX,1,f,2002,2002,6,O,2601,.,.,.,1
LUX,1,m,2002,2002,6,O,2744,.,.,.,1
LUX,1,b,2003,2003,6,O,5303,.,.,.,0
LUX,1,f,2003,2003,6,O,2489,.,.,.,1
LUX,1,m,2003,2003,6,O,2814,.,.,.,1
LUX,1,b,2004,2004,6,O,5452,.,.,.,0
LUX,1,f,2004,2004,6,O,2629,.,.,.,1
LUX,1,m,2004,2004,6,O,2823,.,.,.,1
LUX,1,b,2005,2005,6,O,5371,.,.,.,0
LUX,1,f,2005,2005,6,O,2587,.,.,.,1
LUX,1,m,2005,2005,6,O,2784,.,.,.,1
LUX,1,f,2006,2006,8,O,2688,.,.,.,1
LUX,1,m,2006,2006,8,O,2826,.,.,.,1
LUX,1,f,2007,2007,10,O,2723,.,.,.,1
LUX,1,m,2007,2007,10,O,2754,.,.,.,1
LUX,1,f,2008,2008,10,O,2722,.,.,.,1
LUX,1,m,2008,2008,10,O,2874,.,.,.,1
LUX,1,f,2009,2009,10,O,2722,.,.,.,1
LUX,1,m,2009,2009,10,O,2916,.,.,.,1
LUX,1,f,2010,2010,106,O,2914,.,.,.,1
LUX,1,m,2010,2010,106,O,2960,.,.,.,1
LUX,1,f,2011,2011,106,O,2726,.,.,.,1
LUX,1,m,2011,2011,106,O,2913,.,.,.,1
LUX,1,f,2012,2012,106,O,2937,.,.,.,1
LUX,1,m,2012,2012,106,O,3089,.,.,.,1
LUX,1,f,2013,2013,106,O,2986,.,.,.,1
LUX,1,m,2013,2013,106,O,3129,.,.,.,1
LUX,1,f,2014,2014,106,O,2931,.,.,.,1
LUX,1,m,2014,2014,106,O,3139,.,.,.,1
LUX,1,f,2015,2015,109,O,2947,.,.,.,1
LUX,1,m,2015,2015,109,O,3168,.,.,.,1
LUX,1,f,2016,2016,109,O,2973,.,.,.,1
LUX,1,m,2016,2016,109,O,3077,.,.,.,1
LUX,1,f,2017,2017,109,O,3003,.,.,.,1
LUX,1,m,2017,2017,109,O,3171,.,.,.,1
LUX,1,f,2018,2018,113,O,3078,.,.,.,1
LUX,1,m,2018,2018,113,O,3196,.,.,.,1
LUX,1,f,2019,2019,113,O,3123,.,.,.,1
LUX,1,m,2019,2019,113,O,3107,.,.,.,1
LUX,1,f,2020,2020,117,O,3163,.,.,.,1
LUX,1,m,2020,2020,117,O,3296,.,.,.,1
