Luxembourg, Life tables (period 1x5), Males	Last modified: 21 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.03571  0.03465  0.14  100000    3465   97036  6594372  65.94
1960-1964        1      0.00197  0.00197  0.50   96535     190   96440  6497336  67.31
1960-1964        2      0.00173  0.00173  0.50   96345     167   96261  6400896  66.44
1960-1964        3      0.00134  0.00134  0.50   96178     129   96113  6304635  65.55
1960-1964        4      0.00103  0.00103  0.50   96049      99   95999  6208522  64.64
1960-1964        5      0.00121  0.00121  0.50   95950     116   95892  6112522  63.71
1960-1964        6      0.00107  0.00107  0.50   95833     103   95782  6016631  62.78
1960-1964        7      0.00059  0.00059  0.50   95731      56   95703  5920848  61.85
1960-1964        8      0.00068  0.00068  0.50   95675      65   95642  5825146  60.88
1960-1964        9      0.00044  0.00044  0.50   95609      42   95588  5729504  59.93
1960-1964       10      0.00045  0.00045  0.50   95568      43   95546  5633915  58.95
1960-1964       11      0.00037  0.00037  0.50   95524      35   95507  5538369  57.98
1960-1964       12      0.00028  0.00028  0.50   95489      27   95476  5442862  57.00
1960-1964       13      0.00047  0.00047  0.50   95462      45   95440  5347386  56.02
1960-1964       14      0.00067  0.00067  0.50   95417      64   95385  5251946  55.04
1960-1964       15      0.00058  0.00058  0.50   95354      55   95326  5156561  54.08
1960-1964       16      0.00125  0.00125  0.50   95298     120   95238  5061235  53.11
1960-1964       17      0.00106  0.00106  0.50   95179     101   95128  4965997  52.18
1960-1964       18      0.00172  0.00172  0.50   95078     163   94996  4870868  51.23
1960-1964       19      0.00211  0.00210  0.50   94915     200   94815  4775872  50.32
1960-1964       20      0.00230  0.00230  0.50   94715     218   94606  4681057  49.42
1960-1964       21      0.00262  0.00261  0.50   94497     247   94374  4586451  48.54
1960-1964       22      0.00152  0.00152  0.50   94250     143   94179  4492078  47.66
1960-1964       23      0.00240  0.00239  0.50   94107     225   93994  4397899  46.73
1960-1964       24      0.00234  0.00233  0.50   93882     219   93772  4303905  45.84
1960-1964       25      0.00173  0.00172  0.50   93663     162   93582  4210132  44.95
1960-1964       26      0.00199  0.00199  0.50   93501     186   93408  4116551  44.03
1960-1964       27      0.00163  0.00163  0.50   93315     152   93240  4023142  43.11
1960-1964       28      0.00169  0.00168  0.50   93164     157   93085  3929903  42.18
1960-1964       29      0.00180  0.00180  0.50   93007     167   92923  3836818  41.25
1960-1964       30      0.00111  0.00111  0.50   92840     103   92788  3743894  40.33
1960-1964       31      0.00177  0.00177  0.50   92736     164   92655  3651106  39.37
1960-1964       32      0.00181  0.00181  0.50   92573     168   92489  3558452  38.44
1960-1964       33      0.00220  0.00220  0.50   92405     203   92303  3465963  37.51
1960-1964       34      0.00243  0.00243  0.50   92202     224   92090  3373660  36.59
1960-1964       35      0.00165  0.00165  0.50   91978     152   91902  3281570  35.68
1960-1964       36      0.00193  0.00193  0.50   91826     177   91737  3189668  34.74
1960-1964       37      0.00245  0.00244  0.50   91649     224   91537  3097930  33.80
1960-1964       38      0.00247  0.00247  0.50   91425     226   91312  3006393  32.88
1960-1964       39      0.00254  0.00254  0.50   91199     232   91083  2915081  31.96
1960-1964       40      0.00255  0.00255  0.50   90968     232   90852  2823998  31.04
1960-1964       41      0.00336  0.00335  0.50   90736     304   90584  2733146  30.12
1960-1964       42      0.00348  0.00347  0.50   90432     314   90275  2642562  29.22
1960-1964       43      0.00402  0.00401  0.50   90118     361   89937  2552288  28.32
1960-1964       44      0.00499  0.00498  0.50   89756     447   89533  2462351  27.43
1960-1964       45      0.00435  0.00434  0.50   89310     388   89116  2372818  26.57
1960-1964       46      0.00598  0.00596  0.50   88922     530   88656  2283702  25.68
1960-1964       47      0.00829  0.00825  0.50   88391     730   88027  2195046  24.83
1960-1964       48      0.00728  0.00725  0.50   87662     636   87344  2107019  24.04
1960-1964       49      0.00905  0.00901  0.50   87026     784   86634  2019675  23.21
1960-1964       50      0.00939  0.00935  0.50   86242     806   85839  1933041  22.41
