PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
LVA,01,1959,1959,1,m,0,1,RR,2,O,635,3,.,.,1
LVA,01,1959,1959,1,m,1,4,RR,2,O,114,.,.,.,1
LVA,01,1959,1959,1,m,5,5,RR,2,O,88,.,.,.,1
LVA,01,1959,1959,1,m,10,5,RR,2,O,78,.,.,.,1
LVA,01,1959,1959,1,m,15,5,RR,2,O,129,.,.,.,1
LVA,01,1959,1959,1,m,20,5,RR,2,O,235,.,.,.,1
LVA,01,1959,1959,1,m,25,5,RR,2,O,286,.,.,.,1
LVA,01,1959,1959,1,m,30,5,RR,2,O,249,.,.,.,1
LVA,01,1959,1959,1,m,35,5,RR,2,O,227,.,.,.,1
LVA,01,1959,1959,1,m,40,5,RR,2,O,217,.,.,.,1
LVA,01,1959,1959,1,m,45,5,RR,2,O,414,.,.,.,1
LVA,01,1959,1959,1,m,50,5,RR,2,O,625,.,.,.,1
LVA,01,1959,1959,1,m,55,5,RR,2,O,785,.,.,.,1
LVA,01,1959,1959,1,m,60,5,RR,2,O,846,.,.,.,1
LVA,01,1959,1959,1,m,65,5,RR,2,O,1073,.,.,.,1
LVA,01,1959,1959,1,m,70,+,RR,2,O,4379,.,.,.,1
LVA,01,1959,1959,1,m,UNK,.,.,2,O,0,.,.,.,1
LVA,01,1959,1959,1,m,TOT,.,.,2,O,10380,.,.,.,1
LVA,01,1959,1959,1,f,0,1,RR,2,O,443,3,.,.,1
LVA,01,1959,1959,1,f,1,4,RR,2,O,93,.,.,.,1
LVA,01,1959,1959,1,f,5,5,RR,2,O,44,.,.,.,1
LVA,01,1959,1959,1,f,10,5,RR,2,O,32,.,.,.,1
LVA,01,1959,1959,1,f,15,5,RR,2,O,63,.,.,.,1
LVA,01,1959,1959,1,f,20,5,RR,2,O,102,.,.,.,1
LVA,01,1959,1959,1,f,25,5,RR,2,O,118,.,.,.,1
LVA,01,1959,1959,1,f,30,5,RR,2,O,158,.,.,.,1
LVA,01,1959,1959,1,f,35,5,RR,2,O,148,.,.,.,1
LVA,01,1959,1959,1,f,40,5,RR,2,O,170,.,.,.,1
LVA,01,1959,1959,1,f,45,5,RR,2,O,313,.,.,.,1
LVA,01,1959,1959,1,f,50,5,RR,2,O,406,.,.,.,1
LVA,01,1959,1959,1,f,55,5,RR,2,O,560,.,.,.,1
LVA,01,1959,1959,1,f,60,5,RR,2,O,840,.,.,.,1
LVA,01,1959,1959,1,f,65,5,RR,2,O,1163,.,.,.,1
LVA,01,1959,1959,1,f,70,+,RR,2,O,7568,.,.,.,1
LVA,01,1959,1959,1,f,UNK,.,.,2,O,0,.,.,.,1
LVA,01,1959,1959,1,f,TOT,.,.,2,O,12221,.,.,.,1
LVA,01,1960,1960,1,m,0,1,RR,2,O,546,3,.,.,1
LVA,01,1960,1960,1,m,1,4,RR,2,O,107,.,.,.,1
LVA,01,1960,1960,1,m,5,5,RR,2,O,58,.,.,.,1
LVA,01,1960,1960,1,m,10,5,RR,2,O,69,.,.,.,1
LVA,01,1960,1960,1,m,15,5,RR,2,O,120,.,.,.,1
LVA,01,1960,1960,1,m,20,5,RR,2,O,231,.,.,.,1
LVA,01,1960,1960,1,m,25,5,RR,2,O,255,.,.,.,1
LVA,01,1960,1960,1,m,30,5,RR,2,O,262,.,.,.,1
LVA,01,1960,1960,1,m,35,5,RR,2,O,224,.,.,.,1
LVA,01,1960,1960,1,m,40,5,RR,2,O,205,.,.,.,1
LVA,01,1960,1960,1,m,45,5,RR,2,O,366,.,.,.,1
LVA,01,1960,1960,1,m,50,5,RR,2,O,566,.,.,.,1
LVA,01,1960,1960,1,m,55,5,RR,2,O,825,.,.,.,1
LVA,01,1960,1960,1,m,60,5,RR,2,O,843,.,.,.,1
LVA,01,1960,1960,1,m,65,5,RR,2,O,1037,.,.,.,1
LVA,01,1960,1960,1,m,70,5,RR,2,O,1243,.,.,.,1
LVA,01,1960,1960,1,m,75,5,RR,2,O,1233,.,.,.,1
LVA,01,1960,1960,1,m,80,5,RR,2,O,1015,.,.,.,1
LVA,01,1960,1960,1,m,85,+,RR,2,O,779,.,.,.,1
LVA,01,1960,1960,1,m,UNK,.,.,2,O,3,.,.,.,1
LVA,01,1960,1960,1,m,TOT,.,.,2,O,9987,.,.,.,1
LVA,01,1960,1960,1,f,0,1,RR,2,O,410,3,.,.,1
LVA,01,1960,1960,1,f,1,4,RR,2,O,88,.,.,.,1
LVA,01,1960,1960,1,f,5,5,RR,2,O,50,.,.,.,1
LVA,01,1960,1960,1,f,10,5,RR,2,O,30,.,.,.,1
LVA,01,1960,1960,1,f,15,5,RR,2,O,49,.,.,.,1
LVA,01,1960,1960,1,f,20,5,RR,2,O,81,.,.,.,1
LVA,01,1960,1960,1,f,25,5,RR,2,O,109,.,.,.,1
LVA,01,1960,1960,1,f,30,5,RR,2,O,159,.,.,.,1
LVA,01,1960,1960,1,f,35,5,RR,2,O,162,.,.,.,1
LVA,01,1960,1960,1,f,40,5,RR,2,O,147,.,.,.,1
LVA,01,1960,1960,1,f,45,5,RR,2,O,271,.,.,.,1
LVA,01,1960,1960,1,f,50,5,RR,2,O,430,.,.,.,1
LVA,01,1960,1960,1,f,55,5,RR,2,O,559,.,.,.,1
LVA,01,1960,1960,1,f,60,5,RR,2,O,804,.,.,.,1
LVA,01,1960,1960,1,f,65,5,RR,2,O,1014,.,.,.,1
