PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
NLD,01,1840,.,1,8712,O,.,.,.,31,1
NLD,01,1840,.,2,8977,O,.,.,.,31,1
NLD,01,1840,.,3,9664,O,.,.,.,31,1
NLD,01,1840,.,4,8280,O,.,.,.,31,1
NLD,01,1840,.,5,7889,O,.,.,.,31,1
NLD,01,1840,.,6,7424,O,.,.,.,31,1
NLD,01,1840,.,7,7302,O,.,.,.,31,1
NLD,01,1840,.,8,8070,O,.,.,.,31,1
NLD,01,1840,.,9,8685,O,.,.,.,31,1
NLD,01,1840,.,10,8732,O,.,.,.,31,1
NLD,01,1840,.,11,8341,O,.,.,.,31,1
NLD,01,1840,.,12,8764,O,.,.,.,31,1
NLD,01,1840,.,TOT,100840,O,.,.,.,31,1
NLD,01,1841,.,1,9153,O,.,.,.,31,1
NLD,01,1841,.,2,8927,O,.,.,.,31,1
NLD,01,1841,.,3,9613,O,.,.,.,31,1
NLD,01,1841,.,4,8802,O,.,.,.,31,1
NLD,01,1841,.,5,8203,O,.,.,.,31,1
NLD,01,1841,.,6,7517,O,.,.,.,31,1
NLD,01,1841,.,7,7628,O,.,.,.,31,1
NLD,01,1841,.,8,8243,O,.,.,.,31,1
NLD,01,1841,.,9,8669,O,.,.,.,31,1
NLD,01,1841,.,10,8778,O,.,.,.,31,1
NLD,01,1841,.,11,8707,O,.,.,.,31,1
NLD,01,1841,.,12,9070,O,.,.,.,31,1
NLD,01,1841,.,TOT,103310,O,.,.,.,31,1
NLD,01,1842,.,1,9776,O,.,.,.,31,1
NLD,01,1842,.,2,9038,O,.,.,.,31,1
NLD,01,1842,.,3,9530,O,.,.,.,31,1
NLD,01,1842,.,4,8409,O,.,.,.,31,1
NLD,01,1842,.,5,8032,O,.,.,.,31,1
NLD,01,1842,.,6,7249,O,.,.,.,31,1
NLD,01,1842,.,7,7056,O,.,.,.,31,1
NLD,01,1842,.,8,8344,O,.,.,.,31,1
NLD,01,1842,.,9,8359,O,.,.,.,31,1
NLD,01,1842,.,10,8502,O,.,.,.,31,1
NLD,01,1842,.,11,8029,O,.,.,.,31,1
NLD,01,1842,.,12,8399,O,.,.,.,31,1
NLD,01,1842,.,TOT,100723,O,.,.,.,31,1
NLD,01,1843,.,1,9356,O,.,.,.,31,1
NLD,01,1843,.,2,8999,O,.,.,.,31,1
NLD,01,1843,.,3,9250,O,.,.,.,31,1
NLD,01,1843,.,4,7920,O,.,.,.,31,1
NLD,01,1843,.,5,7455,O,.,.,.,31,1
NLD,01,1843,.,6,6760,O,.,.,.,31,1
NLD,01,1843,.,7,7128,O,.,.,.,31,1
NLD,01,1843,.,8,8128,O,.,.,.,31,1
NLD,01,1843,.,9,8882,O,.,.,.,31,1
NLD,01,1843,.,10,9282,O,.,.,.,31,1
NLD,01,1843,.,11,8463,O,.,.,.,31,1
NLD,01,1843,.,12,8716,O,.,.,.,31,1
NLD,01,1843,.,TOT,100339,O,.,.,.,31,1
NLD,01,1844,.,1,9481,O,.,.,.,31,1
NLD,01,1844,.,2,9346,O,.,.,.,31,1
NLD,01,1844,.,3,9677,O,.,.,.,31,1
NLD,01,1844,.,4,8412,O,.,.,.,31,1
NLD,01,1844,.,5,7965,O,.,.,.,31,1
NLD,01,1844,.,6,7154,O,.,.,.,31,1
NLD,01,1844,.,7,7236,O,.,.,.,31,1
NLD,01,1844,.,8,8271,O,.,.,.,31,1
NLD,01,1844,.,9,9000,O,.,.,.,31,1
NLD,01,1844,.,10,9134,O,.,.,.,31,1
