Netherlands,  Exposures (Lexis triangle)	Last modified: 31 Mar 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1850    0      1850    23989.61    25044.14    49033.75
 1850    0      1849    18861.08    19389.42    38250.51
 1850    1      1849    18658.05    19015.93    37673.97
 1850    1      1848    17106.08    17341.28    34447.37
 1850    2      1848    16115.12    16310.51    32425.63
 1850    2      1847    15283.47    15307.44    30590.91
 1850    3      1847    16128.60    16131.37    32259.97
 1850    3      1846    14901.63    15123.77    30025.40
 1850    4      1846    16548.80    16783.62    33332.43
 1850    4      1845    16683.37    16812.12    33495.49
 1850    5      1845    17685.48    17807.94    35493.41
 1850    5      1844    17352.69    17853.19    35205.88
 1850    6      1844    17613.83    18119.64    35733.47
 1850    6      1843    16903.75    17207.74    34111.49
 1850    7      1843    17071.87    17376.57    34448.43
 1850    7      1842    16509.34    16671.11    33180.45
 1850    8      1842    17437.40    17603.89    35041.30
 1850    8      1841    16571.97    17093.29    33665.26
 1850    9      1841    16886.62    17420.61    34307.22
 1850    9      1840    16923.07    17144.82    34067.89
 1850   10      1840    17187.91    17420.53    34608.45
 1850   10      1839    17036.17    17303.17    34339.33
 1850   11      1839    16974.17    17243.50    34217.67
 1850   11      1838    16623.50    16719.50    33343.00
 1850   12      1838    16569.17    16672.17    33241.33
 1850   12      1837    16237.50    16453.67    32691.17
 1850   13      1837    16190.17    16410.33    32600.50
 1850   13      1836    15767.17    16288.33    32055.50
 1850   14      1836    15714.50    16243.33    31957.83
 1850   14      1835    15841.00    15984.83    31825.83
 1850   15      1835    15780.67    15943.17    31723.83
 1850   15      1834    14822.17    14904.83    29727.00
 1850   16      1834    14767.83    14864.50    29632.33
 1850   16      1833    14874.33    15071.17    29945.50
 1850   17      1833    14820.00    15027.50    29847.50
 1850   17      1832    13514.67    13334.67    26849.33
 1850   18      1832    13457.67    13276.00    26733.67
 1850   18      1831    13187.83    13367.50    26555.33
 1850   19      1831    13129.50    13301.17    26430.67
 1850   19      1830    14419.50    14090.33    28509.83
 1850   20      1830    14353.50    14015.33    28368.83
