Norway, Life tables (cohort 5x10), Females	Last modified: 15 Apr 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1846-1849        0      0.10492  0.09787  0.31  100000    9787   93287  5179789  51.80
1846-1849      1-4      0.02397  0.09012  1.33   90213    8130  339118  5086502  56.38
1846-1849      5-9      0.00578  0.02842  2.14   82082    2333  403748  4747384  57.84
1846-1849     10-14     0.00452  0.02238  2.60   79750    1785  394460  4343636  54.47
1846-1849     15-19     0.00519  0.02560  2.47   77965    1996  384777  3949176  50.65
1846-1849     20-24     0.00589  0.02902  2.58   75969    2205  374513  3564399  46.92
1846-1849     25-29     0.00735  0.03611  2.55   73764    2664  362304  3189886  43.24
1846-1849     30-34     0.00769  0.03773  2.53   71100    2682  348866  2827582  39.77
1846-1849     35-39     0.00858  0.04200  2.47   68418    2873  334812  2478715  36.23
1846-1849     40-44     0.00909  0.04444  2.52   65545    2913  320487  2143904  32.71
1846-1849     45-49     0.00897  0.04384  2.47   62632    2746  306209  1823417  29.11
1846-1849     50-54     0.01087  0.05295  2.57   59886    3171  291719  1517208  25.33
1846-1849     55-59     0.01361  0.06589  2.57   56715    3737  274488  1225489  21.61
1846-1849     60-64     0.01935  0.09250  2.63   52978    4900  253284   951001  17.95
1846-1849     65-69     0.02957  0.13822  2.65   48078    6646  224743   697717  14.51
1846-1849     70-74     0.04479  0.20191  2.56   41433    8366  186791   472974  11.42
1846-1849     75-79     0.07130  0.30378  2.57   33067   10045  140893   286183   8.65
1846-1849     80-84     0.11721  0.44978  2.42   23022   10355   88342   145289   6.31
1846-1849     85-89     0.18905  0.62576  2.30   12667    7926   41928    56947   4.50
1846-1849     90-94     0.29816  0.79035  2.03    4740    3747   12566    15020   3.17
1846-1849     95-99     0.38383  0.86774  1.84     994     862    2247     2454   2.47
1846-1849    100-104    0.62108  0.95376  1.37     131     125     202      207   1.57
1846-1849    105-109    1.20000  1.00000  0.83       6       6       5        5   0.83
1846-1849    110+             .        .    .       0       0       0        0      .
1850-1859        0      0.09024  0.08498  0.31  100000    8498   94171  5223353  52.23
1850-1859      1-4      0.02351  0.08888  1.53   91502    8133  345911  5129182  56.06
1850-1859      5-9      0.00799  0.03908  2.20   83369    3258  407720  4783271  57.37
1850-1859     10-14     0.00422  0.02090  2.45   80111    1674  396287  4375550  54.62
1850-1859     15-19     0.00501  0.02475  2.57   78437    1941  387466  3979264  50.73
1850-1859     20-24     0.00633  0.03117  2.57   76496    2384  376678  3591797  46.95
1850-1859     25-29     0.00717  0.03521  2.53   74111    2610  364117  3215120  43.38
1850-1859     30-34     0.00830  0.04066  2.55   71502    2907  350396  2851002  39.87
1850-1859     35-39     0.00876  0.04284  2.49   68595    2938  335606  2500606  36.45
1850-1859     40-44     0.00884  0.04320  2.43   65656    2836  321004  2165000  32.97
1850-1859     45-49     0.00863  0.04225  2.52   62820    2654  307531  1843996  29.35
1850-1859     50-54     0.01039  0.05064  2.52   60166    3047  293265  1536466  25.54
1850-1859     55-59     0.01338  0.06482  2.60   57119    3702  276717  1243200  21.76
