New Zealand -- Maori,  Exposures (Lexis triangle)	Last modified: 03 Jan 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1948    0      1948     1129.63     1190.91     2320.54
 1948    0      1947     1162.40     1216.91     2379.31
 1948    1      1947     1136.05     1191.80     2327.85
 1948    1      1946     1122.33     1176.76     2299.09
 1948    2      1946     1103.69     1156.80     2260.49
 1948    2      1945      914.38      956.34     1870.71
 1948    3      1945      903.63      944.08     1847.70
 1948    3      1944      756.82      791.40     1548.22
 1948    4      1944      748.50      782.88     1531.38
 1948    4      1943      751.55      787.13     1538.67
 1948    5      1943      743.20      780.88     1524.08
 1948    5      1942      786.69      811.56     1598.26
 1948    6      1942      782.69      802.81     1585.50
 1948    6      1941      809.74      827.14     1636.87
 1948    7      1941      802.82      820.22     1623.03
 1948    7      1940      804.68      834.75     1639.44
 1948    8      1940      795.44      827.84     1623.27
 1948    8      1939      784.60      817.21     1601.80
 1948    9      1939      777.94      810.11     1588.05
 1948    9      1938      762.10      784.96     1547.06
 1948   10      1938      755.52      775.62     1531.14
 1948   10      1937      732.02      749.44     1481.46
 1948   11      1937      727.70      743.28     1470.98
 1948   11      1936      704.85      726.75     1431.60
 1948   12      1936      697.78      718.00     1415.78
 1948   12      1935      669.78      709.51     1379.29
 1948   13      1935      663.53      703.27     1366.80
 1948   13      1934      646.47      694.25     1340.71
 1948   14      1934      640.25      688.09     1328.33
 1948   14      1933      649.72      679.43     1329.14
 1948   15      1933      642.89      672.85     1315.73
 1948   15      1932      649.57      649.70     1299.27
 1948   16      1932      643.16      645.37     1288.52
 1948   16      1931      631.83      622.18     1254.01
 1948   17      1931      623.34      615.27     1238.61
 1948   17      1930      591.70      594.77     1186.47
 1948   18      1930      588.29      588.27     1176.56
 1948   18      1929      536.80      561.77     1098.57
 1948   19      1929      530.72      558.02     1088.75
 1948   19      1928      496.83      529.53     1026.36
 1948   20      1928      490.51      520.13     1010.64
 1948   20      1927      486.99      492.45      979.44
 1948   21      1927      480.98      482.98      963.96
 1948   21      1926      479.00      452.13      931.13
 1948   22      1926      473.10      446.08      919.18
 1948   22      1925      456.93      416.54      873.46
 1948   23      1925      453.10      417.69      870.79
 1948   23      1924      441.91      409.84      851.75
 1948   24      1924      433.17      417.84      851.00
 1948   24      1923      421.84      417.18      839.02
 1948   25      1923      418.02      422.93      840.95
 1948   25      1922      404.51      412.12      816.63
 1948   26      1922      400.43      413.21      813.64
 1948   26      1921      394.58      399.37      793.94
 1948   27      1921      390.17      400.27      790.44
 1948   27      1920      379.86      387.28      767.13
 1948   28      1920      375.61      385.37      760.97
 1948   28      1919      351.95      359.72      711.66
 1948   29      1919      348.03      360.30      708.33
 1948   29      1918      334.50      339.77      674.27
 1948   30      1918      330.58      335.53      666.11
 1948   30      1917      334.40      332.00      666.40
 1948   31      1917      330.15      327.75      657.90
 1948   31      1916      339.82      329.75      669.57
 1948   32      1916      340.15      327.75      667.90
 1948   32      1915      334.86      324.77      659.63
 1948   33      1915      330.36      320.27      650.63
 1948   33      1914      302.21      309.77      611.98
 1948   34      1914      300.21      307.52      607.73
 1948   34      1913      279.85      302.50      582.34
 1948   35      1913      275.26      297.91      573.17
 1948   35      1912      269.75      297.09      566.83
 1948   36      1912      265.41      293.09      558.50
 1948   36      1911      264.58      296.90      561.47
 1948   37      1911      260.33      292.73      553.06
 1948   37      1910      259.66      299.75      559.41
 1948   38      1910      257.92      295.42      553.34
 1948   38      1909      247.10      287.10      534.20
 1948   39      1909      242.85      282.77      525.62
 1948   39      1908      237.16      277.25      514.40
 1948   40      1908      233.07      272.74      505.82
 1948   40      1907      239.39      272.25      511.64
 1948   41      1907      235.48      267.83      503.32
 1948   41      1906      239.49      262.17      501.66
 1948   42      1906      237.84      258.41      496.25
 1948   42      1905      217.21      239.11      456.32
 1948   43      1905      217.72      235.45      453.17
 1948   43      1904      187.37      207.11      394.48
 1948   44      1904      183.11      202.78      385.90
 1948   44      1903      174.39      194.73      369.12
 1948   45      1903      172.74      190.31      363.06
 1948   45      1902      169.76      189.68      359.44
 1948   46      1902      165.51      185.18      350.69
 1948   46      1901      166.97      194.79      361.76
 1948   47      1901      165.14      192.79      357.93
 1948   47      1900      174.83      207.16      381.99
 1948   48      1900      170.17      203.07      373.23
 1948   48      1899      149.89      184.46      334.35
 1948   49      1899      147.73      180.63      328.35
 1948   49      1898      124.83      161.90      286.73
 1948   50      1898      125.41      158.56      283.97
 1948   50      1897      132.05      171.36      303.42
 1948   51      1897      130.14      167.63      297.77
 1948   51      1896      144.82      182.33      327.14
 1948   52      1896      140.65      177.82      318.47
 1948   52      1895      134.35      162.21      296.56
 1948   53      1895      132.70      157.88      290.58
 1948   53      1894      104.87      127.20      232.07
 1948   54      1894      102.88      123.27      226.15
 1948   54      1893       82.17      111.73      193.90
 1948   55      1893       83.16      108.07      191.23
 1948   55      1892       79.32      109.41      188.73
 1948   56      1892       75.49      107.82      183.32
 1948   56      1891       76.99      109.66      186.65
 1948   57      1891       72.91      105.49      178.40
 1948   57      1890       77.07      106.99      184.06
 1948   58      1890       75.49      103.23      178.73
 1948   58      1889       76.99      106.73      183.72
 1948   59      1889       75.41      103.07      178.48
 1948   59      1888       74.58      104.41      178.98
 1948   60      1888       72.75      100.74      173.49
