New Zealand -- Non-Maori,  Exposures (Lexis triangle)	Last modified: 03 Jan 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1901    0      1901     4851.92     5052.18     9904.10
 1901    0      1900     4784.15     5015.23     9799.38
 1901    1      1900     4707.79     4917.71     9625.49
 1901    1      1899     4449.68     4620.96     9070.65
 1901    2      1899     4430.19     4595.70     9025.89
 1901    2      1898     4192.75     4358.96     8551.70
 1901    3      1898     4183.08     4343.21     8526.29
 1901    3      1897     3952.09     4106.72     8058.81
 1901    4      1897     3943.62     4095.26     8038.89
 1901    4      1896     3893.50     4030.42     7923.92
 1901    5      1896     3886.94     4021.49     7908.42
 1901    5      1895     4099.00     4191.83     8290.83
 1901    6      1895     4093.19     4184.51     8277.70
 1901    6      1894     4166.33     4258.18     8424.51
 1901    7      1894     4160.88     4252.05     8412.92
 1901    7      1893     4266.52     4357.44     8623.97
 1901    8      1893     4261.49     4352.19     8613.68
 1901    8      1892     4398.14     4488.66     8886.79
 1901    9      1892     4393.58     4483.98     8877.55
 1901    9      1891     4342.99     4435.47     8778.46
 1901   10      1891     4338.99     4431.10     8770.10
 1901   10      1890     4074.62     4174.87     8249.49
 1901   11      1890     4070.91     4170.45     8241.36
 1901   11      1889     4102.39     4202.72     8305.12
 1901   12      1889     4098.71     4198.06     8296.77
 1901   12      1888     4219.83     4322.83     8542.66
 1901   13      1888     4215.80     4317.70     8533.50
 1901   13      1887     4371.10     4478.27     8849.37
 1901   14      1887     4366.37     4472.45     8838.82
 1901   14      1886     4425.44     4528.89     8954.33
 1901   15      1886     4419.66     4522.25     8941.92
 1901   15      1885     4228.15     4296.73     8524.88
 1901   16      1885     4221.20     4289.08     8510.28
 1901   16      1884     4266.56     4336.86     8603.42
 1901   17      1884     4258.48     4328.33     8586.80
 1901   17      1883     4289.90     4361.70     8651.59
 1901   18      1883     4280.79     4352.37     8633.16
 1901   18      1882     4329.11     4401.95     8731.06
 1901   19      1882     4319.08     4391.93     8711.00
 1901   19      1881     4412.00     4478.61     8890.62
 1901   20      1881     4401.06     4467.78     8868.84
 1901   20      1880     4486.44     4519.93     9006.37
 1901   21      1880     4474.94     4508.91     8983.85
 1901   21      1879     4386.75     4415.76     8802.50
 1901   22      1879     4374.87     4404.58     8779.44
 1901   22      1878     4229.64     4254.48     8484.11
 1901   23      1878     4217.65     4243.40     8461.05
 1901   23      1877     4024.72     4045.73     8070.44
 1901   24      1877     4012.89     4035.01     8047.90
 1901   24      1876     3768.35     3849.02     7617.38
 1901   25      1876     3756.90     3838.86     7595.76
 1901   25      1875     3531.70     3796.88     7328.57
 1901   26      1875     3520.76     3787.42     7308.18
 1901   26      1874     3372.03     3628.28     7000.31
 1901   27      1874     3361.56     3619.37     6980.93
 1901   27      1873     3269.22     3520.29     6789.51
 1901   28      1873     3259.13     3511.81     6770.94
 1901   28      1872     3198.36     3445.72     6644.08
 1901   29      1872     3188.59     3437.52     6626.11
 1901   29      1871     3126.49     3385.54     6512.03
 1901   30      1871     3116.97     3377.53     6494.50
 1901   30      1870     2998.29     3296.36     6294.65
 1901   31      1870     2989.00     3288.31     6277.31
 1901   31      1869     2859.45     3143.98     6003.43
 1901   32      1869     2850.42     3135.75     5986.17
 1901   32      1868     2711.46     2982.25     5693.71
 1901   33      1868     2702.71     2973.67     5676.38
 1901   33      1867     2561.97     2819.64     5381.61
 1901   34      1867     2553.54     2810.53     5364.07
 1901   34      1866     2416.08     2687.16     5103.24
 1901   35      1866     2408.02     2677.48     5085.49
 1901   35      1865     2291.60     2629.54     4921.14
 1901   36      1865     2283.76     2619.21     4902.97
 1901   36      1864     2182.94     2507.45     4690.39
 1901   37      1864     2175.16     2496.86     4672.02
 1901   37      1863     2090.37     2402.94     4493.31
 1901   38      1863     2082.46     2392.46     4474.92
 1901   38      1862     2014.72     2317.25     4331.97
 1901   39      1862     2006.46     2307.24     4313.70
 1901   39      1861     1936.21     2271.34     4207.55
 1901   40      1861     1927.44     2262.12     4189.57
 1901   40      1860     1816.97     2259.83     4076.80
 1901   41      1860     1807.73     2251.26     4058.98
 1901   41      1859     1773.97     2209.01     3982.98
 1901   42      1859     1764.46     2200.73     3965.19
 1901   42      1858     1727.30     2155.08     3882.38
 1901   43      1858     1717.77     2146.62     3864.38
 1901   43      1857     1684.48     2106.96     3791.45
 1901   44      1857     1675.19     2097.83     3773.02
 1901   44      1856     1617.19     2068.81     3686.00
 1901   45      1856     1608.35     2058.62     3666.97
 1901   45      1855     1502.16     2045.54     3547.71
 1901   46      1855     1493.76     2034.11     3527.87
 1901   46      1854     1452.81     1983.74     3436.55
 1901   47      1854     1444.62     1971.26     3415.88
 1901   47      1853     1397.81     1912.94     3310.75
 1901   48      1853     1389.59     1899.63     3289.22
 1901   48      1852     1330.48     1824.24     3154.72
 1901   49      1852     1321.95     1810.33     3132.29
 1901   49      1851     1278.41     1725.25     3003.65
 1901   50      1851     1269.36     1710.94     2980.30
 1901   50      1850     1281.32     1643.98     2925.30
 1901   51      1850     1271.68     1629.40     2901.07
 1901   51      1849     1221.10     1568.78     2789.87
 1901   52      1849     1210.99     1553.93     2764.92
 1901   52      1848     1176.10     1513.37     2689.46
 1901   53      1848     1165.70     1498.24     2663.93
 1901   53      1847     1140.40     1470.62     2611.02
 1901   54      1847     1129.86     1455.20     2585.06
