PopName,Area,Year,YearReg,Month,Births,Access, NoteCode1, NoteCode2, NoteCode3,RefCode,LDB
POL,10,1985,1985,1,59152,O,.,.,.,45,1
POL,10,1985,1985,2,53935,O,.,.,.,45,1
POL,10,1985,1985,3,62618,O,.,.,.,45,1
POL,10,1985,1985,4,59155,O,.,.,.,45,1
POL,10,1985,1985,5,60280,O,.,.,.,45,1
POL,10,1985,1985,6,56525,O,.,.,.,45,1
POL,10,1985,1985,7,60415,O,.,.,.,45,1
POL,10,1985,1985,8,57046,O,.,.,.,45,1
POL,10,1985,1985,9,55343,O,.,.,.,45,1
POL,10,1985,1985,10,52532,O,.,.,.,45,1
POL,10,1985,1985,11,49275,O,.,.,.,45,1
POL,10,1985,1985,12,49488,O,.,.,.,45,1
POL,10,1985,1985,TOT,675764,O,.,.,.,45,1
POL,10,1986,1986,1,54988,O,.,.,.,45,1
POL,10,1986,1986,2,51205,O,.,.,.,45,1
POL,10,1986,1986,3,57570,O,.,.,.,45,1
POL,10,1986,1986,4,56989,O,.,.,.,45,1
POL,10,1986,1986,5,55758,O,.,.,.,45,1
POL,10,1986,1986,6,53381,O,.,.,.,45,1
POL,10,1986,1986,7,56735,O,.,.,.,45,1
POL,10,1986,1986,8,52855,O,.,.,.,45,1
POL,10,1986,1986,9,51615,O,.,.,.,45,1
POL,10,1986,1986,10,49467,O,.,.,.,45,1
POL,10,1986,1986,11,45200,O,.,.,.,45,1
POL,10,1986,1986,12,47583,O,.,.,.,45,1
POL,10,1986,1986,TOT,633346,O,.,.,.,45,1
POL,10,1987,1987,1,51317,O,.,.,.,45,1
POL,10,1987,1987,2,47452,O,.,.,.,45,1
POL,10,1987,1987,3,52563,O,.,.,.,45,1
POL,10,1987,1987,4,51152,O,.,.,.,45,1
POL,10,1987,1987,5,52688,O,.,.,.,45,1
POL,10,1987,1987,6,53829,O,.,.,.,45,1
POL,10,1987,1987,7,56072,O,.,.,.,45,1
POL,10,1987,1987,8,52148,O,.,.,.,45,1
POL,10,1987,1987,9,48234,O,.,.,.,45,1
POL,10,1987,1987,10,46390,O,.,.,.,45,1
POL,10,1987,1987,11,45515,O,.,.,.,45,1
POL,10,1987,1987,12,47293,O,.,.,.,45,1
POL,10,1987,1987,TOT,604653,O,.,.,.,45,1
POL,10,1988,1988,1,51477,O,.,.,.,45,1
POL,10,1988,1988,2,48677,O,.,.,.,45,1
POL,10,1988,1988,3,54062,O,.,.,.,45,1
POL,10,1988,1988,4,50099,O,.,.,.,45,1
POL,10,1988,1988,5,53191,O,.,.,.,45,1
POL,10,1988,1988,6,49686,O,.,.,.,45,1
POL,10,1988,1988,7,51824,O,.,.,.,45,1
POL,10,1988,1988,8,49639,O,.,.,.,45,1
POL,10,1988,1988,9,47855,O,.,.,.,45,1
POL,10,1988,1988,10,45716,O,.,.,.,45,1
POL,10,1988,1988,11,43347,O,.,.,.,45,1
POL,10,1988,1988,12,44399,O,.,.,.,45,1
POL,10,1988,1988,TOT,589972,O,.,.,.,45,1
POL,10,1989,1989,1,49114,O,.,.,.,45,1
POL,10,1989,1989,2,45695,O,.,.,.,45,1
POL,10,1989,1989,3,49581,O,.,.,.,45,1
POL,10,1989,1989,4,47404,O,.,.,.,45,1
POL,10,1989,1989,5,49148,O,.,.,.,45,1
POL,10,1989,1989,6,48250,O,.,.,.,45,1
POL,10,1989,1989,7,50133,O,.,.,.,45,1
POL,10,1989,1989,8,47795,O,.,.,.,45,1
POL,10,1989,1989,9,46531,O,.,.,.,45,1
POL,10,1989,1989,10,45395,O,.,.,.,45,1
POL,10,1989,1989,11,41976,O,.,.,.,45,1
POL,10,1989,1989,12,44632,O,.,.,.,45,1
POL,10,1989,1989,TOT,565654,O,.,.,.,45,1
POL,10,1990,1990,1,48410,O,.,.,.,45,1
POL,10,1990,1990,2,44036,O,.,.,.,45,1
POL,10,1990,1990,3,48942,O,.,.,.,45,1
POL,10,1990,1990,4,45462,O,.,.,.,45,1
POL,10,1990,1990,5,47525,O,.,.,.,45,1
POL,10,1990,1990,6,45557,O,.,.,.,45,1
POL,10,1990,1990,7,48992,O,.,.,.,45,1
POL,10,1990,1990,8,48192,O,.,.,.,45,1
POL,10,1990,1990,9,45388,O,.,.,.,45,1
POL,10,1990,1990,10,42347,O,.,.,.,45,1
POL,10,1990,1990,11,41247,O,.,.,.,45,1
POL,10,1990,1990,12,42676,O,.,.,.,45,1
POL,10,1990,1990,TOT,548774,O,.,.,.,45,1
POL,10,1991,1991,1,49364,O,.,.,.,45,1
POL,10,1991,1991,2,43096,O,.,.,.,45,1
POL,10,1991,1991,3,49111,O,.,.,.,45,1
POL,10,1991,1991,4,46045,O,.,.,.,45,1
POL,10,1991,1991,5,47918,O,.,.,.,45,1
POL,10,1991,1991,6,46218,O,.,.,.,45,1
POL,10,1991,1991,7,48909,O,.,.,.,45,1
POL,10,1991,1991,8,46249,O,.,.,.,45,1
POL,10,1991,1991,9,45086,O,.,.,.,45,1
POL,10,1991,1991,10,42837,O,.,.,.,45,1
POL,10,1991,1991,11,39805,O,.,.,.,45,1
POL,10,1991,1991,12,40543,O,.,.,.,45,1
POL,10,1991,1991,TOT,545181,O,.,.,.,45,1
POL,10,1992,1992,1,43868,O,.,.,.,45,1
POL,10,1992,1992,2,42108,O,.,.,.,45,1
POL,10,1992,1992,3,45992,O,.,.,.,45,1
POL,10,1992,1992,4,43283,O,.,.,.,45,1
POL,10,1992,1992,5,43488,O,.,.,.,45,1
POL,10,1992,1992,6,43929,O,.,.,.,45,1
POL,10,1992,1992,7,46472,O,.,.,.,45,1
POL,10,1992,1992,8,43707,O,.,.,.,45,1
POL,10,1992,1992,9,42632,O,.,.,.,45,1
POL,10,1992,1992,10,40436,O,.,.,.,45,1
POL,10,1992,1992,11,37987,O,.,.,.,45,1
POL,10,1992,1992,12,38900,O,.,.,.,45,1
POL,10,1992,1992,TOT,512802,O,.,.,.,45,1
POL,10,1993,1993,1,43412,O,.,.,.,45,1
POL,10,1993,1993,2,38957,O,.,.,.,45,1
POL,10,1993,1993,3,44078,O,.,.,.,45,1
POL,10,1993,1993,4,41390,O,.,.,.,45,1
POL,10,1993,1993,5,41439,O,.,.,.,45,1
POL,10,1993,1993,6,41253,O,.,.,.,45,1
POL,10,1993,1993,7,44555,O,.,.,.,45,1
POL,10,1993,1993,8,41968,O,.,.,.,45,1
POL,10,1993,1993,9,41395,O,.,.,.,45,1
POL,10,1993,1993,10,39548,O,.,.,.,45,1
POL,10,1993,1993,11,36574,O,.,.,.,45,1
POL,10,1993,1993,12,37355,O,.,.,.,45,1
POL,10,1993,1993,TOT,491924,O,.,.,.,45,1
POL,10,1994,1994,1,41729,O,.,.,.,45,1
POL,10,1994,1994,2,38023,O,.,.,.,45,1
POL,10,1994,1994,3,43398,O,.,.,.,45,1
POL,10,1994,1994,4,41910,O,.,.,.,45,1
POL,10,1994,1994,5,42043,O,.,.,.,45,1
POL,10,1994,1994,6,40304,O,.,.,.,45,1
POL,10,1994,1994,7,41549,O,.,.,.,45,1
POL,10,1994,1994,8,39302,O,.,.,.,45,1
POL,10,1994,1994,9,38775,O,.,.,.,45,1
POL,10,1994,1994,10,36378,O,.,.,.,45,1
POL,10,1994,1994,11,33900,O,.,.,.,45,1
POL,10,1994,1994,12,34324,O,.,.,.,45,1
POL,10,1994,1994,TOT,471635,O,.,.,.,45,1
POL,10,1995,1995,1,38589,O,.,.,.,45,1
POL,10,1995,1995,2,35432,O,.,.,.,45,1
POL,10,1995,1995,3,39862,O,.,.,.,45,1
POL,10,1995,1995,4,36522,O,.,.,.,45,1
POL,10,1995,1995,5,37132,O,.,.,.,45,1
POL,10,1995,1995,6,37362,O,.,.,.,45,1
POL,10,1995,1995,7,40643,O,.,.,.,45,1
POL,10,1995,1995,8,37794,O,.,.,.,45,1
POL,10,1995,1995,9,37099,O,.,.,.,45,1
POL,10,1995,1995,10,35687,O,.,.,.,45,1
POL,10,1995,1995,11,33327,O,.,.,.,45,1
POL,10,1995,1995,12,32254,O,.,.,.,45,1
POL,10,1995,1995,TOT,441703,O,.,.,.,45,1
POL,10,1996,1996,1,36488,O,.,.,.,45,1
POL,10,1996,1996,2,34162,O,.,.,.,45,1
POL,10,1996,1996,3,37385,O,.,.,.,45,1
POL,10,1996,1996,4,36673,O,.,.,.,45,1
POL,10,1996,1996,5,37701,O,.,.,.,45,1
POL,10,1996,1996,6,36345,O,.,.,.,45,1
POL,10,1996,1996,7,39478,O,.,.,.,45,1
POL,10,1996,1996,8,37110,O,.,.,.,45,1
POL,10,1996,1996,9,35798,O,.,.,.,45,1
POL,10,1996,1996,10,33766,O,.,.,.,45,1
POL,10,1996,1996,11,31854,O,.,.,.,45,1
POL,10,1996,1996,12,31779,O,.,.,.,45,1
POL,10,1996,1996,TOT,428539,O,.,.,.,45,1
POL,10,1997,1997,1,37049,O,.,.,.,45,1
POL,10,1997,1997,2,32575,O,.,.,.,45,1
POL,10,1997,1997,3,35352,O,.,.,.,45,1
POL,10,1997,1997,4,36403,O,.,.,.,45,1
POL,10,1997,1997,5,36300,O,.,.,.,45,1
POL,10,1997,1997,6,34621,O,.,.,.,45,1
POL,10,1997,1997,7,37089,O,.,.,.,45,1
POL,10,1997,1997,8,35017,O,.,.,.,45,1
POL,10,1997,1997,9,34679,O,.,.,.,45,1
POL,10,1997,1997,10,32001,O,.,.,.,45,1
POL,10,1997,1997,11,28684,O,.,.,.,45,1
POL,10,1997,1997,12,30934,O,.,.,.,45,1
POL,10,1997,1997,TOT,410704,O,.,.,.,45,1
POL,10,1998,1998,1,33501,O,.,.,.,45,1
POL,10,1998,1998,2,30670,O,.,.,.,45,1
POL,10,1998,1998,3,34999,O,.,.,.,45,1
POL,10,1998,1998,4,33612,O,.,.,.,45,1
POL,10,1998,1998,5,34191,O,.,.,.,45,1
POL,10,1998,1998,6,32952,O,.,.,.,45,1
POL,10,1998,1998,7,36345,O,.,.,.,45,1
POL,10,1998,1998,8,34111,O,.,.,.,45,1
POL,10,1998,1998,9,34209,O,.,.,.,45,1
POL,10,1998,1998,10,30806,O,.,.,.,45,1
POL,10,1998,1998,11,29146,O,.,.,.,45,1
POL,10,1998,1998,12,29126,O,.,.,.,45,1
POL,10,1998,1998,TOT,393668,O,.,.,.,45,1
POL,10,1999,1999,1,32670,O,.,.,.,45,1
POL,10,1999,1999,2,29559,O,.,.,.,45,1
POL,10,1999,1999,3,33617,O,.,.,.,45,1
POL,10,1999,1999,4,32052,O,.,.,.,45,1
POL,10,1999,1999,5,32899,O,.,.,.,45,1
POL,10,1999,1999,6,32976,O,.,.,.,45,1
POL,10,1999,1999,7,34559,O,.,.,.,45,1
POL,10,1999,1999,8,33442,O,.,.,.,45,1
POL,10,1999,1999,9,33446,O,.,.,.,45,1
POL,10,1999,1999,10,28942,O,.,.,.,45,1
POL,10,1999,1999,11,27369,O,.,.,.,45,1
POL,10,1999,1999,12,30112,O,.,.,.,45,1
POL,10,1999,1999,TOT,381643,O,.,.,.,45,1
POL,10,2000,2000,1,34009,O,.,.,.,45,1
POL,10,2000,2000,2,30976,O,.,.,.,45,1
POL,10,2000,2000,3,32854,O,.,.,.,45,1
POL,10,2000,2000,4,31298,O,.,.,.,45,1
POL,10,2000,2000,5,32929,O,.,.,.,45,1
POL,10,2000,2000,6,32368,O,.,.,.,45,1
POL,10,2000,2000,7,33535,O,.,.,.,45,1
POL,10,2000,2000,8,32951,O,.,.,.,45,1
POL,10,2000,2000,9,32624,O,.,.,.,45,1
POL,10,2000,2000,10,30068,O,.,.,.,45,1
POL,10,2000,2000,11,27562,O,.,.,.,45,1
POL,10,2000,2000,12,27847,O,.,.,.,45,1
POL,10,2000,2000,TOT,379021,O,.,.,.,45,1
POL,20,2001,2001,1,33354,O,.,.,.,45,1
POL,20,2001,2001,2,28081,O,.,.,.,45,1
POL,20,2001,2001,3,32338,O,.,.,.,45,1
POL,20,2001,2001,4,31650,O,.,.,.,45,1
POL,20,2001,2001,5,32312,O,.,.,.,45,1
POL,20,2001,2001,6,30478,O,.,.,.,45,1
POL,20,2001,2001,7,33060,O,.,.,.,45,1
POL,20,2001,2001,8,31606,O,.,.,.,45,1
POL,20,2001,2001,9,31350,O,.,.,.,45,1
POL,20,2001,2001,10,29939,O,.,.,.,45,1
POL,20,2001,2001,11,26953,O,.,.,.,45,1
POL,20,2001,2001,12,26906,O,.,.,.,45,1
POL,20,2001,2001,TOT,368027,O,.,.,.,45,1
POL,20,2002,2002,1,30824,O,.,.,.,45,1
POL,20,2002,2002,2,27437,O,.,.,.,45,1
