Poland,  Exposures (Lexis triangle)	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1958    0      1958   178148.75   187674.63   365823.38
 1958    0      1957   178758.26   187230.22   365988.48
 1958    1      1957   176467.54   184281.33   360748.86
 1958    1      1956   175459.77   183735.91   359195.68
 1958    2      1956   175138.58   183361.87   358500.45
 1958    2      1955   178357.75   186976.28   365334.03
 1958    3      1955   178191.81   186771.23   364963.04
 1958    3      1954   173420.75   180302.61   353723.36
 1958    4      1954   173307.57   180149.32   353456.89
 1958    4      1953   173166.52   180124.68   353291.20
 1958    5      1953   173073.03   180004.79   353077.82
 1958    5      1952   170805.61   178069.78   348875.39
 1958    6      1952   170735.83   177965.92   348701.75
 1958    6      1951   168442.60   174476.28   342918.88
 1958    7      1951   168375.82   174377.09   342752.91
 1958    7      1950   165704.39   172664.71   338369.10
 1958    8      1950   165650.30   172580.88   338231.18
 1958    8      1949   154663.34   160334.17   314997.51
 1958    9      1949   154626.95   160263.37   314890.32
 1958    9      1948   153315.18   159439.00   312754.17
 1958   10      1948   153273.78   159371.87   312645.65
 1958   10      1947   142653.83   147819.64   290473.47
 1958   11      1947   142617.44   147757.86   290375.29
 1958   11      1946   132302.50   135632.94   267935.43
 1958   12      1946   132264.10   135576.50   267840.60
 1958   12      1945    97233.31    99822.08   197055.39
 1958   13      1945    97203.26    99775.00   196978.26
 1958   13      1944    96929.13    98678.09   195607.22
 1958   14      1944    96900.75    98636.01   195536.76
 1958   14      1943    93379.98    94987.44   188367.42
 1958   15      1943    93345.59    94933.01   188278.59
 1958   15      1942    93710.83    95441.04   189151.87
 1958   16      1942    93677.44    95378.58   189056.03
 1958   16      1941    98235.03   100825.40   199060.43
 1958   17      1941    98192.63   100756.61   198949.24
 1958   17      1940   106164.39   109941.21   216105.60
 1958   18      1940   106117.65   109842.03   215959.67
 1958   18      1939   106784.59   112831.81   219616.40
 1958   19      1939   106727.49   112710.25   219437.75
 1958   19      1938   108420.95   112597.53   221018.49
 1958   20      1938   108353.85   112449.25   220803.10
 1958   20      1937   110257.61   112593.25   222850.86
 1958   21      1937   110195.84   112434.62   222630.46
 1958   21      1936   114618.34   114628.73   229247.06
 1958   22      1936   114542.55   114480.11   229022.66
 1958   22      1935   114569.01   115088.90   229657.91
 1958   23      1935   114495.22   114940.28   229435.51
 1958   23      1934   112923.85   113126.77   226050.62
 1958   24      1934   112842.72   112974.48   225817.20
 1958   24      1933   112015.39   112996.91   225012.29
 1958   25      1933   111926.58   112845.62   224772.20
 1958   25      1932   118941.92   119215.50   238157.42
 1958   26      1932   118848.43   119038.83   237887.26
 1958   26      1931   119404.93   120993.34   240398.27
 1958   27      1931   119307.11   120825.36   240132.46
 1958   27      1930   127360.48   127714.20   255074.69
 1958   28      1930   127255.65   127540.88   254796.52
 1958   28      1929   119990.97   119311.54   239302.51
 1958   29      1929   119885.13   119133.54   239018.67
 1958   29      1928   120426.35   117029.29   237455.64
 1958   30      1928   120307.16   116832.59   237139.74
 1958   30      1927   113650.98   106950.86   220601.85
 1958   31      1927   113539.80   106778.20   220318.01
 1958   31      1926   116396.51   103799.19   220195.70
 1958   32      1926   116292.34   103624.86   219917.20
