Portugal, Death rates (cohort 5x10), 	Last modified: 01 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1860-1869        0                    .               .               .
1860-1869      1-4                    .               .               .
1860-1869      5-9                    .               .               .
1860-1869     10-14                   .               .               .
1860-1869     15-19                   .               .               .
1860-1869     20-24                   .               .               .
1860-1869     25-29                   .               .               .
1860-1869     30-34                   .               .               .
1860-1869     35-39                   .               .               .
1860-1869     40-44                   .               .               .
1860-1869     45-49                   .               .               .
1860-1869     50-54                   .               .               .
1860-1869     55-59                   .               .               .
1860-1869     60-64                   .               .               .
1860-1869     65-69                   .               .               .
1860-1869     70-74                   .               .               .
1860-1869     75-79            0.107711        0.141747        0.120751
1860-1869     80-84            0.131464        0.169867        0.144172
1860-1869     85-89            0.201677        0.251942        0.215847
1860-1869     90-94            0.288725        0.352107        0.303132
1860-1869     95-99            0.404118        0.467142        0.414729
1860-1869    100-104           0.512672        0.605164        0.524332
1860-1869    105-109           0.488165              .        0.488165
1860-1869    110+              0.354191              .        0.354191
1870-1879        0                    .               .               .
1870-1879      1-4                    .               .               .
1870-1879      5-9                    .               .               .
1870-1879     10-14                   .               .               .
1870-1879     15-19                   .               .               .
1870-1879     20-24                   .               .               .
1870-1879     25-29                   .               .               .
1870-1879     30-34                   .               .               .
1870-1879     35-39                   .               .               .
1870-1879     40-44                   .               .               .
1870-1879     45-49                   .               .               .
1870-1879     50-54                   .               .               .
1870-1879     55-59                   .               .               .
1870-1879     60-64                   .               .               .
1870-1879     65-69            0.035703        0.052931        0.043021
1870-1879     70-74            0.051500        0.071584        0.059628
1870-1879     75-79            0.083288        0.109929        0.093427
1870-1879     80-84            0.125130        0.161042        0.137072
1870-1879     85-89            0.200200        0.246112        0.213371
1870-1879     90-94            0.280814        0.342991        0.295398
1870-1879     95-99            0.412625        0.440559        0.418022
1870-1879    100-104           0.503967        0.466427        0.495780
1870-1879    105-109           0.874733        0.767591        0.849504
1870-1879    110+                    .              .              .
1880-1889        0                    .               .               .
1880-1889      1-4                    .               .               .
1880-1889      5-9                    .               .               .
1880-1889     10-14                   .               .               .
1880-1889     15-19                   .               .               .
1880-1889     20-24                   .               .               .
1880-1889     25-29                   .               .               .
1880-1889     30-34                   .               .               .
1880-1889     35-39                   .               .               .
1880-1889     40-44                   .               .               .
1880-1889     45-49                   .               .               .
1880-1889     50-54                   .               .               .
1880-1889     55-59            0.013512        0.022779        0.017587
1880-1889     60-64            0.017953        0.028461        0.022444
1880-1889     65-69            0.026467        0.040562        0.032333
1880-1889     70-74            0.044455        0.063482        0.052116
1880-1889     75-79            0.077907        0.103077        0.087501
1880-1889     80-84            0.120371        0.158752        0.133162
1880-1889     85-89            0.194472        0.238251        0.207113
1880-1889     90-94            0.275885        0.322954        0.287323
1880-1889     95-99            0.371070        0.428253        0.382398
1880-1889    100-104           0.489314        0.607950        0.506688
1880-1889    105-109           0.798593        1.745057        0.832850
1880-1889    110+                    .              .              .
1890-1899        0                    .               .               .
1890-1899      1-4                    .               .               .
1890-1899      5-9                    .               .               .
1890-1899     10-14                   .               .               .
1890-1899     15-19                   .               .               .
1890-1899     20-24                   .               .               .
1890-1899     25-29                   .               .               .
1890-1899     30-34                   .               .               .
1890-1899     35-39                   .               .               .
1890-1899     40-44                   .               .               .
1890-1899     45-49            0.007242        0.012728        0.009745
1890-1899     50-54            0.007875        0.013915        0.010575
1890-1899     55-59            0.009828        0.017610        0.013259
1890-1899     60-64            0.014471        0.025235        0.019138
1890-1899     65-69            0.023610        0.039120        0.030158
1890-1899     70-74            0.043535        0.066195        0.052694
1890-1899     75-79            0.077775        0.108092        0.089198
1890-1899     80-84            0.110077        0.146766        0.122382
1890-1899     85-89            0.168173        0.208887        0.180102
1890-1899     90-94            0.247128        0.292288        0.258421
1890-1899     95-99            0.345770        0.388675        0.354796
1890-1899    100-104           0.485739        0.542464        0.495406
1890-1899    105-109           0.628535        0.622763        0.627755
1890-1899    110+              0.409091        0.500000        0.428571
1900-1909        0                    .               .               .
1900-1909      1-4                    .               .               .
1900-1909      5-9                    .               .               .
1900-1909     10-14                   .               .               .
1900-1909     15-19                   .               .               .
1900-1909     20-24                   .               .               .
1900-1909     25-29                   .               .               .
1900-1909     30-34                   .               .               .
1900-1909     35-39            0.005438        0.007825        0.006563
1900-1909     40-44            0.004760        0.007833        0.006192
1900-1909     45-49            0.004853        0.008575        0.006574
1900-1909     50-54            0.005877        0.010668        0.008075
1900-1909     55-59            0.008128        0.015780        0.011592
1900-1909     60-64            0.013020        0.024615        0.018156
1900-1909     65-69            0.021375        0.038275        0.028628
1900-1909     70-74            0.035349        0.058110        0.044661
1900-1909     75-79            0.058071        0.088130        0.069537
1900-1909     80-84            0.091751        0.124958        0.103260
1900-1909     85-89            0.147915        0.188510        0.160347
1900-1909     90-94            0.228701        0.279348        0.241897
1900-1909     95-99            0.327390        0.391936        0.340776
1900-1909    100-104           0.438809        0.536623        0.453742
1900-1909    105-109           0.529736        0.601415        0.536646
1900-1909    110+              0.805341              .        0.805341
1910-1919        0                    .               .               .
1910-1919      1-4                    .               .               .
1910-1919      5-9                    .               .               .
1910-1919     10-14                   .               .               .
1910-1919     15-19                   .               .               .
1910-1919     20-24                   .               .               .
1910-1919     25-29            0.004741        0.005595        0.005162
1910-1919     30-34            0.003821        0.005083        0.004433
1910-1919     35-39            0.003197        0.004839        0.003988
1910-1919     40-44            0.002963        0.005134        0.004004
1910-1919     45-49            0.003594        0.006850        0.005143
1910-1919     50-54            0.005184        0.010227        0.007562
1910-1919     55-59            0.007394        0.015064        0.010971
1910-1919     60-64            0.010958        0.022239        0.016127
1910-1919     65-69            0.016462        0.031730        0.023275
1910-1919     70-74            0.027029        0.048227        0.036119
1910-1919     75-79            0.047320        0.074707        0.058384
1910-1919     80-84            0.077171        0.111756        0.089849
1910-1919     85-89            0.127706        0.170549        0.141555
1910-1919     90-94            0.198840        0.249642        0.212764
1910-1919     95-99            0.295725        0.358305        0.309563
1910-1919    100-104           0.431828        0.519264        0.446147
1910-1919    105-109                  .               .               .
1910-1919    110+                     .               .               .
1920-1929        0                    .               .               .
1920-1929      1-4                    .               .               .
1920-1929      5-9                    .               .               .
1920-1929     10-14                   .               .               .
1920-1929     15-19            0.003652        0.003817        0.003735
1920-1929     20-24            0.003603        0.004532        0.004064
1920-1929     25-29            0.002527        0.003427        0.002969
1920-1929     30-34            0.001830        0.002849        0.002324
1920-1929     35-39            0.001946        0.003459        0.002672
1920-1929     40-44            0.002411        0.004704        0.003504
1920-1929     45-49            0.003298        0.006719        0.004917
1920-1929     50-54            0.004513        0.009591        0.006904
1920-1929     55-59            0.006121        0.013311        0.009481
1920-1929     60-64            0.008748        0.019070        0.013500
1920-1929     65-69            0.013425        0.028073        0.020008
1920-1929     70-74            0.022335        0.041780        0.030756
1920-1929     75-79            0.037304        0.063060        0.047829
1920-1929     80-84            0.061546        0.092391        0.073144
1920-1929     85-89            0.106685        0.145627        0.119788
1920-1929     90-94            0.180597        0.230212        0.195004
1920-1929     95-99                   .               .               .
1920-1929    100-104                  .               .               .
1920-1929    105-109                  .               .               .
1920-1929    110+                     .               .               .
1930-1939        0                    .               .               .
1930-1939      1-4                    .               .               .
